elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001152, 10.001152, 399, 1380, 2437.8, 2192, 3654, 8881, 11119, 11119, 0
20.001405, 10.000253, 649, 1454, 2352.4, 2137, 3178, 8980, 11015, 13578, 0
30.00114, 9.999735, 615, 1433, 2468.5, 2235, 3797, 8862, 11145, 13578, 0
40.001137, 9.999997, 514, 1453, 2774.5, 2223, 3513, 8574, 11145, 203524, 0
50.001149, 10.000012, 518, 1448, 2416.1, 2204, 3414, 6299, 9437, 30680, 0
60.001137, 9.999988, 520, 1410, 2570.1, 2269, 3867, 8708, 10813, 41279, 0
70.001141, 10.000004, 481, 1472, 2611.5, 2393, 3895, 8951, 11108, 12689, 0
80.001136, 9.999995, 510, 1526, 2497.5, 2306, 3737, 7435, 9655, 10808, 0
90.001198, 10.000062, 622, 1450, 2587.7, 2338, 3936, 8830, 11889, 13482, 0
100.003203, 10.002005, 624, 1488, 2546.6, 2320, 3962, 8365, 11188, 12007, 0
110.005227, 10.002024, 498, 1509, 2732.0, 2486, 4164, 9037, 11197, 11594, 0
120.003142, 9.997915, 558, 1494, 2724.0, 2396, 4288, 10297, 11102, 11470, 0
130.001178, 9.998036, 474, 1564, 2697.2, 2448, 3826, 9785, 10572, 12371, 0
140.001145, 9.999967, 389, 1464, 2734.9, 2443, 4193, 9633, 13415, 13415, 0
150.001167, 10.000022, 579, 1517, 2991.5, 2426, 3902, 8902, 11405, 208006, 0
160.001137, 9.99997, 668, 1457, 2655.0, 2450, 3969, 6940, 9617, 10297, 0
170.001207, 10.00007, 530, 1578, 2907.1, 2507, 4937, 10414, 11588, 38984, 0
180.00114, 9.999933, 521, 1574, 2751.3, 2547, 4014, 7468, 10322, 11588, 0
190.001142, 10.000002, 503, 1505, 2788.2, 2595, 4114, 6715, 9015, 10996, 0
200.001308, 10.000166, 469, 1526, 3336.9, 3149, 4951, 9541, 11148, 11620, 0
210.001231, 9.999923, 465, 1552, 2858.6, 2608, 4186, 9745, 12148, 12148, 0
220.001278, 10.000047, 533, 1620, 2766.0, 2571, 3849, 7379, 11257, 15743, 0
230.001208, 9.99993, 548, 1595, 2843.1, 2580, 4032, 10256, 12263, 28488, 0
240.001375, 10.000167, 442, 1555, 2808.4, 2611, 4058, 5451, 28488, 28488, 0
250.001239, 9.999864, 562, 1543, 2903.7, 2695, 4093, 10461, 10993, 11029, 0
260.001206, 9.999967, 470, 1626, 3411.7, 2762, 4658, 9887, 203893, 203893, 0
270.001236, 10.00003, 523, 1475, 3042.5, 2688, 4728, 10309, 11374, 11961, 0
280.001373, 10.000137, 462, 1576, 3066.5, 2763, 4196, 10156, 52685, 52685, 0
290.001209, 9.999836, 588, 1606, 3079.6, 2789, 4699, 10158, 11956, 12297, 0
300.001201, 9.999992, 511, 1645, 2942.7, 2695, 4225, 9997, 11614, 11958, 0
301.019399, 1.018198, 46, 1645, 2972.7, 2728, 4225, 9997, 11614, 11958, 0
