elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001152, 10.001152, 405, 2299, 9782.7, 3630, 40311, 125911, 233794, 233794, 0
20.001405, 10.000253, 622, 2367, 6559.8, 3598, 11784, 43061, 219352, 221305, 0
30.00114, 9.999735, 637, 2269, 5620.5, 3662, 11685, 41803, 112820, 142899, 0
40.001137, 9.999997, 504, 2213, 7928.9, 3548, 17101, 204983, 219181, 219811, 0
50.001149, 10.000012, 577, 2318, 6963.5, 3612, 11207, 58142, 221778, 222121, 0
60.001137, 9.999988, 567, 2328, 6458.2, 3665, 10617, 43259, 220620, 224033, 0
70.001141, 10.000004, 500, 2490, 8876.7, 3831, 12403, 219963, 221327, 222071, 0
80.001136, 9.999995, 549, 2337, 7779.4, 3710, 11978, 104922, 222578, 435768, 0
90.001198, 10.000062, 650, 2272, 6071.2, 3586, 10610, 42252, 219500, 221454, 0
100.003203, 10.002005, 592, 2214, 5553.4, 3666, 11795, 41715, 46788, 111283, 0
110.005227, 10.002024, 456, 2356, 7751.6, 3652, 12084, 125159, 223682, 232879, 0
120.003142, 9.997915, 537, 2463, 7002.2, 3856, 12257, 48489, 221301, 221318, 0
130.001178, 9.998036, 472, 2166, 8857.0, 3683, 14086, 54116, 222346, 1204984, 0
140.001145, 9.999967, 434, 2381, 7013.2, 3730, 11721, 46129, 220434, 220434, 0
150.001167, 10.000022, 555, 2270, 6639.8, 3677, 12567, 43561, 217656, 218900, 0
160.001137, 9.99997, 634, 2082, 5335.6, 3688, 9778, 38948, 158867, 217348, 0
170.001207, 10.00007, 518, 2391, 6929.9, 3739, 9336, 98185, 221927, 222298, 0
180.00114, 9.999933, 532, 2366, 6318.0, 3687, 10290, 64534, 180279, 212116, 0
190.001142, 10.000002, 531, 2492, 7533.4, 3843, 20649, 74008, 220057, 221892, 0
200.001308, 10.000166, 457, 2312, 7756.5, 3902, 11691, 111267, 226230, 226230, 0
210.001231, 9.999923, 488, 2306, 8298.1, 3810, 10271, 217685, 227822, 232306, 0
220.001278, 10.000047, 560, 2491, 7506.4, 3808, 11526, 97608, 227822, 232306, 0
230.001208, 9.99993, 538, 2433, 6281.4, 3791, 9584, 44591, 217290, 220489, 0
240.001375, 10.000167, 473, 2346, 5527.0, 3798, 9211, 39773, 143988, 219055, 0
250.001239, 9.999864, 535, 2490, 6771.7, 3848, 11071, 52653, 218505, 220968, 0
260.001206, 9.999967, 509, 2530, 7364.2, 3812, 12316, 85236, 219048, 219793, 0
270.001236, 10.00003, 505, 2310, 5684.4, 3803, 10411, 42445, 131813, 219653, 0
280.001373, 10.000137, 443, 2310, 7510.0, 3816, 17399, 82627, 217163, 217163, 0
290.001209, 9.999836, 496, 2541, 6432.5, 3939, 10575, 45445, 218856, 223232, 0
300.001201, 9.999992, 529, 2449, 6405.7, 3903, 9650, 46205, 219251, 220900, 0
301.019399, 1.018198, 48, 2449, 6043.1, 3879, 10823, 42315, 179765, 220900, 0
