elapsed, window, total, successful, failed
10.001152, 10.001152, 1167, 1167, 0
20.001405, 10.000253, 1866, 1866, 0
30.00114, 9.999735, 1894, 1894, 0
40.001137, 9.999997, 1520, 1520, 0
50.001149, 10.000012, 1657, 1657, 0
60.001137, 9.999988, 1660, 1660, 0
70.001141, 10.000004, 1482, 1482, 0
80.001136, 9.999995, 1619, 1619, 0
90.001198, 10.000062, 1874, 1874, 0
100.003203, 10.002005, 1820, 1820, 0
110.005227, 10.002024, 1389, 1389, 0
120.003142, 9.997915, 1628, 1628, 0
130.001178, 9.998036, 1411, 1411, 0
140.001145, 9.999967, 1219, 1219, 0
150.001167, 10.000022, 1692, 1692, 0
160.001137, 9.99997, 1903, 1903, 0
170.001207, 10.00007, 1540, 1540, 0
180.00114, 9.999933, 1598, 1598, 0
190.001142, 10.000002, 1536, 1536, 0
200.001308, 10.000166, 1423, 1423, 0
210.001231, 9.999923, 1441, 1441, 0
220.001278, 10.000047, 1665, 1665, 0
230.001208, 9.99993, 1601, 1601, 0
240.001375, 10.000167, 1443, 1443, 0
250.001239, 9.999864, 1611, 1611, 0
260.001206, 9.999967, 1486, 1486, 0
270.001236, 10.00003, 1584, 1584, 0
280.001373, 10.000137, 1384, 1384, 0
290.001209, 9.999836, 1614, 1614, 0
300.001201, 9.999992, 1549, 1549, 0
301.019399, 1.018198, 144, 144, 0
