elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001152, 10.001152, 363, 4480, 13720.3, 6504, 16034, 223334, 429103, 429103, 0
20.001405, 10.000253, 595, 4175, 7126.1, 6353, 13026, 15669, 21742, 41403, 0
30.00114, 9.999735, 642, 4389, 7603.9, 6591, 12845, 15185, 23123, 275894, 0
40.001137, 9.999997, 502, 4577, 8882.2, 6359, 13116, 43447, 284463, 333276, 0
50.001149, 10.000012, 562, 4575, 8091.1, 6369, 13353, 21913, 178247, 225645, 0
60.001137, 9.999988, 573, 4615, 8732.6, 6646, 13568, 61702, 149151, 220513, 0
70.001141, 10.000004, 501, 4235, 8213.0, 6693, 14262, 38758, 107782, 190549, 0
80.001136, 9.999995, 560, 4767, 8227.4, 6650, 13187, 27721, 150589, 190549, 0
90.001198, 10.000062, 602, 4330, 7516.2, 6416, 12612, 17076, 109419, 137623, 0
100.003203, 10.002005, 604, 4387, 8276.6, 6599, 13620, 17471, 221291, 235718, 0
110.005227, 10.002024, 435, 4570, 11054.9, 6830, 14925, 101391, 388605, 388605, 0
120.003142, 9.997915, 533, 4517, 9080.0, 6587, 14238, 40409, 219302, 224507, 0
130.001178, 9.998036, 465, 4799, 9380.3, 6669, 13817, 48469, 221539, 221539, 0
140.001145, 9.999967, 396, 4530, 13352.9, 6903, 14502, 156620, 1448442, 1448442, 0
150.001167, 10.000022, 558, 4456, 8848.5, 6696, 13214, 37357, 228221, 263543, 0
160.001137, 9.99997, 601, 4456, 8265.5, 6648, 13193, 28324, 222254, 224689, 0
170.001207, 10.00007, 492, 4729, 9618.3, 6841, 13969, 50414, 223339, 223420, 0
180.00114, 9.999933, 545, 4763, 9708.1, 6784, 13892, 67748, 220010, 281871, 0
190.001142, 10.000002, 502, 4499, 9024.9, 6952, 14190, 49121, 220289, 223289, 0
200.001308, 10.000166, 497, 4389, 9534.5, 7956, 14602, 39628, 174191, 221544, 0
210.001231, 9.999923, 488, 4945, 9894.3, 6998, 14548, 50404, 223240, 313811, 0
220.001278, 10.000047, 572, 4780, 8213.4, 6852, 14057, 27646, 66796, 203488, 0
230.001208, 9.99993, 515, 4895, 9320.9, 6821, 13774, 41964, 223654, 273040, 0
240.001375, 10.000167, 528, 4895, 11326.9, 6949, 14210, 222383, 269768, 293088, 0
250.001239, 9.999864, 514, 4847, 9486.5, 7041, 14462, 58954, 185934, 223318, 0
260.001206, 9.999967, 507, 4951, 8879.2, 6940, 13964, 40361, 222736, 223083, 0
270.001236, 10.00003, 556, 4480, 9712.9, 7027, 14752, 63540, 219785, 221463, 0
280.001373, 10.000137, 479, 4814, 10443.8, 6967, 15645, 122136, 235523, 261158, 0
290.001209, 9.999836, 530, 4589, 9763.1, 7037, 13800, 50053, 222573, 235523, 0
300.001201, 9.999992, 509, 4901, 10191.8, 7012, 13493, 212374, 229942, 233022, 0
301.019399, 1.018198, 50, 4901, 10116.9, 6885, 13506, 212374, 229942, 233022, 0
