elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000481, 10.000481, 432, 2388, 9089.6, 3584, 31797, 130254, 244956, 244956, 0
20.001508, 10.001027, 603, 2378, 6717.9, 3545, 12217, 46633, 205881, 217661, 0
30.001521, 10.000013, 642, 2306, 5950.8, 3448, 10679, 43823, 199004, 224480, 0
40.001471, 9.99995, 618, 2379, 6049.8, 3342, 9906, 42596, 231579, 253330, 0
50.001515, 10.000044, 613, 2289, 6099.3, 3574, 11293, 42545, 218261, 221109, 0
60.001524, 10.000009, 562, 2381, 7475.9, 3734, 13005, 118110, 220223, 220346, 0
70.002527, 10.001003, 555, 2484, 6030.3, 3793, 10392, 42436, 220495, 223484, 0
80.005562, 10.003035, 531, 2333, 6688.9, 3608, 11147, 42019, 220513, 223484, 0
90.004525, 9.998963, 616, 2154, 6917.7, 3662, 10689, 47924, 220158, 223756, 0
100.00353, 9.999005, 606, 2226, 5300.6, 3595, 9341, 40174, 217170, 219023, 0
110.004526, 10.000996, 514, 2436, 7753.9, 3718, 11160, 135058, 223316, 265578, 0
120.003684, 9.999158, 540, 2465, 7019.1, 3816, 15397, 44310, 219140, 223740, 0
130.003576, 9.999892, 569, 2201, 6298.7, 3677, 10954, 42933, 220733, 249408, 0
140.004532, 10.000956, 520, 2426, 6454.7, 3686, 10174, 51660, 210676, 217831, 0
150.003477, 9.998945, 469, 2488, 8866.0, 3848, 21397, 216398, 230021, 277758, 0
160.001561, 9.998084, 595, 2372, 5168.7, 3708, 9232, 40283, 75350, 216723, 0
170.001469, 9.999908, 560, 2449, 6437.8, 3726, 10110, 73112, 216483, 219912, 0
180.001631, 10.000162, 547, 2432, 7233.4, 3643, 11247, 49377, 219532, 368369, 0
190.001651, 10.00002, 480, 2311, 6643.0, 3756, 11000, 44477, 223336, 226741, 0
200.001518, 9.999867, 526, 2300, 6874.0, 3659, 11369, 48738, 219023, 220563, 0
210.001471, 9.999953, 469, 2311, 6637.0, 3775, 10743, 44006, 219070, 225932, 0
220.001477, 10.000006, 509, 2426, 8161.5, 3947, 15793, 140596, 225932, 254180, 0
230.001516, 10.000039, 501, 2450, 6726.3, 3766, 9316, 106124, 221141, 224605, 0
240.002493, 10.000977, 511, 2450, 5806.3, 3816, 10156, 41546, 222133, 230041, 0
250.001501, 9.999008, 416, 2480, 10522.6, 3877, 32319, 211615, 717129, 717129, 0
260.001559, 10.000058, 513, 2402, 6331.1, 3857, 10702, 43828, 218643, 219207, 0
270.001471, 9.999912, 492, 2388, 6874.4, 3781, 10446, 44574, 224389, 290768, 0
280.001472, 10.000001, 512, 2470, 6376.2, 3774, 10198, 57263, 173084, 189701, 0
290.001721, 10.000249, 432, 2409, 8410.5, 3840, 17823, 107325, 229020, 229020, 0
300.001467, 9.999746, 513, 2468, 7625.4, 3906, 11758, 127837, 220074, 221712, 0
301.01766, 1.016193, 45, 2468, 7419.7, 3890, 10851, 127837, 219807, 220074, 0
