elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000794, 10.000794, 307, 1524, 2356.8, 2281, 3188, 6532, 9769, 9769, 0
20.003106, 10.002312, 689, 1385, 2343.3, 2188, 3286, 7371, 10752, 10801, 0
30.002785, 9.999679, 576, 1433, 2357.5, 2205, 3175, 5859, 14756, 22835, 0
40.001782, 9.998997, 525, 1438, 2526.1, 2281, 3787, 9013, 11569, 11914, 0
50.001793, 10.000011, 547, 1371, 2558.1, 2252, 4277, 9037, 13062, 17394, 0
60.001787, 9.999994, 512, 1371, 2669.0, 2384, 4098, 9569, 12049, 17394, 0
70.001787, 10.0, 527, 1536, 2664.8, 2415, 4006, 8441, 9139, 10512, 0
80.001862, 10.000075, 459, 1406, 2744.4, 2460, 4439, 8334, 16802, 16802, 0
90.001788, 9.999926, 504, 1570, 2880.2, 2495, 5210, 10252, 12466, 36005, 0
100.00181, 10.000022, 590, 1577, 2612.6, 2419, 3775, 8607, 9379, 9652, 0
110.001786, 9.999976, 530, 1544, 2704.7, 2483, 3879, 9376, 11161, 11380, 0
120.001786, 10.0, 535, 1530, 2851.1, 2518, 4418, 9475, 12529, 18111, 0
130.001782, 9.999996, 593, 1522, 2743.4, 2447, 4515, 9704, 12113, 12255, 0
140.001788, 10.000006, 448, 1383, 2719.2, 2463, 4216, 9009, 11738, 11875, 0
150.001785, 9.999997, 563, 1600, 2789.2, 2475, 3924, 9995, 15618, 31088, 0
160.001888, 10.000103, 571, 1535, 2837.2, 2537, 3982, 9519, 13553, 36241, 0
170.001784, 9.999896, 560, 1549, 2915.1, 2581, 4426, 8948, 11832, 36241, 0
180.001942, 10.000158, 538, 1420, 2851.1, 2572, 4083, 9228, 11915, 25442, 0
190.001788, 9.999846, 538, 1559, 2858.6, 2564, 4027, 8734, 11669, 40363, 0
200.001796, 10.000008, 548, 1601, 2903.0, 2604, 4269, 9435, 11958, 14932, 0
210.001787, 9.999991, 390, 1388, 2906.1, 2632, 4261, 9279, 13313, 13313, 0
220.001782, 9.999995, 510, 1579, 2896.9, 2607, 4100, 10525, 12486, 13136, 0
230.001792, 10.00001, 549, 1646, 2852.1, 2668, 4005, 8287, 12458, 14722, 0
240.001792, 10.0, 484, 1598, 2913.2, 2730, 4083, 8232, 9846, 10807, 0
250.001777, 9.999985, 536, 1622, 2940.6, 2709, 4143, 8217, 10073, 10114, 0
260.001777, 10.0, 491, 1616, 3397.0, 2672, 4648, 10723, 19341, 204169, 0
270.001786, 10.000009, 439, 1569, 3067.2, 2693, 4378, 9210, 12423, 56961, 0
280.001983, 10.000197, 545, 1555, 2897.4, 2707, 4196, 6496, 11954, 12611, 0
290.003847, 10.001864, 561, 1599, 3481.5, 2796, 5933, 10284, 11686, 215725, 0
300.006003, 10.002156, 525, 1510, 3072.7, 2698, 4843, 9966, 11938, 12673, 0
301.089201, 1.083198, 76, 1510, 3062.2, 2698, 4507, 10331, 11741, 12673, 0
