elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000794, 10.000794, 312, 2239, 15447.4, 3841, 59127, 223873, 437443, 437443, 0
20.003106, 10.002312, 651, 2290, 5643.1, 3695, 10990, 41842, 216450, 218084, 0
30.002785, 9.999679, 613, 2296, 6574.7, 3683, 10180, 43305, 220615, 220674, 0
40.001782, 9.998997, 519, 2496, 6246.0, 3798, 10930, 41358, 216701, 225822, 0
50.001793, 10.000011, 586, 2475, 6191.1, 3851, 12219, 43692, 187364, 217320, 0
60.001787, 9.999994, 586, 2611, 6333.3, 3870, 12157, 43032, 217983, 219259, 0
70.001787, 10.0, 523, 2300, 8135.0, 3821, 14547, 127748, 221500, 224179, 0
80.001862, 10.000075, 482, 2486, 8880.4, 3937, 20179, 217858, 223257, 224179, 0
90.001788, 9.999926, 558, 2492, 6622.8, 3897, 12243, 45301, 211571, 219750, 0
100.00181, 10.000022, 576, 2541, 5283.7, 3858, 10359, 39387, 42605, 208990, 0
110.001786, 9.999976, 468, 2508, 7581.7, 3830, 10906, 132079, 302399, 364842, 0
120.001786, 10.0, 554, 2336, 6822.2, 3989, 11726, 46898, 217354, 225805, 0
130.001782, 9.999996, 560, 2350, 6101.7, 3975, 11592, 40886, 225426, 230784, 0
140.001788, 10.000006, 478, 2537, 7729.9, 3946, 11501, 127760, 219366, 220034, 0
150.001785, 9.999997, 540, 2405, 6940.7, 3903, 11943, 50766, 220034, 220605, 0
160.001888, 10.000103, 561, 2380, 6916.6, 3946, 10929, 59380, 217670, 218729, 0
170.001784, 9.999896, 548, 2532, 7309.6, 3917, 11153, 58084, 220620, 262406, 0
180.001942, 10.000158, 539, 2526, 6247.1, 3895, 10240, 45406, 217797, 218639, 0
190.001788, 9.999846, 553, 2456, 7674.8, 4080, 12108, 89916, 218680, 219379, 0
200.001796, 10.000008, 542, 2299, 6373.1, 3972, 10752, 43001, 217736, 219264, 0
210.001787, 9.999991, 416, 2288, 6933.2, 4046, 12333, 59865, 218929, 218929, 0
220.001782, 9.999995, 523, 2706, 7686.7, 4046, 12544, 138699, 222542, 222738, 0
230.001792, 10.00001, 551, 2456, 6562.9, 3962, 10695, 68959, 220008, 225341, 0
240.001792, 10.0, 499, 2584, 6691.6, 3966, 10668, 73400, 219476, 220008, 0
250.001777, 9.999985, 526, 2408, 6719.9, 3990, 11095, 46676, 218319, 220542, 0
260.001777, 10.0, 517, 2367, 6215.3, 3971, 11084, 46676, 155450, 220190, 0
270.001786, 10.000009, 422, 2367, 6158.1, 4075, 11152, 40379, 219283, 219283, 0
280.001983, 10.000197, 540, 2678, 5902.6, 3999, 9513, 40164, 203004, 220219, 0
290.003847, 10.001864, 474, 2695, 8109.2, 4059, 11508, 137287, 219307, 220520, 0
300.006003, 10.002156, 547, 2436, 6289.4, 3904, 10355, 48236, 217964, 225412, 0
301.089201, 1.083198, 54, 2436, 6672.4, 3911, 11716, 48296, 217964, 225412, 0
