elapsed, window, total, successful, failed
10.000794, 10.000794, 910, 910, 0
20.003106, 10.002312, 1946, 1946, 0
30.002785, 9.999679, 1787, 1787, 0
40.001782, 9.998997, 1578, 1578, 0
50.001793, 10.000011, 1708, 1708, 0
60.001787, 9.999994, 1672, 1672, 0
70.001787, 10.0, 1585, 1585, 0
80.001862, 10.000075, 1455, 1455, 0
90.001788, 9.999926, 1567, 1567, 0
100.00181, 10.000022, 1752, 1752, 0
110.001786, 9.999976, 1434, 1434, 0
120.001786, 10.0, 1643, 1643, 0
130.001782, 9.999996, 1701, 1701, 0
140.001788, 10.000006, 1377, 1377, 0
150.001785, 9.999997, 1654, 1654, 0
160.001888, 10.000103, 1657, 1657, 0
170.001784, 9.999896, 1613, 1613, 0
180.001942, 10.000158, 1628, 1628, 0
190.001788, 9.999846, 1631, 1631, 0
200.001796, 10.000008, 1661, 1661, 0
210.001787, 9.999991, 1211, 1211, 0
220.001782, 9.999995, 1582, 1582, 0
230.001792, 10.00001, 1613, 1613, 0
240.001792, 10.0, 1554, 1554, 0
250.001777, 9.999985, 1557, 1557, 0
260.001777, 10.0, 1532, 1532, 0
270.001786, 10.000009, 1310, 1310, 0
280.001983, 10.000197, 1675, 1675, 0
290.003847, 10.001864, 1530, 1530, 0
300.006003, 10.002156, 1610, 1610, 0
301.089201, 1.083198, 192, 192, 0
