elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000794, 10.000794, 291, 4725, 14966.1, 6559, 23833, 188621, 587138, 587138, 0
20.003106, 10.002312, 606, 4569, 7342.0, 6508, 12871, 16075, 42607, 213826, 0
30.002785, 9.999679, 598, 4761, 8335.4, 6533, 12737, 36087, 213826, 267783, 0
40.001782, 9.998997, 534, 4402, 9804.3, 6598, 12667, 132575, 223087, 230640, 0
50.001793, 10.000011, 575, 4492, 8676.1, 6835, 14029, 26868, 221698, 223087, 0
60.001787, 9.999994, 574, 4572, 8278.7, 6905, 13847, 19715, 90988, 194611, 0
70.001787, 10.0, 535, 4496, 8315.1, 6654, 13677, 17389, 170129, 255344, 0
80.001862, 10.000075, 514, 4540, 9189.2, 7080, 14696, 40189, 162628, 229975, 0
90.001788, 9.999926, 505, 4540, 9430.6, 7187, 14776, 22230, 224249, 243120, 0
100.00181, 10.000022, 586, 4515, 9070.5, 6886, 14140, 40980, 223925, 227448, 0
110.001786, 9.999976, 436, 4662, 11202.2, 7024, 14415, 170472, 447118, 447118, 0
120.001786, 10.0, 554, 4642, 8298.7, 6970, 14016, 18665, 115708, 230329, 0
130.001782, 9.999996, 548, 4557, 8953.0, 6948, 14298, 39573, 229739, 230304, 0
140.001788, 10.000006, 451, 4744, 10280.9, 6988, 15508, 124092, 224012, 258451, 0
150.001785, 9.999997, 551, 4821, 9444.6, 6873, 13816, 63522, 222106, 250011, 0
160.001888, 10.000103, 525, 4703, 8671.0, 6949, 13658, 27614, 222696, 223867, 0
170.001784, 9.999896, 505, 4637, 8675.2, 7026, 13892, 39268, 57034, 226698, 0
180.001942, 10.000158, 551, 4536, 8941.2, 6917, 13804, 41202, 221865, 264106, 0
190.001788, 9.999846, 540, 4442, 8269.8, 7063, 13307, 19977, 48863, 172586, 0
200.001796, 10.000008, 571, 4561, 8357.7, 7034, 13038, 17528, 200474, 223930, 0
210.001787, 9.999991, 405, 4816, 13421.8, 7271, 16082, 226401, 263108, 263108, 0
220.001782, 9.999995, 549, 4892, 8925.0, 6998, 13549, 43293, 173375, 232092, 0
230.001792, 10.00001, 513, 4834, 8973.3, 6967, 13460, 38543, 220774, 229706, 0
240.001792, 10.0, 571, 4894, 9260.2, 7122, 13632, 43571, 224184, 224371, 0
250.001777, 9.999985, 495, 4877, 9729.3, 7099, 13745, 70843, 220687, 220965, 0
260.001777, 10.0, 524, 5038, 9441.4, 7252, 14551, 40486, 217993, 226543, 0
270.001786, 10.000009, 449, 4666, 12611.6, 7231, 15347, 222438, 261292, 262543, 0
280.001983, 10.000197, 590, 4530, 9361.8, 7067, 12627, 73208, 222438, 223710, 0
290.003847, 10.001864, 495, 4956, 8841.7, 7327, 14765, 41183, 88800, 140121, 0
300.006003, 10.002156, 538, 4463, 8896.7, 7025, 13935, 37904, 210492, 322812, 0
301.089201, 1.083198, 62, 4463, 8869.4, 7053, 13316, 32754, 210492, 322812, 0
