elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000915, 10.000915, 310, 3727, 11774.9, 5197, 34637, 152692, 294528, 294528, 0
20.001919, 10.001004, 610, 3668, 6161.9, 5058, 11246, 14504, 34446, 214072, 0
30.001905, 9.999986, 602, 3518, 6134.3, 5098, 11755, 14553, 28100, 98720, 0
40.002021, 10.000116, 555, 3276, 6162.8, 5248, 11396, 15481, 39074, 66342, 0
50.001936, 9.999915, 533, 3578, 7367.1, 5291, 12098, 31654, 208488, 218036, 0
60.001984, 10.000048, 542, 3234, 6128.4, 5224, 11529, 14413, 66106, 72276, 0
70.001904, 9.99992, 546, 3645, 7241.6, 5272, 11550, 17980, 206683, 226205, 0
80.001984, 10.00008, 519, 3565, 7015.5, 5349, 12249, 21681, 161983, 183062, 0
90.001904, 9.99992, 593, 3666, 6107.8, 5271, 11360, 15816, 38824, 95586, 0
100.001919, 10.000015, 555, 3744, 6151.0, 5213, 10925, 18611, 41608, 99939, 0
110.001898, 9.999979, 546, 3544, 6863.4, 5254, 12273, 25688, 186635, 199830, 0
120.001902, 10.000004, 557, 3757, 6180.8, 5441, 11985, 15558, 35561, 35938, 0
130.001939, 10.000037, 570, 3778, 5933.7, 5368, 10994, 13549, 16608, 17251, 0
140.001946, 10.000007, 534, 3755, 5991.5, 5373, 11374, 14080, 25228, 38355, 0
150.001911, 9.999965, 520, 3779, 6439.3, 5447, 10840, 15809, 80994, 104623, 0
160.002048, 10.000137, 548, 3616, 6579.3, 5409, 11518, 15519, 69310, 216622, 0
170.001968, 9.99992, 563, 3636, 6945.7, 5237, 11500, 14144, 208419, 216622, 0
180.007966, 10.005998, 528, 3779, 6483.6, 5484, 11590, 18584, 59221, 125054, 0
190.005961, 9.997995, 543, 3703, 6680.6, 5401, 11292, 18369, 89733, 223795, 0
200.001916, 9.995955, 537, 3713, 6102.7, 5350, 11645, 14320, 40521, 41018, 0
210.002039, 10.000123, 541, 3781, 6135.6, 5224, 10864, 13704, 27459, 221610, 0
220.001907, 9.999868, 547, 3674, 6086.6, 5383, 11313, 14314, 43276, 54056, 0
230.00193, 10.000023, 543, 3683, 6863.7, 5513, 11059, 16747, 219073, 222598, 0
240.00196, 10.00003, 512, 3688, 6063.6, 5397, 11348, 15120, 29857, 34057, 0
250.001908, 9.999948, 495, 3675, 7309.7, 5547, 11823, 16697, 219096, 221020, 0
260.001906, 9.999998, 494, 3865, 6510.2, 5485, 11372, 14606, 40500, 232434, 0
270.001906, 10.0, 542, 3746, 6232.9, 5466, 10092, 15834, 58986, 128238, 0
280.001905, 9.999999, 497, 3845, 7014.3, 5525, 11361, 36135, 211002, 221190, 0
290.001913, 10.000008, 505, 3685, 6071.3, 5369, 10071, 14981, 53144, 107409, 0
300.001932, 10.000019, 561, 3681, 5708.4, 5273, 9421, 13260, 21057, 37645, 0
301.028245, 1.026313, 53, 3681, 5762.9, 5254, 9898, 13260, 21057, 37645, 0
