elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000678, 10.000678, 89, 1555, 2970.7, 2920, 3739, 5721, 7744, 7744, 0
20.001714, 10.001036, 538, 1513, 2819.6, 2428, 5620, 10392, 12212, 19452, 0
30.001678, 9.999964, 624, 1392, 2641.9, 2368, 4982, 8616, 9404, 10938, 0
40.00167, 9.999992, 569, 1435, 2600.1, 2339, 4065, 8410, 9667, 10639, 0
50.001962, 10.000292, 388, 1491, 2915.1, 2633, 4570, 7337, 13514, 13514, 0
60.001675, 9.999713, 472, 1401, 3032.4, 2637, 5607, 7983, 12556, 12556, 0
70.001673, 9.999998, 502, 1409, 3167.9, 2591, 7793, 11661, 18915, 28019, 0
80.001784, 10.000111, 505, 1414, 2731.5, 2527, 4176, 7495, 8871, 9463, 0
90.001732, 9.999948, 537, 1326, 2662.3, 2343, 3568, 8859, 23377, 35917, 0
100.004761, 10.003029, 601, 1426, 2756.9, 2420, 3762, 8684, 12072, 38349, 0
110.00576, 10.000999, 597, 1422, 2642.3, 2389, 3686, 7111, 11410, 12128, 0
120.004766, 9.999006, 631, 1414, 2805.7, 2426, 4050, 9401, 31012, 31227, 0
130.005778, 10.001012, 562, 1373, 2826.3, 2444, 5033, 9080, 11922, 14457, 0
140.004743, 9.998965, 500, 1465, 3009.8, 2862, 4313, 5656, 12503, 27523, 0
150.001713, 9.99697, 470, 1486, 3036.1, 2815, 5236, 8179, 9508, 9885, 0
160.001671, 9.999958, 650, 1373, 2755.4, 2582, 3873, 6743, 10155, 10707, 0
170.001672, 10.000001, 587, 1416, 2860.9, 2643, 4124, 7248, 10400, 11517, 0
180.001728, 10.000056, 596, 1446, 2961.0, 2650, 4250, 9483, 15645, 17561, 0
190.001678, 9.99995, 498, 1407, 3508.1, 3062, 7213, 10516, 11699, 12489, 0
200.001755, 10.000077, 495, 1435, 3552.6, 2984, 8142, 12029, 13248, 15392, 0
210.001838, 10.000083, 521, 1538, 3229.8, 2917, 6216, 10296, 11219, 12581, 0
220.002035, 10.000197, 465, 1392, 3252.6, 2908, 5995, 10193, 12509, 12509, 0
230.001735, 9.9997, 509, 1558, 3116.7, 2837, 5309, 10041, 12439, 12509, 0
240.001745, 10.00001, 479, 1589, 3256.5, 2961, 5685, 9490, 16248, 31181, 0
250.007756, 10.006011, 523, 1694, 4348.4, 3068, 6074, 10534, 204766, 205167, 0
260.004006, 9.99625, 491, 1634, 3483.4, 3138, 6398, 10135, 11017, 16948, 0
270.002761, 9.998755, 517, 1480, 3645.3, 3099, 5955, 9640, 10934, 206491, 0
280.003682, 10.000921, 424, 1505, 4059.6, 3462, 7355, 10797, 71072, 71072, 0
290.001998, 9.998316, 501, 1648, 3761.5, 3343, 7311, 10413, 12077, 28740, 0
300.005812, 10.003814, 577, 1597, 3456.6, 3164, 6080, 10349, 21436, 28740, 0
301.099002, 1.09319, 30, 1597, 3396.4, 3162, 5747, 10215, 12004, 21436, 0
