elapsed, window, total, successful, failed
10.000678, 10.000678, 257, 257, 0
20.001714, 10.001036, 1580, 1580, 0
30.001678, 9.999964, 1833, 1833, 0
40.00167, 9.999992, 1710, 1710, 0
50.001962, 10.000292, 1158, 1158, 0
60.001675, 9.999713, 1506, 1506, 0
70.001673, 9.999998, 1633, 1633, 0
80.001784, 10.000111, 1529, 1529, 0
90.001732, 9.999948, 1711, 1711, 0
100.004761, 10.003029, 1813, 1813, 0
110.00576, 10.000999, 1743, 1743, 0
120.004766, 9.999006, 1853, 1853, 0
130.005778, 10.001012, 1559, 1559, 0
140.004743, 9.998965, 1500, 1500, 0
150.001713, 9.99697, 1477, 1477, 0
160.001671, 9.999958, 1833, 1833, 0
170.001672, 10.000001, 1730, 1730, 0
180.001728, 10.000056, 1763, 1763, 0
190.001678, 9.99995, 1513, 1513, 0
200.001755, 10.000077, 1509, 1509, 0
210.001838, 10.000083, 1601, 1601, 0
220.002035, 10.000197, 1399, 1399, 0
230.001735, 9.9997, 1542, 1542, 0
240.001745, 10.00001, 1529, 1529, 0
250.007756, 10.006011, 1537, 1537, 0
260.004006, 9.99625, 1503, 1503, 0
270.002761, 9.998755, 1530, 1530, 0
280.003682, 10.000921, 1347, 1347, 0
290.001998, 9.998316, 1455, 1455, 0
300.005812, 10.003814, 1597, 1597, 0
301.099002, 1.09319, 110, 110, 0
