elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000678, 10.000678, 83, 5424, 63349.6, 8650, 234867, 328420, 428162, 428162, 0
20.001714, 10.001036, 525, 4608, 9458.3, 6989, 13801, 86911, 217040, 223023, 0
30.001678, 9.999964, 561, 4571, 8053.2, 6916, 13190, 15833, 73759, 107508, 0
40.00167, 9.999992, 578, 4181, 8681.6, 6679, 12375, 46539, 211954, 221966, 0
50.001962, 10.000292, 376, 4791, 10119.1, 7363, 13608, 98954, 225581, 225581, 0
60.001675, 9.999713, 517, 4460, 9769.1, 7493, 14663, 52150, 223695, 234078, 0
70.001673, 9.999998, 566, 4460, 8680.3, 7048, 13078, 34504, 108050, 230575, 0
80.001784, 10.000111, 515, 4502, 9024.1, 6965, 12904, 29421, 173520, 232788, 0
90.001732, 9.999948, 594, 4597, 8445.7, 6660, 12284, 17809, 226476, 271144, 0
100.004761, 10.003029, 582, 4411, 8039.5, 6838, 12093, 31903, 79634, 122662, 0
110.00576, 10.000999, 583, 4519, 8635.0, 6853, 12039, 40222, 228518, 247276, 0
120.004766, 9.999006, 594, 4511, 8000.5, 6711, 12084, 51185, 100491, 131774, 0
130.005778, 10.001012, 499, 4020, 8918.6, 6764, 12768, 43396, 183498, 231781, 0
140.004743, 9.998965, 494, 4600, 8936.6, 7488, 12910, 39739, 106587, 119502, 0
150.001713, 9.99697, 498, 4451, 9778.0, 7384, 14497, 53943, 229798, 266279, 0
160.001671, 9.999958, 578, 4243, 7928.2, 6972, 11208, 15910, 80595, 103452, 0
170.001672, 10.000001, 553, 4319, 8234.7, 7280, 13371, 17623, 70851, 94770, 0
180.001728, 10.000056, 589, 4408, 8363.7, 7383, 11841, 17389, 56857, 226667, 0
190.001678, 9.99995, 484, 4507, 9405.2, 7964, 15152, 38272, 65839, 202141, 0
200.001755, 10.000077, 519, 4507, 9055.7, 7909, 15511, 19222, 71285, 88915, 0
210.001838, 10.000083, 541, 4351, 8877.6, 7756, 13066, 20326, 71285, 215248, 0
220.002035, 10.000197, 486, 4722, 9152.5, 7997, 13573, 29980, 69024, 215281, 0
230.001735, 9.9997, 495, 4854, 8792.1, 7789, 13028, 18415, 46297, 233110, 0
240.001745, 10.00001, 549, 4412, 9689.3, 8011, 14298, 46297, 148731, 233110, 0
250.007756, 10.006011, 506, 4794, 9009.9, 8023, 13801, 34078, 76492, 90847, 0
260.004006, 9.99625, 493, 4672, 9435.6, 8197, 14438, 32760, 76896, 162283, 0
270.002761, 9.998755, 531, 4908, 9019.7, 7867, 12834, 45441, 98987, 173372, 0
280.003682, 10.000921, 477, 4838, 9561.3, 8592, 14641, 17851, 92626, 98826, 0
290.001998, 9.998316, 489, 4793, 9424.6, 8445, 13842, 17911, 66574, 167097, 0
300.005812, 10.003814, 537, 4495, 9819.8, 8062, 14695, 26043, 179445, 222266, 0
301.099002, 1.09319, 40, 4495, 9535.3, 8104, 14275, 22164, 179445, 222266, 0
