elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000915, 10.000915, 303, 1527, 2491.5, 2219, 3838, 9686, 12865, 12865, 0
20.001919, 10.001004, 652, 1387, 2450.3, 2172, 3910, 8672, 10255, 11866, 0
30.001905, 9.999986, 572, 1416, 2460.2, 2210, 4119, 8936, 10932, 11083, 0
40.002021, 10.000116, 546, 1436, 2415.9, 2176, 3597, 8690, 10308, 10342, 0
50.001936, 9.999915, 501, 1490, 2433.2, 2246, 3687, 7806, 9228, 9370, 0
60.001984, 10.000048, 483, 1458, 2533.1, 2279, 3883, 8847, 9875, 10303, 0
70.001904, 9.99992, 540, 1536, 2543.2, 2360, 3634, 7989, 8603, 8707, 0
80.001984, 10.00008, 491, 1597, 3039.6, 2405, 4077, 10258, 11766, 203943, 0
90.001904, 9.99992, 541, 1628, 2532.6, 2391, 3737, 6544, 9434, 9484, 0
100.001919, 10.000015, 559, 1585, 2681.5, 2419, 3782, 10255, 13272, 18162, 0
110.001898, 9.999979, 606, 1456, 2655.7, 2456, 3900, 9321, 11051, 12140, 0
120.001902, 10.000004, 543, 1594, 2752.7, 2523, 4105, 7858, 9933, 12621, 0
130.001939, 10.000037, 617, 1536, 2675.6, 2407, 3965, 9121, 10141, 10686, 0
140.001946, 10.000007, 505, 1559, 2758.7, 2495, 3982, 9241, 11017, 11403, 0
150.001911, 9.999965, 529, 1517, 3266.0, 2507, 4575, 8557, 11094, 259276, 0
160.002048, 10.000137, 570, 1476, 2810.1, 2504, 4271, 8605, 12746, 38211, 0
170.001968, 9.99992, 587, 1436, 2770.1, 2481, 3911, 9676, 12537, 15058, 0
180.007966, 10.005998, 512, 1573, 2883.9, 2601, 4004, 11040, 12461, 13072, 0
190.005961, 9.997995, 518, 1501, 2831.1, 2546, 3982, 8672, 12450, 40103, 0
200.001916, 9.995955, 552, 1567, 2909.8, 2593, 4083, 9692, 12974, 35287, 0
210.002039, 10.000123, 518, 1493, 2708.0, 2543, 3861, 5894, 10187, 10381, 0
220.001907, 9.999868, 517, 1483, 2732.8, 2536, 3771, 7813, 10756, 13425, 0
230.00193, 10.000023, 511, 1502, 2780.4, 2540, 3808, 9549, 13425, 22769, 0
240.00196, 10.00003, 521, 1495, 2848.1, 2650, 3898, 6726, 9854, 22769, 0
250.001908, 9.999948, 499, 1501, 2884.1, 2668, 4206, 8055, 10253, 10692, 0
260.001906, 9.999998, 518, 1501, 2912.2, 2661, 4253, 8140, 10986, 12145, 0
270.001906, 10.0, 520, 1588, 2971.5, 2660, 4281, 10063, 11627, 12242, 0
280.001905, 9.999999, 534, 1484, 2897.0, 2724, 4014, 8589, 11575, 14974, 0
290.001913, 10.000008, 584, 1461, 3257.9, 2681, 4056, 9355, 36180, 205774, 0
300.001932, 10.000019, 557, 1514, 2891.1, 2665, 3977, 8644, 12305, 12460, 0
301.028245, 1.026313, 64, 1606, 2894.2, 2665, 4017, 7080, 12305, 12460, 0
