elapsed, window, total, successful, failed
10.000915, 10.000915, 901, 901, 0
20.001919, 10.001004, 1832, 1832, 0
30.001905, 9.999986, 1755, 1755, 0
40.002021, 10.000116, 1679, 1679, 0
50.001936, 9.999915, 1550, 1550, 0
60.001984, 10.000048, 1571, 1571, 0
70.001904, 9.99992, 1625, 1625, 0
80.001984, 10.00008, 1544, 1544, 0
90.001904, 9.99992, 1695, 1695, 0
100.001919, 10.000015, 1675, 1675, 0
110.001898, 9.999979, 1656, 1656, 0
120.001902, 10.000004, 1656, 1656, 0
130.001939, 10.000037, 1764, 1764, 0
140.001946, 10.000007, 1556, 1556, 0
150.001911, 9.999965, 1551, 1551, 0
160.002048, 10.000137, 1642, 1642, 0
170.001968, 9.99992, 1677, 1677, 0
180.007966, 10.005998, 1576, 1576, 0
190.005961, 9.997995, 1581, 1581, 0
200.001916, 9.995955, 1649, 1649, 0
210.002039, 10.000123, 1609, 1609, 0
220.001907, 9.999868, 1618, 1618, 0
230.00193, 10.000023, 1591, 1591, 0
240.00196, 10.00003, 1574, 1574, 0
250.001908, 9.999948, 1467, 1467, 0
260.001906, 9.999998, 1563, 1563, 0
270.001906, 10.0, 1618, 1618, 0
280.001905, 9.999999, 1553, 1553, 0
290.001913, 10.000008, 1643, 1643, 0
300.001932, 10.000019, 1683, 1683, 0
301.028245, 1.026313, 178, 178, 0
