elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001628, 10.001628, 4481, 5407, 33479.9, 26547, 45990, 94898, 1419920, 1930481, 0
20.008001, 10.006373, 5060, 5935, 29216.7, 28185, 47291, 57514, 93504, 139076, 0
30.001196, 9.993195, 4925, 7248, 30233.8, 29465, 48211, 56899, 69884, 86708, 0
40.001322, 10.000126, 2220, 4883, 64778.6, 28145, 54736, 1399234, 3187576, 3311633, 0
50.001484, 10.000162, 4869, 8271, 31556.6, 30441, 49432, 59934, 135627, 1423509, 0
60.003783, 10.002299, 4542, 7058, 32298.2, 31380, 51049, 61074, 71343, 79114, 0
70.00125, 9.997467, 2126, 4774, 58497.0, 29408, 55740, 1125029, 2346125, 2598938, 0
80.00787, 10.00662, 4275, 7322, 39384.2, 31420, 52094, 71767, 2016478, 3001331, 0
90.001817, 9.993947, 4632, 7406, 32659.9, 31833, 51341, 61084, 79730, 118577, 0
100.00136, 9.999543, 3138, 5736, 42092.3, 29516, 55141, 511619, 1256790, 1381062, 0
110.001382, 10.000022, 3915, 5906, 39852.5, 32750, 55239, 217745, 1375056, 1822155, 0
120.001448, 10.000066, 4334, 7278, 34527.9, 33722, 53355, 63420, 78750, 113212, 0
130.001198, 9.99975, 3336, 5882, 42263.6, 32909, 58672, 425710, 919507, 1068638, 0
140.00135, 10.000152, 3734, 6860, 43347.8, 34057, 58342, 364666, 1353575, 1376522, 0
150.00164, 10.00029, 4171, 9105, 35461.9, 34278, 55683, 66952, 110597, 332386, 0
160.002359, 10.000719, 3400, 6139, 43335.1, 35341, 60280, 441792, 805703, 826740, 0
170.002443, 10.000084, 3951, 6688, 39139.2, 32884, 56700, 301328, 805703, 826740, 0
180.001418, 9.998975, 4391, 8913, 35106.2, 33188, 56077, 70015, 337989, 413416, 0
190.007929, 10.006511, 3648, 6515, 41182.3, 34041, 59233, 338168, 742408, 820737, 0
200.001753, 9.993824, 3637, 7369, 43844.9, 34190, 63698, 435574, 701130, 820737, 0
210.003814, 10.002061, 3867, 10539, 38332.4, 37014, 60555, 76230, 252056, 474262, 0
220.00172, 9.997906, 3760, 8391, 40048.2, 35901, 62311, 103616, 734081, 942619, 0
230.003926, 10.002206, 3477, 7672, 45166.2, 34785, 67346, 378363, 763973, 942619, 0
240.002312, 9.998386, 3890, 7672, 38313.6, 35788, 62093, 80447, 258094, 392918, 0
250.001876, 9.999564, 3709, 9702, 41402.2, 38076, 63418, 109843, 434496, 645582, 0
260.008556, 10.00668, 3396, 9498, 44000.7, 36495, 67486, 353523, 655573, 753945, 0
270.003912, 9.995356, 3629, 9605, 41896.0, 37916, 65207, 90824, 523475, 610025, 0
280.001406, 9.997494, 3648, 7401, 40990.9, 36803, 61008, 97922, 697700, 871183, 0
290.001671, 10.000265, 3510, 6405, 42893.6, 36207, 64248, 338183, 668765, 687130, 0
300.001331, 9.99966, 3937, 8878, 39105.4, 35709, 60274, 110503, 472452, 551250, 0
301.28091, 1.279579, 524, 9676, 37278.2, 34768, 58105, 75382, 333014, 507248, 0
