elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000497, 10.000497, 2886, 1242, 4785.8, 3113, 11784, 14191, 52564, 552055, 0
20.001588, 10.001091, 3170, 1345, 4696.1, 3211, 12100, 14794, 19312, 22632, 0
30.005148, 10.00356, 2993, 1099, 4900.5, 3439, 12202, 15067, 19794, 20727, 0
40.000557, 9.995409, 2149, 1330, 4832.5, 3415, 12086, 15489, 20710, 23546, 0
50.001725, 10.001168, 2749, 1379, 4706.5, 3424, 11847, 15437, 19537, 20831, 0
60.001566, 9.999841, 2537, 1244, 4684.9, 3395, 11857, 14283, 19946, 32306, 0
70.008729, 10.007163, 2382, 1344, 4708.4, 3511, 11620, 13418, 16925, 18832, 0
80.008661, 9.999932, 2296, 1266, 4811.0, 3539, 11981, 13980, 18832, 22903, 0
90.005541, 9.99688, 2221, 1337, 4820.5, 3531, 11830, 14534, 20155, 30014, 0
100.00461, 9.999069, 2249, 1393, 4779.1, 3503, 11663, 14121, 17808, 19488, 0
110.001514, 9.996904, 2046, 1266, 4822.4, 3606, 11723, 13752, 16213, 19957, 0
120.00539, 10.003876, 2241, 1324, 4831.2, 3583, 12093, 14335, 18417, 30369, 0
130.000491, 9.995101, 2103, 1253, 4763.7, 3552, 11602, 13545, 17871, 20618, 0
140.001845, 10.001354, 2177, 1334, 4789.6, 3629, 11798, 13407, 18063, 19253, 0
150.001484, 9.999639, 2146, 1486, 4902.3, 3690, 12041, 13950, 19840, 25599, 0
160.001487, 10.000003, 2002, 1535, 4821.7, 3666, 11606, 13481, 17365, 25599, 0
170.001621, 10.000134, 1999, 1418, 4783.9, 3592, 11748, 14134, 17141, 18302, 0
180.004521, 10.0029, 2180, 1434, 4838.2, 3655, 11981, 13585, 19172, 19310, 0
190.001512, 9.996991, 2029, 1532, 4897.0, 3660, 12014, 13619, 15588, 19172, 0
200.001668, 10.000156, 1884, 1486, 5037.1, 3757, 12119, 14184, 19141, 19765, 0
210.001545, 9.999877, 2109, 1524, 4882.9, 3670, 12067, 13525, 16569, 19093, 0
220.001712, 10.000167, 2145, 1497, 4811.2, 3629, 11699, 14137, 18543, 23317, 0
230.00854, 10.006828, 1435, 1604, 5106.8, 3848, 12054, 14460, 20475, 21968, 0
240.009174, 10.000634, 2113, 1605, 4977.2, 3741, 11964, 14237, 19652, 31479, 0
250.000559, 9.991385, 2064, 1331, 4781.1, 3620, 11553, 13357, 19455, 31479, 0
260.001564, 10.001005, 2079, 1380, 4942.6, 3760, 11699, 13923, 16147, 16395, 0
270.001647, 10.000083, 2065, 1426, 5020.1, 3756, 12092, 14413, 21621, 22267, 0
280.001513, 9.999866, 2056, 1445, 4855.8, 3684, 11724, 13538, 18294, 21621, 0
290.001538, 10.000025, 2148, 1753, 4984.3, 3775, 11907, 14096, 16991, 21014, 0
300.008513, 10.006975, 2089, 1380, 5080.0, 3775, 12017, 14081, 22830, 41467, 0
301.029423, 1.02091, 179, 1380, 5087.5, 3786, 12041, 14087, 22830, 41467, 0
