elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000497, 10.000497, 2824, 37624, 77859.9, 67816, 91948, 435754, 1099211, 1157664, 0
20.001588, 10.001091, 3010, 40023, 67956.7, 67257, 86809, 96606, 110770, 125939, 0
30.005148, 10.00356, 2911, 30022, 66206.2, 65803, 83713, 92773, 100485, 163158, 0
40.000557, 9.995409, 2280, 1773, 74388.8, 64043, 86425, 721664, 1860862, 2080829, 0
50.001725, 10.001168, 2634, 34973, 66161.3, 66149, 81968, 89132, 94871, 99526, 0
60.001566, 9.999841, 2564, 36270, 65858.1, 65533, 80865, 88651, 130730, 149970, 0
70.008729, 10.007163, 2292, 1707, 70923.6, 64317, 90203, 494658, 1014652, 1160682, 0
80.008661, 9.999932, 2388, 8253, 67335.8, 67144, 83145, 91680, 486937, 563415, 0
90.005541, 9.99688, 2328, 42397, 69172.9, 68853, 83452, 90416, 97172, 102437, 0
100.00461, 9.999069, 2159, 2068, 73351.4, 65331, 82419, 317746, 1535035, 1668080, 0
110.001514, 9.996904, 2100, 1885, 71565.8, 66364, 85822, 204667, 1178758, 1295525, 0
120.00539, 10.003876, 2228, 37329, 67666.6, 67141, 82716, 90665, 143664, 186332, 0
130.000491, 9.995101, 2129, 2756, 64814.2, 65809, 80556, 89529, 206360, 589327, 0
140.001845, 10.001354, 2228, 1935, 69914.0, 64499, 84699, 353144, 1007873, 1167912, 0
150.001484, 9.999639, 2183, 39312, 67537.6, 67081, 82722, 90623, 136212, 140755, 0
160.001487, 10.000003, 2123, 6261, 66299.3, 66254, 83904, 100314, 136212, 140755, 0
170.001621, 10.000134, 2048, 2772, 69399.2, 64749, 82203, 233037, 1560937, 2122706, 0
180.004521, 10.0029, 2116, 27869, 69002.0, 68117, 86089, 95907, 231382, 395959, 0
190.001512, 9.996991, 2071, 35258, 69676.9, 67589, 82713, 146841, 278016, 297967, 0
200.001668, 10.000156, 1925, 2934, 80493.4, 64939, 87024, 719774, 1865135, 1959762, 0
210.001545, 9.999877, 2162, 28388, 67621.6, 66354, 83088, 123377, 248595, 513395, 0
220.001712, 10.000167, 2120, 39936, 67295.7, 66943, 82794, 88415, 123863, 170543, 0
230.00854, 10.006828, 1422, 2517, 94927.6, 64297, 84943, 1958394, 2375855, 3228232, 0
240.009174, 10.000634, 2069, 32109, 68327.6, 66600, 83017, 151708, 370741, 418081, 0
250.000559, 9.991385, 2103, 37231, 68957.1, 69008, 84039, 90377, 130347, 285315, 0
260.001564, 10.001005, 2085, 15062, 69042.6, 67212, 85021, 129000, 943874, 988824, 0
270.001647, 10.000083, 2133, 2543, 67841.0, 66111, 83526, 231757, 803395, 849722, 0
280.001513, 9.999866, 2121, 33402, 66595.6, 66451, 80031, 87725, 134995, 299475, 0
290.001538, 10.000025, 2143, 24997, 67308.5, 65363, 82637, 95223, 527677, 636639, 0
300.008513, 10.006975, 2050, 20750, 68797.8, 67326, 83174, 151331, 378646, 426020, 0
301.029423, 1.02091, 227, 18154, 66933.6, 66661, 82278, 155424, 420961, 458804, 0
