elapsed, window, total, successful, failed
10.000497, 10.000497, 8629, 8629, 0
20.001588, 10.001091, 9203, 9203, 0
30.005148, 10.00356, 8822, 8822, 0
40.000557, 9.995409, 6629, 6629, 0
50.001725, 10.001168, 8027, 8027, 0
60.001566, 9.999841, 7664, 7664, 0
70.008729, 10.007163, 7045, 7045, 0
80.008661, 9.999932, 7048, 7048, 0
90.005541, 9.99688, 6821, 6821, 0
100.00461, 9.999069, 6499, 6499, 0
110.001514, 9.996904, 6191, 6191, 0
120.00539, 10.003876, 6744, 6744, 0
130.000491, 9.995101, 6400, 6400, 0
140.001845, 10.001354, 6668, 6668, 0
150.001484, 9.999639, 6545, 6545, 0
160.001487, 10.000003, 6315, 6315, 0
170.001621, 10.000134, 6084, 6084, 0
180.004521, 10.0029, 6405, 6405, 0
190.001512, 9.996991, 6130, 6130, 0
200.001668, 10.000156, 5641, 5641, 0
210.001545, 9.999877, 6348, 6348, 0
220.001712, 10.000167, 6399, 6399, 0
230.00854, 10.006828, 4281, 4281, 0
240.009174, 10.000634, 6278, 6278, 0
250.000559, 9.991385, 6211, 6211, 0
260.001564, 10.001005, 6175, 6175, 0
270.001647, 10.000083, 6260, 6260, 0
280.001513, 9.999866, 6291, 6291, 0
290.001538, 10.000025, 6360, 6360, 0
300.008513, 10.006975, 6190, 6190, 0
301.029423, 1.02091, 620, 620, 0
