elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000497, 10.000497, 2919, 4061, 22443.5, 11904, 75655, 148575, 873214, 1152739, 0
20.001588, 10.001091, 3023, 4024, 25806.2, 14042, 82698, 94565, 113626, 158311, 0
30.005148, 10.00356, 2918, 4151, 31816.8, 15592, 82401, 91162, 105569, 141601, 0
40.000557, 9.995409, 2200, 4011, 52840.0, 16285, 86795, 744672, 2045209, 2102835, 0
50.001725, 10.001168, 2644, 4310, 42438.6, 51564, 84053, 90427, 99304, 107423, 0
60.001566, 9.999841, 2563, 4359, 46244.9, 60898, 84568, 93689, 113780, 239204, 0
70.008729, 10.007163, 2371, 4165, 53256.6, 55358, 89628, 372523, 968402, 1096883, 0
80.008661, 9.999932, 2364, 4515, 54300.5, 66546, 87193, 100856, 451484, 548442, 0
90.005541, 9.99688, 2272, 4353, 56082.0, 69207, 87968, 98372, 108880, 115259, 0
100.00461, 9.999069, 2091, 4202, 62202.4, 65954, 87199, 210423, 1572737, 1669436, 0
110.001514, 9.996904, 2045, 4298, 68027.2, 67774, 90301, 325324, 1373036, 1399206, 0
120.00539, 10.003876, 2275, 4177, 61291.3, 69686, 87122, 94529, 185703, 203003, 0
130.000491, 9.995101, 2168, 4399, 58163.9, 67620, 84399, 93507, 216714, 328408, 0
140.001845, 10.001354, 2263, 3828, 69873.6, 67149, 89765, 511956, 1163473, 1213131, 0
150.001484, 9.999639, 2216, 4569, 64276.9, 70298, 87519, 96027, 126607, 151729, 0
160.001487, 10.000003, 2190, 4447, 64184.6, 70171, 90133, 115339, 128100, 129773, 0
170.001621, 10.000134, 2037, 4509, 74325.8, 68203, 88317, 405609, 2027948, 2176718, 0
180.004521, 10.0029, 2109, 4653, 67826.0, 71486, 90987, 102743, 260810, 379196, 0
190.001512, 9.996991, 2030, 4866, 71936.4, 72026, 90270, 276014, 290375, 300460, 0
200.001668, 10.000156, 1832, 4315, 73404.7, 68595, 92196, 272328, 1776291, 1933773, 0
210.001545, 9.999877, 2077, 4801, 68959.1, 70728, 88213, 130893, 302756, 400070, 0
220.001712, 10.000167, 2134, 4652, 68864.3, 71053, 87988, 96345, 105005, 151950, 0
230.00854, 10.006828, 1424, 4416, 108385.4, 68277, 90244, 2021901, 4354748, 4359204, 0
240.009174, 10.000634, 2096, 5104, 70877.8, 71036, 90975, 159221, 360664, 389500, 0
250.000559, 9.991385, 2044, 4723, 70941.0, 72903, 89498, 96929, 184900, 261229, 0
260.001564, 10.001005, 2011, 5358, 72564.6, 71999, 92546, 137171, 963997, 982351, 0
270.001647, 10.000083, 2062, 4462, 70238.1, 70636, 90386, 221456, 724078, 787501, 0
280.001513, 9.999866, 2114, 4878, 70542.6, 71373, 86818, 95830, 217210, 304549, 0
290.001538, 10.000025, 2069, 5003, 70356.0, 69843, 88440, 118655, 507580, 625143, 0
300.008513, 10.006975, 2051, 5332, 72065.6, 72155, 88901, 124191, 376790, 397810, 0
301.029423, 1.02091, 214, 5332, 70181.3, 71085, 88386, 140757, 384499, 476507, 0
