elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.009667, 10.009667, 4969, 3416, 17960.0, 14041, 27151, 110699, 583320, 672303, 0
20.001328, 9.991661, 5939, 3546, 14628.8, 13859, 25847, 31097, 39810, 64092, 0
30.001713, 10.000385, 5643, 3494, 15111.8, 14538, 26124, 31800, 40224, 45289, 0
40.001068, 9.999355, 4334, 3087, 20020.7, 14971, 27974, 138949, 887112, 921349, 0
50.00563, 10.004562, 5288, 3797, 16261.7, 15445, 27427, 34231, 116349, 186588, 0
60.000997, 9.995367, 5354, 4021, 15959.9, 15470, 27271, 32945, 40460, 60240, 0
70.002058, 10.001061, 4402, 3568, 19566.0, 15913, 29071, 85874, 632559, 674667, 0
80.001128, 9.99907, 4919, 3677, 18016.0, 16361, 29036, 41143, 291025, 378401, 0
90.006404, 10.005276, 5351, 3716, 16131.7, 15749, 27148, 33017, 77401, 116931, 0
100.001365, 9.994961, 4461, 3807, 19882.8, 16387, 30083, 43846, 679417, 808048, 0
110.001413, 10.000048, 4634, 3240, 20397.7, 16492, 30444, 76785, 679417, 808048, 0
120.00126, 9.999847, 5120, 4506, 16811.7, 16191, 28698, 39639, 74550, 107021, 0
130.001556, 10.000296, 4943, 3733, 17369.9, 16713, 29229, 35354, 136209, 233357, 0
140.001009, 9.999453, 4426, 3221, 19054.5, 16701, 30539, 79874, 345833, 375494, 0
150.002593, 10.001584, 4574, 4382, 18525.3, 16608, 31539, 40509, 366847, 535064, 0
160.001102, 9.998509, 4982, 4179, 17451.0, 16732, 29782, 39809, 65858, 89502, 0
170.002503, 10.001401, 4291, 3132, 20213.7, 16388, 33158, 135866, 422887, 463184, 0
180.001969, 9.999466, 4765, 4297, 18019.4, 16535, 32990, 44118, 98351, 152965, 0
190.001058, 9.999089, 5013, 4591, 17023.9, 15944, 29980, 39277, 67886, 103703, 0
200.002011, 10.000953, 4872, 4100, 17530.4, 16150, 29925, 41194, 125704, 244887, 0
210.003566, 10.001555, 4547, 3726, 19762.9, 16553, 33140, 82340, 332384, 384849, 0
220.001094, 9.997528, 3955, 3350, 23156.3, 16382, 30571, 44748, 1789507, 1863898, 0
230.001277, 10.000183, 4892, 4937, 17322.8, 16164, 29405, 37457, 96950, 143896, 0
240.00116, 9.999883, 4584, 3629, 18771.4, 16219, 31167, 48924, 341713, 478276, 0
250.001662, 10.000502, 4887, 3762, 17573.6, 15742, 29400, 41051, 254249, 291142, 0
260.001194, 9.999532, 4859, 5149, 17062.1, 16137, 27645, 35215, 57454, 95544, 0
270.001315, 10.000121, 4656, 5123, 18140.5, 16657, 29366, 41788, 205569, 319728, 0
280.001779, 10.000464, 4714, 4268, 18658.9, 16228, 30439, 61075, 262249, 422537, 0
290.001355, 9.999576, 4721, 5137, 17926.6, 16876, 29191, 38731, 60928, 76927, 0
300.001363, 10.000008, 4678, 5026, 17786.4, 16748, 28444, 39495, 68921, 227167, 0
301.041972, 1.040609, 350, 5026, 18610.5, 16964, 28987, 42937, 286454, 370348, 0
