elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000423, 10.000423, 11259, 3080, 26680.0, 24250, 49574, 64733, 150128, 181166, 0
20.001307, 10.000884, 11152, 3616, 26947.3, 23653, 53715, 66702, 170273, 191727, 0
30.001448, 10.000141, 9329, 3456, 29183.2, 23460, 56726, 89847, 633321, 1291457, 0
40.001471, 10.000023, 7604, 3172, 43254.5, 20651, 78012, 650155, 1938731, 2749294, 0
50.001241, 9.99977, 10934, 3213, 27530.1, 22980, 62813, 83069, 98601, 111420, 0
60.001284, 10.000043, 9933, 2689, 28594.9, 23324, 55846, 76798, 1119816, 1313056, 0
70.003337, 10.002053, 5100, 3490, 64898.8, 21108, 98029, 1281451, 2648659, 2957836, 0
80.00123, 9.997893, 10841, 3581, 27922.4, 23310, 61866, 80020, 104034, 127562, 0
90.001252, 10.000022, 10628, 3332, 28031.4, 22105, 65904, 94869, 117080, 132655, 0
100.001279, 10.000027, 4719, 3242, 57589.4, 20201, 93262, 1110428, 2238217, 2973826, 0
110.001259, 9.99998, 10976, 3224, 28085.9, 22244, 62877, 78999, 556352, 641893, 0
120.001295, 10.000036, 10876, 3339, 27450.3, 22733, 65269, 92897, 120615, 166593, 0
130.001287, 9.999992, 5884, 3378, 44230.4, 21108, 63608, 856903, 2048193, 2898280, 0
140.001352, 10.000065, 8984, 3135, 39243.1, 21821, 65790, 434129, 2178928, 2898280, 0
150.001311, 9.999959, 10893, 3880, 27642.7, 24241, 58688, 79053, 175622, 193355, 0
160.00127, 9.999959, 7776, 3361, 35486.3, 22394, 57074, 229298, 2269461, 2491552, 0
170.00124, 9.99997, 6318, 3413, 49339.9, 23359, 61471, 1129915, 2303496, 3601359, 0
180.001266, 10.000026, 10692, 3218, 27930.8, 23891, 61758, 83901, 99715, 136469, 0
190.001249, 9.999983, 8956, 3718, 33101.8, 22081, 65619, 318398, 875407, 1329002, 0
200.001347, 10.000098, 6221, 3239, 49276.2, 21755, 71033, 931371, 2136883, 3033366, 0
210.001235, 9.999888, 10830, 3628, 27632.5, 23410, 57244, 86043, 116146, 151277, 0
220.001235, 10.0, 9712, 3190, 29278.8, 22842, 63386, 100947, 537251, 633872, 0
230.001274, 10.000039, 4926, 3274, 60286.7, 19600, 101166, 1352154, 3043978, 3104915, 0
240.001231, 9.999957, 10511, 3524, 32111.7, 21775, 71213, 117920, 1550053, 2641194, 0
250.001347, 10.000116, 10513, 3235, 28525.9, 22849, 62228, 83972, 511959, 664565, 0
260.00128, 9.999933, 5529, 2920, 44273.2, 20633, 67265, 830631, 1983990, 2890789, 0
270.001231, 9.999951, 7812, 2884, 44806.7, 23338, 60013, 800710, 2736836, 3152384, 0
280.001255, 10.000024, 10288, 3073, 29065.5, 23067, 62805, 96076, 392692, 528910, 0
290.001284, 10.000029, 8166, 3431, 34058.2, 23648, 53113, 223406, 1747262, 1981721, 0
300.001231, 9.999947, 5806, 3282, 53382.6, 20972, 65339, 1135136, 2632947, 3021304, 0
310.001301, 10.00007, 10033, 3348, 29828.2, 23705, 58125, 98405, 674869, 1137579, 0
320.00125, 9.999949, 8335, 3012, 35299.1, 21824, 59583, 392705, 1622704, 2274538, 0
330.00123, 9.99998, 4670, 2780, 59308.2, 20048, 81950, 1309810, 2672767, 3362598, 0
340.001238, 10.000008, 10767, 3322, 28196.5, 21618, 61677, 113824, 460729, 613139, 0
350.00129, 10.000052, 8946, 3301, 32944.2, 22964, 50445, 194566, 1635354, 2078623, 0
360.00126, 9.99997, 4874, 3378, 49175.2, 20819, 88202, 999787, 2745739, 3924673, 0
370.001389, 10.000129, 8890, 3543, 38563.8, 23557, 63684, 217356, 2500574, 3355804, 0
380.001269, 9.99988, 9108, 3603, 32579.3, 23626, 55917, 172388, 1488451, 1700792, 0
390.001236, 9.999967, 7731, 3390, 35926.5, 22488, 66790, 163903, 2198194, 2590579, 0
400.001231, 9.999995, 7543, 3504, 42904.4, 21275, 66979, 1004705, 1668642, 2463893, 0
410.001231, 10.0, 9192, 3369, 31104.9, 20837, 72866, 132476, 634166, 1158385, 0
420.001237, 10.000006, 9551, 3362, 32790.2, 24111, 56132, 107010, 1602929, 1882119, 0
430.001398, 10.000161, 4143, 3363, 73483.9, 21518, 60990, 2127146, 3899141, 4024234, 0
440.001274, 9.999876, 9926, 3348, 30043.6, 22371, 71751, 127615, 489129, 585914, 0
450.001233, 9.999959, 8928, 3176, 33191.4, 22474, 59236, 182486, 1439358, 2264550, 0
460.001262, 10.000029, 4979, 3538, 55915.4, 22870, 55793, 1322063, 2287664, 3091353, 0
470.001231, 9.999969, 9924, 3257, 30036.5, 23925, 55740, 113346, 849946, 974215, 0
480.001265, 10.000034, 8986, 3339, 32957.3, 22508, 59980, 282595, 977578, 1541804, 0
490.001236, 9.999971, 6139, 3312, 41051.7, 22823, 52907, 729909, 2091740, 2400895, 0
500.001356, 10.00012, 8853, 2863, 37821.6, 22057, 62380, 224644, 2642441, 3741055, 0
510.001237, 9.999881, 9136, 3318, 32406.7, 22216, 58888, 168345, 1537288, 1899782, 0
520.001229, 9.999992, 7914, 3189, 31966.7, 23715, 54949, 98920, 1521446, 2496223, 0
530.001337, 10.000108, 6561, 3263, 54248.0, 21567, 65039, 1221476, 3856702, 3968515, 0
540.001328, 9.999991, 9037, 3447, 32592.6, 23999, 51170, 84168, 1925005, 2003474, 0
550.001278, 9.99995, 10862, 3626, 27472.6, 24469, 48954, 79471, 338645, 567130, 0
560.001274, 9.999996, 4627, 3514, 60270.5, 22464, 54404, 1376340, 2639145, 2857987, 0
570.001278, 10.000004, 8610, 3465, 34208.8, 24419, 51712, 168779, 1307169, 2298023, 0
580.001407, 10.000129, 10259, 3594, 29058.9, 24496, 56299, 98845, 387361, 478469, 0
590.0013, 9.999893, 4598, 3158, 62035.2, 20181, 71704, 1521474, 3069325, 3347673, 0
600.001236, 9.999936, 9374, 3170, 32207.6, 22010, 55311, 223418, 998091, 3181519, 0
601.022187, 1.020951, 227, 3170, 34759.8, 22063, 55935, 259716, 1923180, 2588774, 0
