elapsed, window, total, successful, failed
10.001967, 10.001967, 11047, 11047, 0
20.001322, 9.999355, 10919, 10919, 0
30.001404, 10.000082, 9007, 9007, 0
40.001377, 9.999973, 7462, 7462, 0
50.001473, 10.000096, 10746, 10746, 0
60.001293, 9.99982, 9835, 9835, 0
70.001349, 10.000056, 5193, 5193, 0
80.001447, 10.000098, 10499, 10499, 0
90.001341, 9.999894, 10354, 10354, 0
100.001486, 10.000145, 4633, 4633, 0
110.001507, 10.000021, 10587, 10587, 0
120.001315, 9.999808, 10521, 10521, 0
130.001297, 9.999982, 5778, 5778, 0
140.001292, 9.999995, 9128, 9128, 0
150.001414, 10.000122, 11003, 11003, 0
160.00133, 9.999916, 7563, 7563, 0
170.001423, 10.000093, 6544, 6544, 0
180.001291, 9.999868, 10694, 10694, 0
190.001375, 10.000084, 8880, 8880, 0
200.001618, 10.000243, 6580, 6580, 0
210.001292, 9.999674, 10985, 10985, 0
220.00129, 9.999998, 9517, 9517, 0
230.001291, 10.000001, 5026, 5026, 0
240.001328, 10.000037, 10661, 10661, 0
250.001426, 10.000098, 10600, 10600, 0
260.001328, 9.999902, 5341, 5341, 0
270.001292, 9.999964, 8082, 8082, 0
280.001307, 10.000015, 10508, 10508, 0
290.001317, 10.00001, 7777, 7777, 0
300.00135, 10.000033, 5895, 5895, 0
310.00143, 10.00008, 10109, 10109, 0
320.00129, 9.99986, 8066, 8066, 0
330.001292, 10.000002, 4662, 4662, 0
340.001315, 10.000023, 10736, 10736, 0
350.001313, 9.999998, 8911, 8911, 0
360.001332, 10.000019, 4764, 4764, 0
370.001292, 9.99996, 9155, 9155, 0
380.001307, 10.000015, 9302, 9302, 0
390.001301, 9.999994, 7638, 7638, 0
400.00137, 10.000069, 7821, 7821, 0
410.001291, 9.999921, 9327, 9327, 0
420.001289, 9.999998, 9672, 9672, 0
430.001291, 10.000002, 4095, 4095, 0
440.001424, 10.000133, 10180, 10180, 0
450.001487, 10.000063, 8963, 8963, 0
460.00133, 9.999843, 5054, 5054, 0
470.001311, 9.999981, 9942, 9942, 0
480.00129, 9.999979, 9057, 9057, 0
490.001304, 10.000014, 5744, 5744, 0
500.00131, 10.000006, 8951, 8951, 0
510.001374, 10.000064, 9189, 9189, 0
520.001291, 9.999917, 7831, 7831, 0
530.001306, 10.000015, 6787, 6787, 0
540.001329, 10.000023, 8960, 8960, 0
550.001329, 10.0, 10924, 10924, 0
560.001289, 9.99996, 4820, 4820, 0
570.001357, 10.000068, 8766, 8766, 0
580.001311, 9.999954, 10361, 10361, 0
590.001407, 10.000096, 4678, 4678, 0
600.001301, 9.999894, 9186, 9186, 0
601.249511, 1.24821, 750, 750, 0
