elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001502, 10.001502, 8886, 2933, 34562.8, 22612, 50625, 402418, 960076, 1037367, 0
20.001301, 9.999799, 11580, 3750, 25407.0, 24251, 42119, 53720, 81937, 122380, 0
30.010154, 10.008853, 11240, 3971, 26584.1, 24973, 45436, 61246, 100847, 182614, 0
40.00183, 9.991676, 6194, 3034, 44786.8, 23732, 50443, 799832, 1973784, 2688332, 0
50.00274, 10.00091, 11426, 4058, 26322.5, 25134, 44509, 55832, 80319, 100087, 0
60.002398, 9.999658, 11349, 4208, 26371.7, 25204, 44583, 56016, 72126, 125313, 0
70.00624, 10.003842, 5989, 3993, 45998.4, 24072, 51435, 808172, 2048986, 3315174, 0
80.001281, 9.995041, 11052, 4037, 31034.5, 25320, 47555, 69761, 1360694, 3315174, 0
90.00146, 10.000179, 11618, 4444, 25936.6, 25047, 42083, 53571, 74805, 131410, 0
100.001282, 9.999822, 7807, 3247, 34332.4, 24816, 45859, 255689, 1523840, 2061060, 0
110.001675, 10.000393, 8321, 3479, 42711.2, 24898, 48832, 672636, 2253794, 2917152, 0
120.001202, 9.999527, 11207, 4151, 26947.3, 25462, 45909, 62795, 96637, 134057, 0
130.00161, 10.000408, 10015, 3705, 29150.9, 24895, 46740, 72435, 816753, 1296442, 0
140.002543, 10.000933, 3206, 2754, 80322.5, 24681, 204859, 1555246, 2551895, 4143237, 0
150.001228, 9.998685, 10906, 4495, 27619.7, 26401, 46087, 59346, 82690, 97858, 0
160.001625, 10.000397, 9687, 3947, 30428.6, 26169, 45821, 61176, 1166901, 1435013, 0
170.001201, 9.999576, 3419, 2989, 76233.3, 21257, 92418, 1684244, 2326845, 2537090, 0
180.001162, 9.999961, 11338, 4432, 30108.3, 25211, 44005, 58947, 1599803, 2537090, 0
190.001171, 10.000009, 10308, 3962, 27355.5, 25407, 45124, 62220, 218464, 1062011, 0
200.001508, 10.000337, 4506, 2643, 66026.2, 19716, 290153, 1394950, 2077107, 2165860, 0
210.00119, 9.999682, 8312, 3654, 40905.0, 24295, 47792, 135267, 2124937, 3340065, 0
220.002361, 10.001171, 11266, 3945, 26515.3, 25353, 44462, 56425, 79882, 99748, 0
230.001195, 9.998834, 4711, 2965, 56216.0, 21288, 61824, 1141230, 2146772, 2267344, 0
240.001238, 10.000043, 7124, 3159, 43649.6, 23999, 47194, 726998, 2011527, 2608127, 0
250.001558, 10.00032, 11446, 4686, 26145.2, 24742, 44512, 57687, 82342, 97809, 0
260.001162, 9.999604, 5735, 3215, 44092.8, 22762, 50403, 1018262, 1968556, 2074906, 0
270.001286, 10.000124, 4168, 3369, 77691.9, 22110, 76014, 2164458, 2839049, 2919654, 0
280.001303, 10.000017, 11361, 3258, 26470.6, 25036, 44684, 60530, 123758, 149517, 0
290.001291, 9.999988, 8447, 3569, 32139.6, 24272, 47450, 150606, 1235629, 1443801, 0
300.001225, 9.999934, 4767, 3384, 69113.9, 20490, 231362, 1491807, 2347196, 2526934, 0
310.001582, 10.000357, 11130, 3421, 30421.5, 24643, 45523, 77001, 1284059, 2526934, 0
320.001161, 9.999579, 10567, 3797, 28137.0, 24522, 44960, 71797, 754025, 896070, 0
330.001152, 9.999991, 2531, 3552, 89352.2, 21621, 77813, 2747928, 3338023, 3403568, 0
340.001721, 10.000569, 10374, 4173, 34290.5, 24513, 45005, 73336, 3245600, 3403568, 0
350.001351, 9.99963, 10778, 2949, 27582.8, 24563, 45760, 62915, 693874, 942907, 0
360.001164, 9.999813, 7760, 3428, 36363.1, 23233, 50184, 439212, 1758531, 2617493, 0
370.001517, 10.000353, 7549, 3235, 39140.5, 24337, 47939, 526392, 2190991, 2875696, 0
380.001401, 9.999884, 10693, 3241, 27893.3, 24850, 44608, 60951, 728539, 1054947, 0
390.001153, 9.999752, 7792, 3316, 36788.9, 23800, 53202, 482950, 1548141, 1862528, 0
400.00145, 10.000297, 5737, 3084, 48125.4, 23627, 50521, 953889, 2549836, 2752839, 0
410.001221, 9.999771, 10416, 2976, 28579.4, 25252, 46961, 73941, 642147, 889576, 0
420.001242, 10.000021, 8921, 3493, 32917.2, 24493, 47316, 151943, 1353005, 1967639, 0
430.001306, 10.000064, 3790, 2993, 67274.2, 22229, 57457, 1565423, 2790029, 3368375, 0
440.001189, 9.999883, 10591, 2993, 33257.5, 24744, 48567, 79100, 2330989, 2700362, 0
450.001488, 10.000299, 8965, 2640, 32640.5, 24833, 46746, 76848, 1735712, 2252226, 0
460.001455, 9.999967, 6383, 2640, 47356.1, 24003, 48991, 954161, 3076679, 3185586, 0
470.00138, 9.999925, 7780, 3261, 45994.5, 24382, 48868, 864522, 2860614, 3158657, 0
480.001158, 9.999778, 9131, 3261, 33863.0, 24506, 50336, 158074, 1572570, 1681312, 0
490.001377, 10.000219, 9152, 3749, 36228.1, 23855, 45973, 405122, 1614963, 1686187, 0
500.001196, 9.999819, 5553, 2622, 56769.2, 22154, 50326, 1335931, 2707129, 3039620, 0
510.001189, 9.999993, 9908, 3492, 32282.0, 25111, 46576, 135813, 1267878, 1447974, 0
520.001339, 10.00015, 8803, 2966, 33036.4, 23894, 49025, 261987, 1549082, 2078308, 0
530.001255, 9.999916, 4879, 2975, 56146.4, 22136, 47922, 1337207, 2702879, 3104811, 0
540.001202, 9.999947, 9693, 3553, 30477.2, 24813, 45033, 92647, 1080389, 1599490, 0
550.002145, 10.000943, 9087, 2863, 32277.8, 23928, 50995, 147567, 1251928, 1615714, 0
560.001199, 9.999054, 5309, 2896, 42011.0, 23943, 47146, 1056949, 1783516, 2106068, 0
570.001244, 10.000045, 8872, 3460, 40427.1, 24462, 45899, 317007, 3330346, 4190707, 0
580.00163, 10.000386, 9138, 3142, 32118.7, 24889, 50203, 97908, 1679134, 1952645, 0
590.001477, 9.999847, 8967, 3429, 32843.1, 25134, 45695, 76475, 2094568, 2335919, 0
600.001188, 9.999711, 7850, 3266, 36820.4, 24183, 48426, 320986, 2488681, 3086895, 0
601.044762, 1.043574, 1129, 3266, 38200.6, 23857, 48657, 366623, 2522902, 3086895, 0
