elapsed, window, total, successful, failed
10.001076, 10.001076, 10766, 10766, 0
20.001998, 10.000922, 10818, 10818, 0
30.002034, 10.000036, 8785, 8785, 0
40.002744, 10.00071, 8100, 8100, 0
50.001391, 9.998647, 11197, 11197, 0
60.000984, 9.999593, 10881, 10881, 0
70.002299, 10.001315, 5789, 5789, 0
80.001018, 9.998719, 11076, 11076, 0
90.002496, 10.001478, 11311, 11311, 0
100.001026, 9.99853, 5190, 5190, 0
110.0021, 10.001074, 11255, 11255, 0
120.002074, 9.999974, 11151, 11151, 0
130.002031, 9.999957, 5971, 5971, 0
140.009159, 10.007128, 7269, 7269, 0
150.001568, 9.992409, 10947, 10947, 0
160.001041, 9.999473, 7443, 7443, 0
170.00216, 10.001119, 5829, 5829, 0
180.001048, 9.998888, 11160, 11160, 0
190.000981, 9.999933, 8428, 8428, 0
200.003385, 10.002404, 3084, 3084, 0
210.001121, 9.997736, 11312, 11312, 0
220.002013, 10.000892, 9793, 9793, 0
230.002015, 10.000002, 2497, 2497, 0
240.001975, 9.99996, 11035, 11035, 0
250.002025, 10.00005, 9955, 9955, 0
260.002324, 10.000299, 3970, 3970, 0
270.000974, 9.99865, 7750, 7750, 0
280.002016, 10.001042, 10186, 10186, 0
290.001976, 9.99996, 7395, 7395, 0
300.0021, 10.000124, 6513, 6513, 0
310.001082, 9.998982, 11364, 11364, 0
320.002242, 10.00116, 6780, 6780, 0
330.001014, 9.998772, 5347, 5347, 0
340.001973, 10.000959, 11432, 11432, 0
350.001976, 10.000003, 8499, 8499, 0
360.002058, 10.000082, 5922, 5922, 0
370.002056, 9.999998, 11308, 11308, 0
380.002001, 9.999945, 9819, 9819, 0
390.00197, 9.999969, 5820, 5820, 0
400.001972, 10.000002, 8417, 8417, 0
410.002217, 10.000245, 10033, 10033, 0
420.000979, 9.998762, 7733, 7733, 0
430.001975, 10.000996, 5888, 5888, 0
440.00198, 10.000005, 10619, 10619, 0
450.002117, 10.000137, 8037, 8037, 0
460.001124, 9.999007, 5136, 5136, 0
470.001015, 9.999891, 9743, 9743, 0
480.001976, 10.000961, 8507, 8507, 0
490.001979, 10.000003, 6276, 6276, 0
500.001987, 10.000008, 7923, 7923, 0
510.002098, 10.000111, 8592, 8592, 0
520.000979, 9.998881, 7913, 7913, 0
530.001972, 10.000993, 6162, 6162, 0
540.001977, 10.000005, 9079, 9079, 0
550.002055, 10.000078, 10012, 10012, 0
560.001157, 9.999102, 4027, 4027, 0
570.000973, 9.999816, 10088, 10088, 0
580.001998, 10.001025, 10312, 10312, 0
590.001976, 9.999978, 6568, 6568, 0
600.002031, 10.000055, 11096, 11096, 0
601.021998, 1.019967, 654, 654, 0
