elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001312, 10.001312, 12449, 3263, 24144.1, 22982, 40559, 52202, 163593, 173253, 0
20.001185, 9.999873, 12590, 3455, 23751.7, 22792, 40964, 50972, 67767, 96889, 0
30.001397, 10.000212, 10321, 3254, 28324.5, 22619, 41990, 63542, 1028321, 2162198, 0
40.010143, 10.008746, 6829, 2746, 47248.5, 20132, 51986, 1084758, 1883288, 2413459, 0
50.001189, 9.991046, 12637, 3544, 23902.1, 22701, 42036, 53239, 76639, 113936, 0
60.001152, 9.999963, 12638, 3401, 23613.4, 22426, 40161, 53375, 110577, 159849, 0
70.00119, 10.000038, 3450, 2939, 78064.6, 18730, 297327, 1546223, 2629293, 3059712, 0
80.00112, 9.99993, 12701, 2990, 23621.1, 22534, 41217, 52636, 65324, 98956, 0
90.00117, 10.00005, 12289, 2930, 24348.5, 23333, 41615, 54435, 70399, 92847, 0
100.001179, 10.000009, 5462, 2923, 49284.3, 20250, 49201, 1050217, 2592323, 3632147, 0
110.001143, 9.999964, 9219, 3207, 34356.8, 22676, 43886, 71750, 2433642, 3174823, 0
120.001122, 9.999979, 12118, 3371, 24677.0, 23343, 43761, 55954, 73005, 110173, 0
130.001243, 10.000121, 6647, 3014, 40727.3, 21538, 48398, 702878, 1633511, 2124351, 0
140.001123, 9.99988, 8366, 2933, 39772.4, 22110, 46849, 673480, 2369621, 3073513, 0
150.001302, 10.000179, 12082, 3194, 24771.1, 23204, 43134, 60359, 138307, 183561, 0
160.001428, 10.000126, 8905, 3223, 30974.5, 21728, 44921, 318807, 1322953, 2100347, 0
170.001198, 9.99977, 5164, 2741, 62585.5, 19141, 51872, 1459506, 2239516, 2919937, 0
180.001264, 10.000066, 12554, 3124, 25565.4, 22362, 43057, 58355, 726508, 1960375, 0
190.001207, 9.999943, 10643, 2872, 27942.5, 22711, 42657, 81506, 922693, 1493886, 0
200.001126, 9.999919, 5835, 2845, 47121.1, 20570, 48312, 1032115, 2098044, 2680721, 0
210.001149, 10.000023, 10025, 2827, 32608.7, 21758, 42429, 75801, 2177393, 3079194, 0
220.001125, 9.999976, 11206, 3349, 24698.4, 22737, 43529, 58468, 279018, 883789, 0
230.00117, 10.000045, 4298, 3069, 75431.7, 18538, 184881, 1489065, 2879427, 2985585, 0
240.001145, 9.999975, 9714, 3096, 35340.8, 22323, 43511, 217868, 1785824, 2985585, 0
250.001121, 9.999976, 12386, 3389, 24207.2, 23192, 41366, 52525, 68060, 78119, 0
260.001175, 10.000054, 5432, 3054, 50889.9, 18225, 53264, 1327783, 1728992, 3409999, 0
270.001357, 10.000182, 4965, 3271, 60343.9, 20609, 45174, 1446155, 4532351, 4746094, 0
280.001139, 9.999782, 12574, 3278, 23839.1, 22170, 43197, 61233, 116461, 142810, 0
290.00112, 9.999981, 6714, 2861, 38876.4, 20225, 55009, 719485, 1601414, 1747765, 0
300.001158, 10.000038, 7509, 3370, 40293.5, 20980, 44068, 653766, 2439200, 2751586, 0
310.001221, 10.000063, 10678, 3012, 31899.2, 22552, 44069, 74144, 2158333, 3363085, 0
320.001126, 9.999905, 7787, 2864, 36535.0, 21744, 44315, 503412, 1799397, 2133215, 0
330.001121, 9.999995, 5764, 2848, 52319.0, 20762, 49762, 1437291, 3585612, 3791081, 0
340.001193, 10.000072, 8095, 3147, 36237.7, 22698, 44487, 68607, 2965108, 3627404, 0
350.001253, 10.00006, 9466, 3133, 31118.9, 21985, 43307, 349099, 1393802, 1537672, 0
360.00118, 9.999927, 6335, 2940, 52026.8, 19478, 53971, 1062284, 2853615, 2944693, 0
370.001123, 9.999943, 9063, 3415, 32570.7, 22379, 43870, 186838, 2130229, 2794990, 0
380.001178, 10.000055, 9981, 3153, 29706.0, 22309, 43936, 255512, 909175, 1141997, 0
390.001264, 10.000086, 6396, 2890, 39206.5, 20385, 43802, 893895, 2061019, 2594727, 0
400.001254, 9.99999, 7320, 3442, 39996.0, 21408, 43089, 583633, 2606424, 3155895, 0
410.001146, 9.999892, 9782, 2894, 35845.4, 21773, 44243, 255623, 1630323, 3024589, 0
420.00114, 9.999994, 7722, 2886, 37800.9, 21726, 44461, 723279, 2040055, 2386628, 0
430.00112, 9.99998, 8217, 3489, 33902.9, 22163, 44019, 76301, 1877893, 2477309, 0
440.001137, 10.000017, 7346, 2742, 44898.8, 20573, 41263, 1087977, 2567653, 2626598, 0
450.001226, 10.000089, 8294, 2999, 35282.0, 20303, 42845, 604568, 1795037, 2001587, 0
460.00119, 9.999964, 9682, 2865, 30597.3, 21995, 43377, 71393, 1534672, 2803213, 0
470.001121, 9.999931, 6836, 2873, 42475.7, 21689, 48588, 775711, 2303894, 3353622, 0
480.00112, 9.999999, 8851, 3172, 34594.1, 21573, 45109, 542481, 1404654, 2007091, 0
490.001131, 10.000011, 8606, 2861, 37420.7, 21591, 43614, 428977, 2351264, 3751632, 0
500.001127, 9.999996, 7417, 3388, 38228.5, 21739, 46213, 627891, 2089198, 2351911, 0
510.001131, 10.000004, 9801, 2856, 30701.2, 21933, 41969, 337565, 1029869, 1594578, 0
520.001224, 10.000093, 7956, 2816, 33347.3, 21758, 43555, 483414, 1524689, 2502829, 0
530.001296, 10.000072, 7381, 3140, 46869.2, 22716, 42853, 1095087, 3756517, 4002505, 0
540.001139, 9.999843, 9586, 3126, 38760.5, 21637, 43825, 520014, 3725304, 4002505, 0
550.001125, 9.999986, 9054, 2726, 31269.3, 22333, 44192, 118602, 1869956, 2376921, 0
560.001142, 10.000017, 8187, 2987, 36196.7, 20978, 45690, 511487, 1796113, 2456780, 0
570.001216, 10.000074, 7771, 2818, 42290.4, 20743, 46059, 794397, 1811143, 2555738, 0
580.001121, 9.999905, 8818, 3148, 33359.0, 22018, 40327, 151945, 1574941, 3063271, 0
