elapsed, window, total, successful, failed
10.001312, 10.001312, 12449, 12449, 0
20.001185, 9.999873, 12590, 12590, 0
30.001397, 10.000212, 10321, 10321, 0
40.010143, 10.008746, 6829, 6829, 0
50.001189, 9.991046, 12637, 12637, 0
60.001152, 9.999963, 12638, 12638, 0
70.00119, 10.000038, 3450, 3450, 0
80.00112, 9.99993, 12701, 12701, 0
90.00117, 10.00005, 12289, 12289, 0
100.001179, 10.000009, 5462, 5462, 0
110.001143, 9.999964, 9219, 9219, 0
120.001122, 9.999979, 12118, 12118, 0
130.001243, 10.000121, 6647, 6647, 0
140.001123, 9.99988, 8366, 8366, 0
150.001302, 10.000179, 12082, 12082, 0
160.001428, 10.000126, 8905, 8905, 0
170.001198, 9.99977, 5164, 5164, 0
180.001264, 10.000066, 12554, 12554, 0
190.001207, 9.999943, 10643, 10643, 0
200.001126, 9.999919, 5835, 5835, 0
210.001149, 10.000023, 10025, 10025, 0
220.001125, 9.999976, 11206, 11206, 0
230.00117, 10.000045, 4298, 4298, 0
240.001145, 9.999975, 9714, 9714, 0
250.001121, 9.999976, 12386, 12386, 0
260.001175, 10.000054, 5432, 5432, 0
270.001357, 10.000182, 4965, 4965, 0
280.001139, 9.999782, 12574, 12574, 0
290.00112, 9.999981, 6714, 6714, 0
300.001158, 10.000038, 7509, 7509, 0
310.001221, 10.000063, 10678, 10678, 0
320.001126, 9.999905, 7787, 7787, 0
330.001121, 9.999995, 5764, 5764, 0
340.001193, 10.000072, 8095, 8095, 0
350.001253, 10.00006, 9466, 9466, 0
360.00118, 9.999927, 6335, 6335, 0
370.001123, 9.999943, 9063, 9063, 0
380.001178, 10.000055, 9981, 9981, 0
390.001264, 10.000086, 6396, 6396, 0
400.001254, 9.99999, 7320, 7320, 0
410.001146, 9.999892, 9782, 9782, 0
420.00114, 9.999994, 7722, 7722, 0
430.00112, 9.99998, 8217, 8217, 0
440.001137, 10.000017, 7346, 7346, 0
450.001226, 10.000089, 8294, 8294, 0
460.00119, 9.999964, 9682, 9682, 0
470.001121, 9.999931, 6836, 6836, 0
480.00112, 9.999999, 8851, 8851, 0
490.001131, 10.000011, 8606, 8606, 0
500.001127, 9.999996, 7417, 7417, 0
510.001131, 10.000004, 9801, 9801, 0
520.001224, 10.000093, 7956, 7956, 0
530.001296, 10.000072, 7381, 7381, 0
540.001139, 9.999843, 9586, 9586, 0
550.001125, 9.999986, 9054, 9054, 0
560.001142, 10.000017, 8187, 8187, 0
570.001216, 10.000074, 7771, 7771, 0
580.001121, 9.999905, 8818, 8818, 0
590.00112, 9.999999, 7928, 7928, 0
600.00118, 10.00006, 8926, 8926, 0
601.031863, 1.030683, 1618, 1618, 0
