elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001568, 10.001568, 3629, 6291, 42838.8, 37094, 64654, 224069, 474169, 792334, 0
20.001502, 9.999934, 3965, 8609, 38189.8, 37670, 57135, 67346, 105957, 132483, 0
30.001525, 10.000023, 3836, 7556, 38639.8, 37358, 58037, 70992, 265132, 388896, 0
40.001806, 10.000281, 2606, 6721, 53785.6, 36349, 60214, 757978, 1666579, 2136361, 0
50.001545, 9.999739, 3817, 8770, 40450.8, 39165, 63524, 77029, 99113, 111608, 0
60.001735, 10.00019, 3854, 6534, 39361.9, 38762, 58972, 70044, 117917, 174577, 0
70.001599, 9.999864, 2491, 5886, 55213.0, 36923, 66716, 636115, 1765823, 1900412, 0
80.001457, 9.999858, 4036, 6237, 36976.8, 34867, 55459, 67230, 688843, 848660, 0
90.001329, 9.999872, 4104, 9049, 36858.0, 35605, 58031, 68728, 89984, 104959, 0
100.001322, 9.999993, 2517, 5409, 50984.3, 33536, 60864, 514393, 1874356, 2485904, 0
110.001666, 10.000344, 4187, 5938, 39391.8, 33056, 55420, 133442, 1192734, 2485904, 0
120.001863, 10.000197, 4109, 7896, 36272.4, 35279, 54896, 68650, 90032, 97822, 0
130.001311, 9.999448, 3254, 5885, 41549.7, 33373, 59801, 391995, 757964, 788754, 0
140.001333, 10.000022, 3506, 5885, 41762.3, 32752, 59499, 310907, 1159718, 1870776, 0
150.00155, 10.000217, 4017, 4899, 37339.3, 36610, 55569, 65858, 78969, 91661, 0
160.00139, 9.99984, 3130, 6766, 45079.8, 35436, 60020, 297753, 1923128, 1992272, 0
170.0018, 10.00041, 3192, 5965, 46967.5, 34868, 56416, 349604, 1923128, 1992272, 0
180.004711, 10.002911, 3795, 10521, 39381.6, 38667, 57610, 68959, 100262, 122699, 0
190.001471, 9.99676, 3399, 7428, 42543.3, 37350, 59657, 146397, 857382, 1079918, 0
200.001611, 10.00014, 2581, 6377, 52144.4, 35365, 60939, 730724, 2103055, 2345391, 0
210.001983, 10.000372, 3669, 10925, 40216.5, 39153, 59532, 71027, 134929, 172446, 0
220.00148, 9.999497, 3535, 8078, 41535.2, 38649, 61002, 88622, 515648, 564864, 0
230.001742, 10.000262, 2722, 6663, 49017.6, 37954, 64179, 428627, 1159524, 1588004, 0
240.001762, 10.00002, 3498, 7639, 42484.2, 40648, 63006, 91309, 301556, 370716, 0
250.001375, 9.999613, 3525, 6199, 43168.3, 40690, 62299, 99195, 464242, 506371, 0
260.001574, 10.000199, 2929, 5307, 48514.4, 38271, 64259, 468879, 1122141, 1202582, 0
270.001546, 9.999972, 3324, 7970, 44463.9, 40233, 63796, 209499, 381184, 453277, 0
