elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001244, 10.001244, 3637, 1199, 12457.4, 9130, 20754, 102476, 302270, 575608, 0
20.001208, 9.999964, 4753, 1960, 10645.7, 9801, 19302, 25052, 39698, 78970, 0
30.001338, 10.00013, 4280, 2035, 11926.1, 10958, 21555, 28601, 37283, 88028, 0
40.002319, 10.000981, 2885, 1448, 22095.2, 10652, 22086, 423455, 1587906, 1971521, 0
50.001316, 9.998997, 4041, 1819, 12336.1, 11363, 22181, 29954, 41299, 57296, 0
60.001178, 9.999862, 4206, 2089, 12294.6, 11404, 21644, 28905, 40256, 148007, 0
70.001184, 10.000006, 2861, 1777, 19159.5, 11090, 23485, 251756, 1125222, 1930948, 0
80.001304, 10.00012, 3699, 2149, 18052.7, 12416, 24850, 40273, 805164, 1930948, 0
90.001444, 10.00014, 3736, 2427, 13596.9, 12829, 23704, 29628, 37225, 44723, 0
100.001242, 9.999798, 2690, 2086, 18603.1, 13114, 26128, 184175, 898800, 1176513, 0
110.006412, 10.00517, 3081, 2377, 22345.0, 13173, 27109, 206082, 1317434, 1725992, 0
120.001276, 9.994864, 3876, 2244, 14243.9, 13443, 24766, 31810, 49296, 59621, 0
130.0012, 9.999924, 3332, 2286, 17706.9, 13454, 26642, 134920, 646617, 745876, 0
140.002087, 10.000887, 2847, 2123, 21446.9, 13872, 29341, 255514, 804077, 1485358, 0
150.000201, 9.998114, 3784, 3183, 14913.6, 14021, 25530, 32202, 40731, 57273, 0
160.01096, 10.010759, 3365, 2376, 16834.1, 13579, 26222, 108161, 334644, 418850, 0
170.001198, 9.990238, 2730, 1855, 24510.5, 13226, 28027, 354783, 1292222, 1730718, 0
180.001212, 10.000014, 3764, 2654, 15022.3, 14034, 26360, 32724, 65825, 73833, 0
190.001232, 10.00002, 3610, 2292, 16263.0, 14316, 28453, 47760, 223052, 345480, 0
200.001354, 10.000122, 2178, 2526, 30464.3, 13674, 29614, 700737, 2083533, 2180562, 0
210.001793, 10.000439, 3693, 3088, 15571.1, 14713, 26817, 33400, 84054, 119680, 0
220.001241, 9.999448, 3661, 2637, 16144.7, 14699, 27154, 38013, 174295, 253481, 0
230.002564, 10.001323, 2941, 2544, 21330.2, 13924, 27565, 227206, 1357489, 1470955, 0
240.003143, 10.000579, 3432, 2036, 16643.6, 14609, 27490, 47866, 289807, 403479, 0
250.000426, 9.997283, 3506, 2647, 16588.8, 15486, 27397, 36589, 182555, 283530, 0
260.00191, 10.001484, 2881, 1774, 23109.3, 15252, 30536, 339045, 984438, 1144035, 0
270.001756, 9.999846, 3382, 2175, 18944.5, 15317, 29275, 161102, 348922, 404817, 0
280.001533, 9.999777, 3518, 2568, 16910.1, 15538, 28732, 41110, 158895, 236215, 0
290.002102, 10.000569, 2625, 2501, 23476.8, 15071, 28481, 133527, 1384745, 1490183, 0
300.001581, 9.999479, 3256, 2825, 18723.1, 15232, 29719, 141553, 334969, 561637, 0
310.002744, 10.001163, 3677, 3299, 16847.6, 15843, 28623, 37948, 111826, 272429, 0
320.009388, 10.006644, 2925, 2471, 22525.9, 15513, 30006, 99629, 1233828, 1299421, 0
330.001418, 9.99203, 3018, 2199, 25712.0, 15591, 31545, 402748, 1233828, 1299421, 0
340.00127, 9.999852, 3483, 2919, 19412.4, 16198, 29994, 52909, 576539, 700401, 0
350.002037, 10.000767, 3277, 2735, 18239.3, 16015, 29103, 41708, 400448, 561367, 0
360.000297, 9.99826, 3225, 2493, 19581.5, 15429, 30253, 73461, 803461, 907196, 0
370.00699, 10.006693, 3290, 3571, 17985.3, 16452, 31104, 43532, 168171, 320065, 0
380.001312, 9.994322, 3318, 2813, 19266.2, 15498, 28974, 115115, 503958, 852945, 0
390.001747, 10.000435, 2961, 2818, 20620.0, 15142, 30341, 153275, 748893, 905195, 0
400.001281, 9.999534, 3353, 3403, 17449.9, 16164, 29604, 38197, 131288, 258407, 0
410.003095, 10.001814, 3316, 3206, 18581.2, 15811, 31954, 43388, 303169, 730231, 0
420.002607, 9.999512, 3125, 2570, 19585.1, 16086, 33462, 58910, 487810, 730231, 0
430.001283, 9.998676, 3312, 3155, 18641.2, 15798, 33498, 47780, 314392, 574864, 0
