elapsed, window, total, successful, failed
10.000469, 10.000469, 12717, 12717, 0
20.001583, 10.001114, 12965, 12965, 0
30.001545, 9.999962, 11766, 11766, 0
40.001523, 9.999978, 9403, 9403, 0
50.001567, 10.000044, 12459, 12459, 0
60.001483, 9.999916, 11139, 11139, 0
70.01056, 10.009077, 8757, 8757, 0
80.001549, 9.990989, 11836, 11836, 0
90.001538, 9.999989, 11392, 11392, 0
100.006834, 10.005296, 6725, 6725, 0
110.003078, 9.996244, 11053, 11053, 0
120.001673, 9.998595, 11634, 11634, 0
130.001741, 10.000068, 7702, 7702, 0
140.003129, 10.001388, 11206, 11206, 0
150.000495, 9.997366, 11698, 11698, 0
160.001366, 10.000871, 7753, 7753, 0
170.001816, 10.00045, 10444, 10444, 0
180.0018, 9.999984, 11383, 11383, 0
190.002187, 10.000387, 9871, 9871, 0
200.000369, 9.998182, 7285, 7285, 0
210.002883, 10.002514, 11165, 11165, 0
220.001435, 9.998552, 11050, 11050, 0
230.003092, 10.001657, 7987, 7987, 0
240.000425, 9.997333, 10853, 10853, 0
250.001495, 10.00107, 10248, 10248, 0
260.006921, 10.005426, 8005, 8005, 0
270.00155, 9.994629, 10696, 10696, 0
280.00184, 10.00029, 9737, 9737, 0
290.001834, 9.999994, 7796, 7796, 0
300.00288, 10.001046, 9902, 9902, 0
310.005664, 10.002784, 10151, 10151, 0
320.002903, 9.997239, 8066, 8066, 0
330.002439, 9.999536, 9106, 9106, 0
340.001597, 9.999158, 10151, 10151, 0
350.001673, 10.000076, 9193, 9193, 0
360.00157, 9.999897, 9465, 9465, 0
370.002534, 10.000964, 10055, 10055, 0
380.001723, 9.999189, 8528, 8528, 0
390.002013, 10.00029, 8940, 8940, 0
400.001865, 9.999852, 10128, 10128, 0
410.001963, 10.000098, 9434, 9434, 0
420.001888, 9.999925, 9462, 9462, 0
430.003591, 10.001703, 9827, 9827, 0
440.002148, 9.998557, 9610, 9610, 0
450.002988, 10.00084, 8982, 8982, 0
460.001785, 9.998797, 9367, 9367, 0
470.003184, 10.001399, 9964, 9964, 0
480.000606, 9.997422, 9157, 9157, 0
490.001546, 10.00094, 9703, 9703, 0
500.001615, 10.000069, 10348, 10348, 0
510.001371, 9.999756, 9589, 9589, 0
520.001564, 10.000193, 9408, 9408, 0
530.002976, 10.001412, 8649, 8649, 0
540.002307, 9.999331, 8700, 8700, 0
550.001179, 9.998872, 9559, 9559, 0
560.000692, 9.999513, 9418, 9418, 0
570.003102, 10.00241, 8977, 8977, 0
580.000754, 9.997652, 9788, 9788, 0
590.002139, 10.001385, 9730, 9730, 0
600.001398, 9.999259, 8886, 8886, 0
601.028027, 1.026629, 1155, 1155, 0
