elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.006039, 10.006039, 3934, 4427, 25237.7, 23393, 42093, 54077, 186766, 205246, 0
20.001991, 9.995952, 3893, 4540, 24744.3, 23851, 40123, 49296, 99378, 148315, 0
30.005355, 10.003364, 3604, 3412, 27547.6, 23515, 41559, 79920, 650180, 782413, 0
40.000683, 9.995328, 2884, 3479, 34750.6, 23625, 41252, 427704, 1938021, 2044684, 0
50.001982, 10.001299, 3703, 4273, 25396.9, 24019, 43724, 56796, 73212, 82556, 0
60.001746, 9.999764, 3476, 4062, 27397.4, 23762, 41865, 58834, 662321, 718582, 0
70.00908, 10.007334, 2773, 3524, 41927.8, 22821, 48148, 635112, 1652251, 1862059, 0
80.000913, 9.991833, 3815, 3670, 25740.4, 23954, 41519, 50069, 455004, 862857, 0
90.001693, 10.00078, 3659, 4472, 25996.6, 24321, 43423, 55903, 243448, 296950, 0
100.002223, 10.00053, 2226, 3391, 41950.4, 23173, 47527, 669448, 1753902, 1826015, 0
110.001292, 9.999069, 3603, 3964, 26156.5, 24599, 42581, 61087, 213255, 313999, 0
120.00084, 9.999548, 3601, 3629, 25848.6, 24925, 41738, 51662, 65247, 165115, 0
130.00227, 10.00143, 2741, 3226, 35435.0, 22444, 48213, 458847, 1022089, 1586172, 0
140.001155, 9.998885, 3514, 3226, 27722.6, 23702, 44739, 145626, 377904, 853437, 0
150.005167, 10.004012, 3535, 4616, 26317.8, 25343, 43141, 52368, 74528, 183160, 0
160.000694, 9.995527, 2571, 3220, 32358.3, 22681, 43701, 229923, 1368671, 1648633, 0
170.002051, 10.001357, 3446, 3220, 31026.1, 23546, 42310, 187612, 1561257, 1692178, 0
180.009074, 10.007023, 3567, 4636, 26050.6, 24785, 41715, 52575, 93997, 309461, 0
190.000726, 9.991652, 3198, 5052, 30505.5, 23424, 44303, 216310, 897747, 1091943, 0
200.003058, 10.002332, 2447, 3402, 39603.5, 22973, 43761, 427422, 2180539, 2299918, 0
210.001963, 9.998905, 3487, 5226, 25997.5, 24407, 42204, 55009, 118977, 231221, 0
220.008948, 10.006985, 3412, 4978, 26309.3, 23661, 41091, 60998, 388061, 557846, 0
230.005152, 9.996204, 2641, 3606, 33696.5, 22648, 44596, 373819, 1164481, 1596929, 0
240.001807, 9.996655, 3576, 4243, 26018.2, 24377, 41751, 54786, 228079, 275506, 0
250.001943, 10.000136, 3434, 4595, 26607.9, 24224, 41493, 68769, 381563, 447265, 0
260.004985, 10.003042, 2672, 3708, 34413.5, 23096, 46098, 381563, 1085949, 1175052, 0
270.009094, 10.004109, 3544, 4979, 26589.9, 23871, 41013, 88504, 371415, 408220, 0
280.001335, 9.992241, 3160, 4466, 28109.7, 24689, 43565, 97978, 650561, 724177, 0
290.000984, 9.999649, 2606, 2929, 34154.4, 24094, 44902, 290003, 1316760, 1343319, 0
300.001754, 10.00077, 3243, 4447, 28966.9, 24732, 44603, 173668, 372693, 721156, 0
310.002079, 10.000325, 3352, 4690, 27558.1, 25892, 43381, 67525, 176354, 263369, 0
320.000761, 9.998682, 2709, 3878, 32059.5, 24148, 42680, 150764, 1168239, 1186622, 0
330.002594, 10.001833, 3144, 4241, 27808.9, 23279, 42006, 139996, 584328, 1007540, 0
340.000916, 9.998322, 3216, 5119, 26798.5, 24764, 42481, 58165, 275649, 350675, 0
