elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.002294, 10.002294, 4051, 1371, 9888.8, 8933, 17580, 24934, 84821, 604283, 0
20.000828, 9.998534, 4688, 1429, 10028.5, 9282, 17898, 24103, 30213, 34226, 0
30.002135, 10.001307, 4338, 2128, 10459.5, 9721, 18527, 25041, 34300, 43150, 0
40.000977, 9.998842, 1198, 1480, 8530.1, 7329, 18197, 24520, 30843, 38474, 0
50.001901, 10.000924, 2937, 1413, 11022.0, 10224, 19890, 24652, 31389, 685579, 0
60.00264, 10.000739, 3900, 1895, 11709.2, 11035, 20416, 26809, 35325, 37611, 0
70.000949, 9.998309, 2456, 1440, 11360.3, 10930, 21365, 27857, 35132, 79479, 0
80.002073, 10.001124, 2981, 1440, 11295.5, 10692, 21255, 27632, 40216, 124121, 0
90.001823, 9.99975, 3682, 2080, 12732.6, 12015, 22160, 28334, 36055, 40043, 0
100.001952, 10.000129, 2812, 1469, 12398.9, 11723, 22398, 27400, 34577, 491778, 0
110.002202, 10.00025, 1894, 1551, 9907.3, 9108, 20104, 25844, 31312, 31614, 0
120.002114, 9.999912, 3620, 2244, 13278.7, 12633, 23183, 28688, 37273, 54304, 0
130.000864, 9.99875, 3059, 1614, 12828.9, 12261, 23101, 29085, 36878, 41701, 0
140.0022, 10.001336, 2421, 1626, 11343.8, 11061, 20893, 27485, 32615, 39038, 0
150.000957, 9.998757, 3261, 1739, 12918.3, 12142, 23616, 30751, 41660, 43520, 0
160.002034, 10.001077, 3418, 2515, 13064.5, 12543, 23217, 29616, 36012, 41673, 0
170.002121, 10.000087, 2185, 1686, 10446.4, 10020, 18988, 25318, 31665, 35461, 0
180.001267, 9.999146, 2831, 2029, 12501.0, 12111, 22152, 28835, 36793, 47675, 0
190.000921, 9.999654, 3617, 2659, 13711.4, 13250, 22672, 29151, 38423, 40761, 0
200.00284, 10.001919, 1654, 1907, 11040.4, 10105, 21948, 28148, 42574, 167070, 0
210.002325, 9.999485, 2832, 2013, 13240.0, 13091, 23038, 29271, 35817, 42678, 0
220.000937, 9.998612, 3526, 2723, 14529.6, 14013, 24738, 30276, 38287, 47760, 0
230.00192, 10.000983, 2201, 2021, 11746.3, 11326, 21918, 27744, 34841, 44817, 0
240.00219, 10.00027, 2209, 1962, 13713.1, 13272, 24242, 32532, 40505, 41144, 0
250.001165, 9.998975, 3483, 2258, 14701.9, 14363, 24716, 32176, 39533, 46311, 0
260.000993, 9.999828, 2675, 1967, 12474.0, 12057, 23126, 28468, 35662, 58075, 0
270.004379, 10.003386, 1913, 1961, 11165.3, 10576, 21574, 28714, 35139, 53963, 0
280.002553, 9.998174, 3499, 2850, 14929.2, 14270, 25828, 31379, 37922, 40644, 0
290.00133, 9.998777, 2673, 2214, 13296.2, 12788, 23774, 30189, 39123, 43710, 0
300.001579, 10.000249, 2125, 1839, 12257.7, 11570, 23381, 29380, 38337, 41858, 0
310.000858, 9.999279, 3371, 3193, 15407.5, 14916, 25819, 32070, 38384, 41948, 0
320.001844, 10.000986, 2680, 2217, 14682.0, 14084, 26879, 31709, 42296, 46192, 0
330.001913, 10.000069, 2192, 2116, 13304.4, 12752, 24113, 30153, 35198, 41156, 0
340.013171, 10.011258, 3103, 2450, 15199.8, 14404, 26946, 33284, 47152, 65386, 0
350.00091, 9.987739, 2609, 2331, 15758.6, 15378, 27848, 34753, 43545, 50243, 0
360.010919, 10.010009, 2455, 2038, 13413.9, 12437, 25691, 32460, 44736, 50832, 0
370.007961, 9.997042, 2786, 2199, 13411.1, 12689, 24881, 32068, 37724, 41839, 0
380.002678, 9.994717, 2972, 2197, 14836.1, 14071, 26852, 33867, 41416, 47060, 0
390.001249, 9.998571, 2124, 2141, 13301.7, 12493, 27145, 33726, 39075, 41587, 0
400.001334, 10.000085, 2676, 2082, 13239.9, 12155, 25010, 31811, 39895, 45960, 0
410.000907, 9.999573, 3223, 2943, 15328.7, 14473, 26944, 31723, 38987, 69007, 0
420.002694, 10.001787, 2109, 2041, 14160.2, 13051, 27885, 34386, 42302, 66292, 0
430.001069, 9.998375, 2567, 2282, 14866.5, 13683, 28005, 33267, 40991, 49381, 0
440.001196, 10.000127, 3150, 3840, 17340.1, 16447, 30919, 38197, 47974, 49569, 0
450.001708, 10.000512, 2473, 2139, 14193.9, 12971, 26160, 34092, 40005, 156682, 0
460.00118, 9.999472, 2264, 2280, 13978.7, 12613, 27077, 35565, 45254, 53686, 0
470.001026, 9.999846, 3023, 2044, 15992.9, 14701, 30075, 36699, 45674, 64433, 0
480.002555, 10.001529, 2511, 2347, 15870.6, 13742, 29591, 38528, 51298, 790618, 0
490.002454, 9.999899, 2563, 2181, 14814.3, 13419, 28751, 37015, 43195, 50123, 0
500.001249, 9.998795, 2853, 2241, 14464.3, 12878, 28209, 35606, 43394, 52787, 0
510.003037, 10.001788, 2405, 2363, 14228.0, 13139, 26936, 33815, 38649, 47792, 0
520.001252, 9.998215, 2695, 2626, 15913.2, 14750, 29663, 36940, 45944, 50714, 0
530.001228, 9.999976, 2821, 2716, 14750.2, 13444, 27624, 35811, 44140, 56065, 0
540.000998, 9.99977, 2280, 1972, 14412.9, 13226, 26872, 35522, 44450, 56199, 0
550.002206, 10.001208, 2670, 2629, 15180.8, 13784, 28508, 35492, 43189, 47724, 0
560.001533, 9.999327, 2429, 2011, 15672.2, 13986, 32283, 38831, 48884, 54870, 0
570.006131, 10.004598, 2815, 2545, 15211.7, 13844, 29746, 36203, 44823, 54870, 0
580.006185, 10.000054, 2518, 2157, 15882.7, 14336, 31193, 40815, 50881, 60543, 0
590.002226, 9.996041, 2836, 2423, 15173.4, 13976, 27626, 36374, 45985, 53896, 0
600.001291, 9.999065, 2972, 2683, 15504.2, 14089, 29045, 37878, 48493, 57492, 0
601.031306, 1.030015, 179, 2398, 15407.1, 14065, 29262, 37028, 45058, 57492, 0
