elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000914, 10.000914, 1871, 1299, 5107.1, 2929, 11774, 17884, 233660, 408018, 0
20.001993, 10.001079, 1664, 1311, 4307.8, 2964, 11363, 14609, 20102, 23839, 0
30.001941, 9.999948, 1701, 1176, 4207.8, 2995, 11160, 12886, 16206, 21765, 0
40.001925, 9.999984, 1504, 1298, 4378.8, 3135, 11538, 13116, 15620, 16269, 0
50.001917, 9.999992, 1485, 1233, 4261.3, 3047, 11548, 13346, 19755, 20550, 0
60.002019, 10.000102, 1392, 1223, 4202.3, 3124, 11144, 12652, 14510, 17016, 0
70.001974, 9.999955, 1298, 1391, 4565.2, 3294, 11581, 13842, 17594, 23879, 0
80.001905, 9.999931, 1439, 1245, 4477.7, 3239, 11449, 13670, 16416, 18735, 0
90.001949, 10.000044, 1343, 1417, 4317.8, 3235, 11114, 13119, 17759, 17921, 0
100.001993, 10.000044, 1262, 1405, 4724.6, 3494, 11679, 13795, 18203, 18496, 0
110.00213, 10.000137, 1268, 1284, 4661.9, 3440, 11812, 14202, 17253, 18357, 0
120.000904, 9.998774, 1289, 1426, 4493.7, 3281, 11616, 14019, 17642, 20956, 0
130.001907, 10.001003, 1214, 1384, 4600.0, 3387, 11429, 13299, 15900, 19495, 0
140.001961, 10.000054, 1180, 1357, 4592.8, 3438, 11488, 12906, 16132, 17396, 0
150.001918, 9.999957, 1121, 1342, 4479.4, 3355, 11584, 13096, 14618, 14979, 0
160.001906, 9.999988, 1208, 1403, 4452.0, 3331, 11480, 13995, 15601, 17207, 0
170.001925, 10.000019, 1135, 1338, 4697.3, 3544, 11454, 13704, 17159, 17539, 0
180.001932, 10.000007, 1201, 1385, 4589.6, 3392, 11510, 13487, 17159, 18798, 0
190.001903, 9.999971, 1241, 1451, 4656.3, 3506, 11514, 13388, 15486, 15807, 0
200.001965, 10.000062, 1131, 1451, 4940.8, 3561, 12036, 14357, 15966, 18507, 0
210.009907, 10.007942, 1110, 1465, 4697.6, 3545, 11679, 13919, 19305, 25567, 0
220.001933, 9.992026, 1124, 1389, 4854.4, 3552, 11907, 13855, 18826, 19305, 0
230.002056, 10.000123, 1103, 1412, 4973.2, 3667, 11783, 14304, 21939, 23926, 0
240.00093, 9.998874, 1166, 1267, 4648.7, 3484, 11770, 13599, 15368, 15427, 0
250.001903, 10.000973, 996, 1471, 4884.9, 3652, 12130, 13386, 15570, 16729, 0
260.002031, 10.000128, 1056, 1544, 4881.5, 3648, 11658, 13649, 17460, 18039, 0
270.001983, 9.999952, 1096, 1465, 4709.8, 3580, 11727, 13770, 15412, 26555, 0
280.002937, 10.000954, 1088, 1460, 5059.5, 3632, 12464, 14335, 16327, 17227, 0
290.001957, 9.99902, 1046, 1459, 5057.5, 3675, 11976, 14507, 21766, 24518, 0
300.002942, 10.000985, 978, 1468, 4901.2, 3661, 11966, 13682, 15877, 16059, 0
310.002115, 9.999173, 1011, 1418, 4993.8, 3693, 11896, 13754, 16174, 19882, 0
320.000905, 9.99879, 991, 1353, 5004.7, 3696, 11969, 13873, 15289, 15924, 0
330.002057, 10.001152, 1079, 1521, 4969.7, 3645, 12073, 13981, 18747, 19177, 0
340.000913, 9.998856, 1020, 1476, 4956.2, 3584, 12070, 13784, 17088, 18749, 0
350.001964, 10.001051, 1135, 1445, 4962.3, 3646, 12130, 13586, 15690, 16547, 0
360.002002, 10.000038, 1063, 1479, 4778.0, 3616, 11621, 13479, 16136, 18371, 0
370.001914, 9.999912, 1078, 1587, 4906.8, 3706, 11800, 13378, 15287, 15869, 0
380.002034, 10.00012, 1053, 1556, 5229.5, 3733, 12050, 14688, 20493, 20879, 0
390.002194, 10.00016, 1019, 1558, 4736.6, 3647, 11539, 13411, 14249, 18052, 0
400.000988, 9.998794, 1055, 1534, 4786.9, 3662, 11623, 13888, 18052, 18397, 0
410.003983, 10.002995, 1022, 1480, 4995.5, 3673, 12087, 14582, 17257, 17852, 0
420.002075, 9.998092, 1067, 1711, 4852.9, 3640, 11944, 13941, 17609, 17671, 0
430.003106, 10.001031, 1053, 1660, 4948.9, 3758, 11732, 13587, 16093, 16934, 0
440.001078, 9.997972, 1052, 1597, 4874.4, 3699, 11761, 13055, 17722, 21266, 0
450.001167, 10.000089, 1087, 1527, 4906.5, 3724, 11863, 13659, 18546, 18602, 0
460.001064, 9.999897, 1108, 1591, 4788.7, 3632, 11849, 13379, 15744, 22796, 0
470.001017, 9.999953, 1096, 1713, 4868.0, 3644, 11687, 13921, 18034, 19067, 0
480.001905, 10.000888, 1052, 1641, 4782.7, 3630, 11922, 13465, 16381, 19067, 0
490.001902, 9.999997, 1096, 1564, 4843.7, 3721, 12027, 14048, 18154, 18948, 0
500.001911, 10.000009, 1031, 1653, 5010.5, 3777, 11876, 13378, 17065, 17142, 0
510.001906, 9.999995, 1003, 1562, 4952.7, 3765, 11979, 13894, 18252, 18448, 0
520.00194, 10.000034, 1009, 1786, 5366.9, 3876, 12263, 14136, 23245, 26568, 0
530.001962, 10.000022, 1062, 1595, 4974.7, 3739, 11782, 13534, 17192, 17817, 0
540.001912, 9.99995, 1033, 1484, 4898.1, 3729, 11424, 13406, 16938, 17741, 0
550.002008, 10.000096, 1010, 1863, 4914.5, 3725, 11641, 13270, 16828, 17144, 0
560.001963, 9.999955, 1068, 1629, 4967.8, 3715, 11935, 13793, 19566, 20827, 0
570.001927, 9.999964, 1093, 1766, 4829.6, 3649, 11704, 13441, 15125, 15311, 0
580.001964, 10.000037, 1012, 1595, 4904.8, 3735, 11690, 13740, 15190, 15575, 0
590.00193, 9.999966, 1029, 1545, 4944.0, 3670, 11664, 13523, 17439, 18394, 0
600.001956, 10.000026, 1042, 1613, 4906.0, 3710, 11746, 14067, 17357, 21500, 0
601.040156, 1.0382, 119, 1613, 4880.0, 3698, 11647, 13827, 17357, 21500, 0
