elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000914, 10.000914, 1867, 4093, 26034.6, 11089, 137483, 332612, 752536, 1241082, 0
20.001993, 10.001079, 1676, 4059, 30491.7, 12286, 150359, 168871, 181828, 185239, 0
30.001941, 9.999948, 1584, 4171, 40450.7, 11993, 156590, 170001, 183289, 186056, 0
40.001925, 9.999984, 1444, 3793, 71227.5, 14119, 177198, 962231, 1573044, 2039781, 0
50.001917, 9.999992, 1472, 4101, 56487.7, 14444, 157616, 172029, 186278, 258553, 0
60.002019, 10.000102, 1428, 4381, 63782.2, 15486, 160039, 170174, 178205, 179832, 0
70.001974, 9.999955, 1321, 4179, 76149.2, 17429, 166776, 796930, 1474994, 1533833, 0
80.001905, 9.999931, 1326, 4147, 75441.9, 19789, 159942, 171995, 194217, 197667, 0
90.001949, 10.000044, 1377, 4228, 80889.2, 124260, 161500, 169954, 180374, 189534, 0
100.001993, 10.000044, 1317, 4287, 87320.7, 80413, 165493, 424496, 1876092, 1963668, 0
110.00213, 10.000137, 1232, 4643, 92719.5, 133679, 161983, 177596, 661367, 682343, 0
120.000904, 9.998774, 1242, 4176, 94199.7, 134984, 162547, 173111, 179642, 181309, 0
130.001907, 10.001003, 1208, 4506, 100862.8, 133519, 169692, 206197, 1117358, 1137586, 0
140.001961, 10.000054, 1218, 4176, 101065.0, 134313, 164687, 341795, 543702, 604450, 0
150.001918, 9.999957, 1191, 4366, 107686.9, 137883, 166807, 187330, 338840, 342109, 0
160.001906, 9.999988, 1241, 4184, 105371.6, 135612, 159856, 172230, 722448, 752188, 0
170.001925, 10.000019, 1151, 4545, 107534.8, 137196, 162914, 178346, 369542, 488062, 0
180.001932, 10.000007, 1157, 4231, 108831.1, 139717, 163328, 175110, 229421, 231892, 0
190.001903, 9.999971, 1119, 4124, 114091.1, 141694, 163110, 174063, 180420, 184808, 0
200.001965, 10.000062, 1110, 4671, 118724.4, 134170, 171079, 396638, 827678, 841925, 0
210.009907, 10.007942, 1138, 4381, 119749.6, 142134, 165134, 176743, 293957, 294489, 0
220.001933, 9.992026, 1125, 4718, 121287.4, 141105, 162488, 333001, 357591, 364547, 0
230.002056, 10.000123, 1153, 4591, 121775.6, 141315, 167282, 335015, 1055134, 1066547, 0
240.00093, 9.998874, 1088, 4552, 121391.1, 141968, 163515, 178199, 300363, 334275, 0
250.001903, 10.000973, 1172, 4392, 124492.1, 144196, 165275, 176135, 202901, 207076, 0
260.002031, 10.000128, 1044, 4327, 125523.6, 142842, 169314, 192833, 622042, 639809, 0
270.001983, 9.999952, 1108, 4974, 128944.2, 140781, 168537, 343937, 420119, 492328, 0
280.002937, 10.000954, 1125, 4818, 129175.6, 143692, 167771, 176253, 288914, 324722, 0
290.001957, 9.99902, 1118, 4539, 126576.2, 141512, 164797, 176019, 185633, 205583, 0
300.002942, 10.000985, 1089, 4758, 132346.8, 141579, 167325, 202907, 454016, 553717, 0
310.002115, 9.999173, 1049, 4226, 133712.0, 143182, 168350, 360517, 380247, 382825, 0
320.000905, 9.99879, 1039, 4956, 134599.1, 145425, 172459, 333612, 361672, 368643, 0
330.002057, 10.001152, 1100, 4956, 135762.4, 143831, 167758, 212321, 767276, 801645, 0
340.000913, 9.998856, 1008, 4961, 139174.4, 146441, 173279, 345275, 358914, 359083, 0
350.001964, 10.001051, 1065, 5152, 137238.8, 145539, 174708, 209432, 234013, 235466, 0
360.002002, 10.000038, 1065, 4874, 133992.9, 144075, 168255, 180369, 241810, 279151, 0
370.001914, 9.999912, 1015, 4493, 136016.8, 145350, 165128, 174931, 223198, 305618, 0
380.002034, 10.00012, 1044, 4863, 136331.9, 144050, 165339, 175061, 208941, 246292, 0
390.002194, 10.00016, 1009, 4721, 137492.1, 147419, 168471, 176755, 189181, 241393, 0
400.000988, 9.998794, 1053, 5064, 135770.6, 143080, 168017, 179486, 220934, 252094, 0
410.003983, 10.002995, 1061, 4839, 140647.9, 145167, 164914, 309215, 328465, 330372, 0
420.002075, 9.998092, 1050, 4730, 138834.4, 142005, 163494, 342312, 355546, 359811, 0
430.003106, 10.001031, 1052, 5329, 138821.5, 143666, 164718, 185360, 445298, 494906, 0
440.001078, 9.997972, 1030, 5115, 138984.1, 142886, 166400, 193329, 355838, 385230, 0
450.001167, 10.000089, 1078, 5082, 136944.1, 141147, 163856, 175354, 214689, 226995, 0
460.001064, 9.999897, 1074, 5490, 139376.0, 143304, 166030, 180295, 306784, 350606, 0
470.001017, 9.999953, 1005, 4961, 139494.9, 143327, 166029, 189796, 300997, 306784, 0
480.001905, 10.000888, 1079, 4778, 137862.2, 143213, 164089, 171976, 199255, 208283, 0
490.001902, 9.999997, 1020, 5618, 139532.2, 144661, 163769, 171128, 253706, 354543, 0
500.001911, 10.000009, 1018, 4793, 142101.8, 144880, 166114, 228149, 455356, 580863, 0
510.001906, 9.999995, 1048, 5325, 139739.9, 142046, 165826, 219909, 230589, 286036, 0
520.00194, 10.000034, 1054, 5077, 139475.4, 142040, 169111, 183542, 722668, 780150, 0
530.001962, 10.000022, 1040, 4547, 140354.8, 141577, 165535, 187491, 398123, 643581, 0
540.001912, 9.99995, 1011, 4806, 141897.1, 146033, 164586, 177946, 205619, 291880, 0
550.002008, 10.000096, 1028, 4806, 143625.0, 144645, 164544, 173436, 207766, 419029, 0
560.001963, 9.999955, 1037, 5535, 141450.6, 143558, 162678, 173419, 256061, 286709, 0
570.001927, 9.999964, 1051, 6609, 140061.6, 141575, 160598, 167938, 276771, 284344, 0
580.001964, 10.000037, 994, 5481, 147220.0, 145331, 170655, 368328, 381810, 383989, 0
590.00193, 9.999966, 1046, 4704, 143311.0, 144879, 164054, 176815, 331989, 332695, 0
600.001956, 10.000026, 1010, 6791, 145351.0, 144413, 166324, 329972, 356229, 369493, 0
601.040156, 1.0382, 124, 5980, 144626.4, 144108, 166027, 329972, 356229, 369493, 0
