elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001074, 10.001074, 954, 108579, 145127.7, 142619, 167786, 187989, 414718, 422250, 0
20.001097, 10.000023, 979, 105626, 143057.8, 141987, 165206, 172263, 182155, 182998, 0
30.001119, 10.000022, 1032, 54827, 142317.4, 141692, 163186, 180312, 643455, 650581, 0
40.001062, 9.999943, 1055, 2757, 137380.1, 130628, 258304, 1072426, 1872059, 2064721, 0
50.001136, 10.000074, 1059, 106197, 140972.9, 140745, 161685, 172344, 179778, 181109, 0
60.001059, 9.999923, 1011, 107474, 140421.5, 139956, 161090, 168031, 173178, 223525, 0
70.00106, 10.000001, 1020, 3134, 145954.7, 131443, 300929, 1062188, 1473681, 1481719, 0
80.001229, 10.000169, 1065, 105921, 139648.7, 139604, 158759, 167471, 170425, 171812, 0
90.003253, 10.002024, 1042, 104616, 139126.0, 139179, 160302, 169064, 175531, 180055, 0
100.001067, 9.997814, 1067, 3504, 138119.5, 135354, 169461, 825155, 1741909, 1969031, 0
110.001092, 10.000025, 1059, 66782, 140504.9, 140124, 157456, 170440, 665390, 694884, 0
120.001169, 10.000077, 1030, 112463, 142151.2, 141557, 163281, 178987, 186189, 189489, 0
130.001125, 9.999956, 989, 3092, 140164.6, 138083, 164548, 383162, 1057887, 1202756, 0
140.001124, 9.999999, 1035, 46418, 136922.6, 136765, 158349, 234308, 492872, 543247, 0
150.003177, 10.002053, 1020, 109080, 142770.7, 139825, 163238, 323238, 337659, 344245, 0
160.001168, 9.997991, 1073, 87941, 139473.4, 136757, 157191, 282834, 562423, 747706, 0
170.007255, 10.006087, 1009, 89408, 142049.6, 139727, 160842, 263883, 451815, 472590, 0
180.001057, 9.993802, 1025, 107711, 141533.7, 140697, 159021, 170579, 278829, 296106, 0
190.001062, 10.000005, 985, 112614, 141203.8, 140722, 160434, 170154, 183456, 223693, 0
200.001125, 10.000063, 1064, 70692, 139894.0, 131385, 167761, 474427, 765283, 808998, 0
210.001114, 9.999989, 986, 113050, 142596.2, 142154, 161451, 173242, 221078, 351047, 0
220.003087, 10.001973, 1036, 109180, 141548.1, 138664, 156999, 332379, 361953, 362509, 0
230.001059, 9.997972, 1005, 23470, 149694.0, 140262, 164602, 753538, 1319445, 1347524, 0
240.001094, 10.000035, 1067, 94703, 142030.8, 141404, 160669, 172118, 339658, 385238, 0
250.001134, 10.00004, 1047, 113423, 142273.1, 141903, 160344, 172841, 188304, 213753, 0
260.001078, 9.999944, 990, 76706, 140975.5, 138969, 165215, 221522, 619180, 633669, 0
270.001173, 10.000095, 1002, 87370, 144994.1, 139583, 168060, 351397, 399640, 474194, 0
280.001098, 9.999925, 1038, 103555, 141038.2, 139978, 163690, 173900, 265620, 275080, 0
290.00106, 9.999962, 1010, 100201, 140093.3, 139944, 160899, 168965, 175041, 190107, 0
300.001138, 10.000078, 1004, 93760, 141121.2, 137812, 161642, 267568, 596517, 608325, 0
310.001061, 9.999923, 1006, 106017, 148376.4, 142099, 170603, 360233, 378266, 382803, 0
320.001097, 10.000036, 1031, 107696, 143394.8, 142836, 165656, 171715, 178384, 226252, 0
330.001098, 10.000001, 1001, 85540, 147311.1, 142111, 170599, 345836, 745893, 756552, 0
340.001118, 10.00002, 985, 114056, 143264.3, 141719, 163140, 188983, 262527, 271016, 0
350.001143, 10.000025, 953, 106318, 143722.1, 142648, 168663, 208168, 226383, 230446, 0
360.001079, 9.999936, 1049, 105596, 141055.3, 140829, 161511, 175137, 321079, 325849, 0
370.00106, 9.999981, 988, 109160, 141918.7, 141748, 160443, 187241, 252501, 255494, 0
380.001089, 10.000029, 1046, 108251, 140941.4, 140627, 160958, 171416, 193162, 202894, 0
390.001231, 10.000142, 994, 111384, 143250.9, 143312, 162242, 168111, 179496, 210446, 0
400.003077, 10.001846, 1058, 107591, 138900.3, 137240, 160585, 173061, 408077, 454899, 0
410.001087, 9.99801, 1012, 108441, 143295.8, 140715, 158840, 314266, 322549, 324301, 0
420.001156, 10.000069, 1008, 108977, 141252.9, 137571, 159461, 340877, 346541, 347539, 0
430.001144, 9.999988, 1045, 95079, 140340.4, 139081, 159532, 172817, 436316, 506349, 0
440.00106, 9.999916, 1063, 105673, 141209.6, 139101, 164432, 192722, 321836, 339371, 0
450.001079, 10.000019, 1074, 107160, 139358.9, 138840, 158857, 167379, 203571, 213453, 0
460.001095, 10.000016, 1042, 108006, 139789.8, 139004, 159401, 179327, 240030, 382226, 0
470.001118, 10.000023, 1071, 111478, 141530.2, 139667, 161853, 193467, 317802, 324222, 0
480.001173, 10.000055, 1021, 106307, 139813.4, 139787, 158518, 166232, 201215, 215991, 0
490.001057, 9.999884, 999, 109710, 141448.9, 140132, 160617, 175168, 189413, 480625, 0
500.001232, 10.000175, 1047, 89581, 142015.6, 140187, 158875, 220465, 564152, 585435, 0
510.001058, 9.999826, 1034, 105486, 138979.9, 137946, 157609, 177858, 240990, 283596, 0
520.001182, 10.000124, 1035, 84176, 142451.6, 136795, 160432, 220448, 947527, 1126226, 0
530.001305, 10.000123, 1022, 101514, 141699.1, 139903, 161549, 203943, 315601, 413799, 0
540.001063, 9.999758, 1029, 109630, 142887.3, 142253, 161074, 174488, 305361, 319610, 0
550.00111, 10.000047, 1028, 102659, 141040.2, 139569, 161524, 176186, 327948, 421451, 0
560.00321, 10.0021, 1056, 106949, 138313.4, 137816, 155757, 166429, 218391, 307645, 0
570.001077, 9.997867, 1074, 107987, 139572.6, 137469, 157428, 165519, 323239, 335942, 0
580.001174, 10.000097, 997, 111588, 144766.8, 140980, 168019, 357880, 381659, 383299, 0
590.001134, 9.99996, 989, 109345, 145032.4, 142504, 162892, 274349, 343623, 345983, 0
600.001054, 9.99992, 1187, 38586, 127006.8, 135737, 155069, 161819, 199269, 230059, 0
601.03686, 1.035806, 225, 38586, 115763.4, 132287, 153918, 161511, 199269, 230059, 0
