elapsed, window, total, successful, failed
10.001074, 10.001074, 3018, 3018, 0
20.001097, 10.000023, 3056, 3056, 0
30.001119, 10.000022, 2981, 2981, 0
40.001062, 9.999943, 3270, 3270, 0
50.001136, 10.000074, 3186, 3186, 0
60.001059, 9.999923, 3103, 3103, 0
70.00106, 10.000001, 3226, 3226, 0
80.001229, 10.000169, 3075, 3075, 0
90.003253, 10.002024, 3153, 3153, 0
100.001067, 9.997814, 3054, 3054, 0
110.001092, 10.000025, 3107, 3107, 0
120.001169, 10.000077, 3107, 3107, 0
130.001125, 9.999956, 3086, 3086, 0
140.001124, 9.999999, 3147, 3147, 0
150.003177, 10.002053, 3006, 3006, 0
160.001168, 9.997991, 3144, 3144, 0
170.007255, 10.006087, 3121, 3121, 0
180.001057, 9.993802, 3074, 3074, 0
190.001062, 10.000005, 3029, 3029, 0
200.001125, 10.000063, 3087, 3087, 0
210.001114, 9.999989, 3027, 3027, 0
220.003087, 10.001973, 3013, 3013, 0
230.001059, 9.997972, 3011, 3011, 0
240.001094, 10.000035, 3099, 3099, 0
250.001134, 10.00004, 3154, 3154, 0
260.001078, 9.999944, 3015, 3015, 0
270.001173, 10.000095, 3013, 3013, 0
280.001098, 9.999925, 3065, 3065, 0
290.00106, 9.999962, 3051, 3051, 0
300.001138, 10.000078, 3126, 3126, 0
310.001061, 9.999923, 2872, 2872, 0
320.001097, 10.000036, 3013, 3013, 0
330.001098, 10.000001, 2942, 2942, 0
340.001118, 10.00002, 3013, 3013, 0
350.001143, 10.000025, 3047, 3047, 0
360.001079, 9.999936, 3009, 3009, 0
370.00106, 9.999981, 3018, 3018, 0
380.001089, 10.000029, 3029, 3029, 0
390.001231, 10.000142, 3008, 3008, 0
400.003077, 10.001846, 3108, 3108, 0
410.001087, 9.99801, 3031, 3031, 0
420.001156, 10.000069, 3098, 3098, 0
430.001144, 9.999988, 3094, 3094, 0
440.00106, 9.999916, 3116, 3116, 0
450.001079, 10.000019, 3122, 3122, 0
460.001095, 10.000016, 3086, 3086, 0
470.001118, 10.000023, 3106, 3106, 0
480.001173, 10.000055, 3067, 3067, 0
490.001057, 9.999884, 3070, 3070, 0
500.001232, 10.000175, 3074, 3074, 0
510.001058, 9.999826, 3115, 3115, 0
520.001182, 10.000124, 3087, 3087, 0
530.001305, 10.000123, 3093, 3093, 0
540.001063, 9.999758, 3084, 3084, 0
550.00111, 10.000047, 3136, 3136, 0
560.00321, 10.0021, 3129, 3129, 0
570.001077, 9.997867, 3103, 3103, 0
580.001174, 10.000097, 2963, 2963, 0
590.001134, 9.99996, 2975, 2975, 0
600.001054, 9.99992, 3408, 3408, 0
601.03686, 1.035806, 662, 662, 0
