elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001389, 10.001389, 16099, 1625, 18685.6, 12120, 52763, 88388, 309295, 604211, 0
20.001394, 10.000005, 17374, 2015, 17173.8, 11293, 51852, 76051, 103800, 130705, 0
30.001508, 10.000114, 17256, 1961, 17371.6, 11853, 52427, 79060, 101877, 125696, 0
40.001436, 9.999928, 15741, 1513, 18900.3, 11924, 52684, 92184, 433212, 463189, 0
50.001385, 9.999949, 17026, 2020, 17551.6, 11845, 52019, 79736, 117525, 146179, 0
60.001504, 10.000119, 16923, 2011, 17675.3, 12444, 49951, 78678, 110177, 134568, 0
70.001379, 9.999875, 15811, 1274, 18917.8, 12012, 54136, 91318, 423017, 484925, 0
80.001449, 10.00007, 17072, 1749, 17538.6, 12007, 51970, 79225, 108114, 144657, 0
90.001449, 10.0, 17428, 2096, 17161.6, 12355, 48367, 74977, 109743, 144074, 0
100.001427, 9.999978, 15672, 1950, 19032.8, 12021, 51798, 89738, 776606, 823801, 0
110.001446, 10.000019, 16849, 1611, 17727.8, 11736, 52231, 87104, 155601, 329219, 0
120.001537, 10.000091, 16908, 2066, 17699.9, 12606, 50626, 80673, 112240, 137016, 0
130.001379, 9.999842, 15955, 1531, 18778.1, 11998, 55598, 97021, 264165, 323656, 0
140.001439, 10.00006, 16496, 1821, 18206.8, 11923, 55091, 87872, 127103, 175684, 0
150.001479, 10.00004, 16382, 2017, 18280.1, 12536, 53610, 82709, 131685, 165723, 0
160.001476, 9.999997, 15886, 1646, 18824.1, 11983, 55478, 100725, 240102, 325661, 0
170.001447, 9.999971, 16289, 1679, 18362.1, 12350, 54191, 84398, 213369, 259501, 0
180.001373, 9.999926, 16754, 1310, 17900.4, 12405, 52289, 77873, 103724, 140080, 0
190.00142, 10.000047, 16098, 1840, 18602.6, 12447, 52692, 87081, 236760, 297969, 0
200.005445, 10.004025, 16132, 1553, 18508.4, 12148, 55169, 93084, 220415, 254422, 0
210.005468, 10.000023, 16268, 1790, 18370.5, 12580, 53774, 82714, 110567, 123927, 0
220.001435, 9.995967, 16049, 1575, 18695.1, 12350, 55552, 92423, 175024, 245504, 0
230.001551, 10.000116, 16130, 1740, 18537.7, 12204, 55262, 88927, 175484, 214356, 0
240.001454, 9.999903, 16572, 1759, 18051.2, 12364, 52856, 79739, 112283, 141095, 0
250.001536, 10.000082, 16123, 1610, 18592.0, 12579, 53325, 87518, 216868, 294119, 0
260.001382, 9.999846, 16009, 1462, 18740.7, 12371, 54657, 99300, 195046, 248317, 0
270.001403, 10.000021, 17245, 1714, 17421.2, 12598, 49398, 76484, 116366, 144824, 0
280.001507, 10.000104, 16587, 1957, 17924.1, 12514, 51672, 77250, 133209, 207049, 0
290.001502, 9.999995, 15395, 1734, 19335.5, 11860, 57186, 97335, 324407, 382251, 0
300.001503, 10.000001, 16661, 1935, 17998.5, 12853, 50514, 77463, 104583, 135550, 0
310.005477, 10.003974, 16568, 1704, 18125.6, 12519, 52810, 83649, 122187, 169196, 0
320.001445, 9.995968, 15908, 1466, 18741.4, 11872, 56161, 92226, 199751, 290699, 0
330.001492, 10.000047, 16562, 1757, 18129.4, 12362, 54369, 84026, 109451, 161159, 0
340.001459, 9.999967, 16481, 1857, 18110.3, 12161, 53657, 81751, 111029, 132399, 0
350.009561, 10.008102, 15824, 1664, 18866.7, 12556, 56776, 98369, 146971, 202303, 0
360.001385, 9.991824, 15772, 1631, 18875.0, 12633, 56511, 94948, 133232, 172933, 0
370.001446, 10.000061, 16440, 1903, 18290.2, 12258, 54609, 83068, 123915, 182407, 0
380.001577, 10.000131, 16319, 1695, 18426.6, 12694, 52805, 87437, 149504, 203967, 0
390.001448, 9.999871, 16506, 1694, 18070.9, 12691, 51647, 79633, 112840, 135919, 0
400.001428, 9.99998, 16530, 1582, 18109.1, 12921, 51278, 80922, 138312, 170541, 0
410.001407, 9.999979, 15676, 1784, 19078.8, 12663, 57828, 89636, 127864, 177579, 0
420.001478, 10.000071, 16076, 1440, 18631.5, 12607, 55931, 85630, 129060, 176243, 0
430.001379, 9.999901, 16142, 1811, 18536.2, 12476, 55009, 87548, 135681, 178464, 0
440.001544, 10.000165, 16081, 1596, 18601.4, 12112, 54631, 92342, 168700, 217458, 0
450.001472, 9.999928, 16103, 1666, 18590.1, 12940, 54333, 84944, 121750, 166798, 0
460.001388, 9.999916, 16218, 1990, 18523.0, 12334, 56155, 84621, 124525, 149963, 0
470.001379, 9.999991, 16471, 1863, 18162.0, 12346, 53528, 84639, 142819, 191921, 0
480.001409, 10.00003, 16126, 1668, 18578.5, 12609, 55580, 87263, 124135, 228089, 0
490.001444, 10.000035, 16266, 1660, 18360.9, 12823, 53107, 80596, 141243, 174217, 0
500.00138, 9.999936, 16126, 1794, 18676.9, 13086, 53865, 79517, 137226, 175446, 0
510.0015, 10.00012, 16009, 1614, 18694.2, 12543, 56935, 84468, 119780, 153780, 0
520.00545, 10.00395, 16201, 1692, 18407.9, 12728, 53519, 80261, 129977, 177936, 0
530.001465, 9.996015, 16076, 1661, 18607.6, 12659, 53980, 85552, 126689, 173986, 0
540.001441, 9.999976, 16486, 1816, 18223.4, 12596, 53180, 84688, 128664, 145444, 0
550.001505, 10.000064, 16183, 1823, 18484.3, 12537, 55373, 82291, 143836, 180688, 0
560.00145, 9.999945, 16153, 1574, 18567.4, 12902, 54478, 82131, 111710, 164306, 0
570.001439, 9.999989, 16141, 1521, 18579.7, 12635, 54415, 84423, 131233, 169736, 0
580.001495, 10.000056, 16344, 1615, 18286.9, 12795, 52849, 78705, 118606, 156517, 0
590.001433, 9.999938, 16287, 1406, 18305.6, 12396, 54422, 85942, 121012, 171054, 0
600.0016, 10.000167, 18499, 1430, 16412.9, 10896, 50848, 83283, 159596, 223502, 0
601.033117, 1.031517, 2915, 1430, 15304.5, 10143, 47765, 79387, 158865, 223502, 0
