elapsed, window, total, successful, failed
10.001389, 10.001389, 16099, 16099, 0
20.001394, 10.000005, 17374, 17374, 0
30.001508, 10.000114, 17256, 17256, 0
40.001436, 9.999928, 15741, 15741, 0
50.001385, 9.999949, 17026, 17026, 0
60.001504, 10.000119, 16923, 16923, 0
70.001379, 9.999875, 15811, 15811, 0
80.001449, 10.00007, 17072, 17072, 0
90.001449, 10.0, 17428, 17428, 0
100.001427, 9.999978, 15672, 15672, 0
110.001446, 10.000019, 16849, 16849, 0
120.001537, 10.000091, 16908, 16908, 0
130.001379, 9.999842, 15955, 15955, 0
140.001439, 10.00006, 16496, 16496, 0
150.001479, 10.00004, 16382, 16382, 0
160.001476, 9.999997, 15886, 15886, 0
170.001447, 9.999971, 16289, 16289, 0
180.001373, 9.999926, 16754, 16754, 0
190.00142, 10.000047, 16098, 16098, 0
200.005445, 10.004025, 16132, 16132, 0
210.005468, 10.000023, 16268, 16268, 0
220.001435, 9.995967, 16049, 16049, 0
230.001551, 10.000116, 16130, 16130, 0
240.001454, 9.999903, 16572, 16572, 0
250.001536, 10.000082, 16123, 16123, 0
260.001382, 9.999846, 16009, 16009, 0
270.001403, 10.000021, 17245, 17245, 0
280.001507, 10.000104, 16587, 16587, 0
290.001502, 9.999995, 15395, 15395, 0
300.001503, 10.000001, 16661, 16661, 0
310.005477, 10.003974, 16568, 16568, 0
320.001445, 9.995968, 15908, 15908, 0
330.001492, 10.000047, 16562, 16562, 0
340.001459, 9.999967, 16481, 16481, 0
350.009561, 10.008102, 15824, 15824, 0
360.001385, 9.991824, 15772, 15772, 0
370.001446, 10.000061, 16440, 16440, 0
380.001577, 10.000131, 16319, 16319, 0
390.001448, 9.999871, 16506, 16506, 0
400.001428, 9.99998, 16530, 16530, 0
410.001407, 9.999979, 15676, 15676, 0
420.001478, 10.000071, 16076, 16076, 0
430.001379, 9.999901, 16142, 16142, 0
440.001544, 10.000165, 16081, 16081, 0
450.001472, 9.999928, 16103, 16103, 0
460.001388, 9.999916, 16218, 16218, 0
470.001379, 9.999991, 16471, 16471, 0
480.001409, 10.00003, 16126, 16126, 0
490.001444, 10.000035, 16266, 16266, 0
500.00138, 9.999936, 16126, 16126, 0
510.0015, 10.00012, 16009, 16009, 0
520.00545, 10.00395, 16201, 16201, 0
530.001465, 9.996015, 16076, 16076, 0
540.001441, 9.999976, 16486, 16486, 0
550.001505, 10.000064, 16183, 16183, 0
560.00145, 9.999945, 16153, 16153, 0
570.001439, 9.999989, 16141, 16141, 0
580.001495, 10.000056, 16344, 16344, 0
590.001433, 9.999938, 16287, 16287, 0
600.0016, 10.000167, 18499, 18499, 0
601.033117, 1.031517, 2915, 2915, 0
