elapsed, window, total, successful, failed
10.000982, 10.000982, 8430, 8430, 0
20.002301, 10.001319, 11914, 11914, 0
30.001078, 9.998777, 11924, 11924, 0
40.00097, 9.999892, 10570, 10570, 0
50.001961, 10.000991, 11830, 11830, 0
60.001936, 9.999975, 12177, 12177, 0
70.001952, 10.000016, 11517, 11517, 0
80.00218, 10.000228, 11700, 11700, 0
90.001224, 9.999044, 12049, 12049, 0
100.000955, 9.999731, 11321, 11321, 0
110.00196, 10.001005, 10832, 10832, 0
120.00192, 9.99996, 11610, 11610, 0
130.002148, 10.000228, 11459, 11459, 0
140.001365, 9.999217, 11081, 11081, 0
150.009986, 10.008621, 11508, 11508, 0
160.002014, 9.992028, 11397, 11397, 0
170.002054, 10.00004, 11225, 11225, 0
180.001002, 9.998948, 11264, 11264, 0
190.001948, 10.000946, 11581, 11581, 0
200.002002, 10.000054, 11304, 11304, 0
210.01002, 10.008018, 11308, 11308, 0
220.001886, 9.991866, 11307, 11307, 0
230.002073, 10.000187, 11156, 11156, 0
240.000892, 9.998819, 11344, 11344, 0
250.001962, 10.00107, 11586, 11586, 0
260.00206, 10.000098, 10798, 10798, 0
270.000915, 9.998855, 11081, 11081, 0
280.001891, 10.000976, 11484, 11484, 0
290.001958, 10.000067, 11426, 11426, 0
300.002044, 10.000086, 11326, 11326, 0
310.002018, 9.999974, 11211, 11211, 0
320.002072, 10.000054, 11267, 11267, 0
330.001978, 9.999906, 11237, 11237, 0
340.001998, 10.00002, 11200, 11200, 0
350.001924, 9.999926, 11363, 11363, 0
360.001891, 9.999967, 11121, 11121, 0
370.001943, 10.000052, 11150, 11150, 0
380.001929, 9.999986, 11311, 11311, 0
390.001981, 10.000052, 11397, 11397, 0
400.001887, 9.999906, 11102, 11102, 0
410.0024, 10.000513, 11111, 11111, 0
420.002516, 10.000116, 11316, 11316, 0
430.001032, 9.998516, 11106, 11106, 0
440.002075, 10.001043, 11295, 11295, 0
450.002243, 10.000168, 11250, 11250, 0
460.001016, 9.998773, 11394, 11394, 0
470.002125, 10.001109, 10797, 10797, 0
480.000888, 9.998763, 11133, 11133, 0
490.001996, 10.001108, 10972, 10972, 0
500.002042, 10.000046, 10801, 10801, 0
510.00091, 9.998868, 11071, 11071, 0
520.002104, 10.001194, 11104, 11104, 0
530.009964, 10.00786, 11178, 11178, 0
540.001916, 9.991952, 11160, 11160, 0
550.001979, 10.000063, 11204, 11204, 0
560.002064, 10.000085, 11056, 11056, 0
570.000977, 9.998913, 10920, 10920, 0
580.002107, 10.00113, 11049, 11049, 0
590.000947, 9.99884, 10994, 10994, 0
600.002021, 10.001074, 11030, 11030, 0
601.027843, 1.025822, 1072, 1072, 0
