elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00154, 10.00154, 11195, 3347, 26823.8, 27874, 39711, 48103, 160986, 169541, 0
20.001651, 10.000111, 11215, 2743, 26625.9, 28067, 40916, 49536, 66793, 80188, 0
30.001496, 9.999845, 11237, 3031, 26725.1, 28263, 41201, 51509, 231312, 266321, 0
40.001521, 10.000025, 10082, 2990, 29921.2, 28784, 45512, 83315, 600054, 633228, 0
50.001653, 10.000132, 11402, 2822, 26358.2, 27898, 39253, 47170, 77525, 91278, 0
60.001591, 9.999938, 11502, 3052, 26061.8, 27889, 39104, 46478, 95244, 144785, 0
70.001669, 10.000078, 10943, 2733, 27236.3, 27608, 41011, 72138, 366322, 403226, 0
80.00153, 9.999861, 11361, 3110, 26400.3, 27940, 40346, 52913, 89570, 106927, 0
90.001663, 10.000133, 11392, 2889, 26289.2, 27815, 40873, 53282, 71729, 85390, 0
100.001506, 9.999843, 10737, 2596, 27844.2, 28911, 42208, 75205, 245111, 283831, 0
110.001494, 9.999988, 10856, 2899, 27635.4, 29070, 46054, 67125, 105605, 176880, 0
120.0015, 10.000006, 11055, 3315, 26995.9, 29002, 42995, 54737, 76642, 124786, 0
130.001527, 10.000027, 10789, 3006, 27700.1, 28018, 42053, 62320, 259029, 337221, 0
140.001523, 9.999996, 11096, 2732, 27256.3, 29209, 41507, 61743, 189073, 208073, 0
150.001501, 9.999978, 11260, 2978, 26593.6, 28193, 41151, 53879, 77275, 86911, 0
160.001502, 10.000001, 11002, 3009, 27160.7, 28205, 41494, 59892, 134991, 189923, 0
170.001816, 10.000314, 11007, 2895, 27302.9, 27933, 41738, 77990, 162897, 203897, 0
180.001667, 9.999851, 10926, 2960, 27449.4, 29588, 42189, 58838, 84665, 96338, 0
190.001669, 10.000002, 11352, 2838, 26502.8, 28324, 41076, 58118, 98271, 158923, 0
200.001707, 10.000038, 10850, 2847, 27593.0, 28773, 44418, 77786, 225942, 269093, 0
210.001641, 9.999934, 11277, 2833, 26652.5, 28763, 41319, 57267, 93100, 106022, 0
220.001531, 9.99989, 11054, 2829, 27092.0, 28778, 43568, 60655, 96323, 193497, 0
230.001626, 10.000095, 10934, 3139, 27433.2, 27854, 41112, 64180, 244609, 336964, 0
240.001605, 9.999979, 11286, 3030, 26579.4, 28660, 40452, 52236, 87016, 97402, 0
250.0015, 9.999895, 10990, 3033, 27213.3, 28765, 42435, 56260, 137927, 216456, 0
260.001524, 10.000024, 10681, 2783, 28099.0, 29171, 44768, 69659, 143310, 196279, 0
270.001818, 10.000294, 11274, 3211, 26644.2, 27974, 41414, 58032, 116231, 160332, 0
280.001706, 9.999888, 11141, 2939, 26798.5, 28959, 40807, 52380, 79827, 98196, 0
290.001532, 9.999826, 11215, 2686, 26760.7, 28381, 42171, 61741, 145997, 255567, 0
300.001502, 9.99997, 11095, 2876, 26954.7, 28722, 42312, 66078, 110354, 186850, 0
310.001499, 9.999997, 11004, 2760, 27228.0, 29285, 42495, 53661, 77062, 108505, 0
320.001777, 10.000278, 11123, 2858, 27001.0, 28909, 42434, 58655, 148296, 227676, 0
330.001639, 9.999862, 11089, 2858, 27028.8, 28678, 41231, 72876, 176051, 233516, 0
340.001597, 9.999958, 11160, 2787, 26867.5, 28733, 42762, 56779, 105338, 138902, 0
350.00151, 9.999913, 11376, 2754, 26321.4, 28303, 40259, 52130, 81945, 103804, 0
360.001631, 10.000121, 11353, 2971, 26401.8, 28300, 41996, 60694, 124853, 229276, 0
370.002174, 10.000543, 10847, 2755, 27600.4, 29367, 44931, 66716, 127705, 235076, 0
380.001533, 9.999359, 11154, 2835, 26937.7, 29630, 41520, 53957, 90000, 104691, 0
390.001603, 10.00007, 11170, 3046, 26780.4, 28530, 42326, 58922, 116870, 203296, 0
400.001502, 9.999899, 11120, 3008, 26979.8, 28107, 41782, 68571, 206308, 260810, 0
410.001627, 10.000125, 11361, 2705, 26406.6, 28356, 40931, 52876, 84088, 106485, 0
420.001544, 9.999917, 10982, 2809, 26970.4, 29235, 41675, 54359, 79562, 90969, 0
430.001607, 10.000063, 11065, 2809, 27409.4, 28197, 40315, 59096, 270747, 289925, 0
440.001499, 9.999892, 11114, 2841, 27019.6, 29012, 41968, 53014, 107812, 144813, 0
450.001654, 10.000155, 11156, 3310, 26830.9, 28436, 41780, 53577, 77232, 133498, 0
460.001836, 10.000182, 10623, 2924, 28159.7, 28097, 41776, 58372, 615269, 672680, 0
470.001534, 9.999698, 11407, 2924, 26351.0, 27743, 41566, 53124, 103048, 182848, 0
480.001563, 10.000029, 11331, 2930, 26349.3, 28445, 40819, 51036, 77954, 124756, 0
490.001855, 10.000292, 11377, 2768, 26363.5, 28416, 40560, 51527, 92345, 134677, 0
500.001534, 9.999679, 10825, 2937, 27604.5, 28814, 43174, 59140, 230943, 307578, 0
510.001704, 10.00017, 11010, 3389, 27250.3, 28221, 42169, 53825, 83550, 133956, 0
520.001502, 9.999798, 11166, 2543, 26874.9, 29242, 40977, 50555, 85510, 103582, 0
530.001505, 10.000003, 11058, 2561, 26979.0, 28327, 42735, 59489, 168261, 275991, 0
540.001729, 10.000224, 11287, 3025, 26655.8, 28598, 40935, 57193, 114932, 171144, 0
550.001612, 9.999883, 11098, 2761, 26962.3, 29141, 41683, 53568, 95689, 121873, 0
560.001499, 9.999887, 11011, 2650, 27260.5, 28497, 42852, 57919, 121493, 221792, 0
570.00163, 10.000131, 10792, 2650, 27778.7, 28455, 42458, 59661, 186308, 271626, 0
580.001499, 9.999869, 10881, 2678, 27563.1, 28419, 42573, 56568, 89528, 135213, 0
590.001576, 10.000077, 10853, 2751, 27619.8, 28864, 43317, 57575, 94545, 124668, 0
600.002098, 10.000522, 13068, 2551, 23197.2, 20971, 39442, 53434, 156967, 221261, 0
601.035312, 1.033214, 2053, 2551, 21767.5, 18512, 38242, 50111, 155202, 221261, 0
