elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.002091, 10.002091, 2927, 7196, 38267.6, 29503, 92919, 152292, 262644, 287356, 0
20.000402, 9.998311, 2731, 3934, 39011.2, 28608, 101713, 205482, 355782, 370034, 0
30.001366, 10.000964, 2787, 4991, 39501.7, 28315, 101927, 178783, 615856, 950393, 0
40.001605, 10.000239, 1096, 3492, 110401.7, 16916, 517487, 2401295, 3377687, 3681926, 0
50.001693, 10.000088, 2311, 4551, 54023.9, 27296, 103406, 339637, 2956017, 4249437, 0
60.0016, 9.999907, 2752, 4541, 40531.9, 29535, 109234, 206065, 270243, 322876, 0
70.001584, 9.999984, 1954, 4105, 60138.6, 26849, 125853, 892026, 2562733, 2999679, 0
80.001606, 10.000022, 2045, 3906, 59950.2, 25017, 112051, 1145700, 2008159, 3313965, 0
90.001541, 9.999935, 2581, 6413, 41180.1, 31112, 106077, 171580, 288577, 351892, 0
100.010071, 10.00853, 1759, 3314, 68538.7, 27659, 155050, 922045, 2368859, 2977872, 0
110.00146, 9.991389, 2051, 3970, 72972.8, 23175, 136057, 1551280, 3548051, 4152102, 0
120.001535, 10.000075, 2676, 4695, 42056.4, 30869, 110528, 177431, 341942, 440980, 0
130.001453, 9.999918, 2066, 3871, 51241.7, 29271, 126084, 593938, 1372403, 1803469, 0
140.001428, 9.999975, 1972, 3224, 66038.6, 23596, 252470, 1158349, 1823988, 1900208, 0
150.001375, 9.999947, 2541, 3666, 51961.1, 25387, 107325, 725452, 1653995, 3390115, 0
160.001585, 10.00021, 1889, 3238, 57246.3, 26273, 113492, 987988, 2265993, 2328479, 0
170.001524, 9.999939, 1901, 3960, 74435.1, 26275, 195468, 1333647, 2664152, 2832679, 0
180.002018, 10.000494, 1941, 3658, 67001.9, 27479, 108597, 1709946, 3510061, 3519161, 0
190.001451, 9.999433, 2562, 6105, 44239.8, 31804, 103083, 228705, 653849, 960367, 0
200.001434, 9.999983, 1824, 3001, 72265.7, 24456, 277870, 1194761, 2179048, 2601365, 0
210.001681, 10.000247, 1878, 3051, 56288.9, 25551, 114568, 612836, 2699968, 2770004, 0
220.001528, 9.999847, 2440, 4550, 50452.8, 28471, 101942, 307671, 2396902, 4854333, 0
230.010211, 10.008683, 1680, 3444, 79592.4, 20841, 367876, 1494637, 2092422, 2482455, 0
240.00045, 9.990239, 2391, 4940, 43587.4, 31794, 108372, 228259, 539562, 677016, 0
250.006197, 10.005747, 1858, 4407, 72295.5, 27080, 100340, 1920837, 3802090, 4379664, 0
260.000432, 9.994235, 1733, 3615, 70485.3, 21374, 389360, 1103989, 1766235, 2642690, 0
270.002488, 10.002056, 2363, 4357, 55545.1, 29348, 113967, 562974, 2642690, 3372457, 0
280.001439, 9.998951, 1955, 3719, 58547.7, 26515, 99703, 1057791, 3181349, 3401271, 0
290.001494, 10.000055, 1821, 3749, 60429.7, 22978, 178144, 885927, 2160646, 2471231, 0
300.001717, 10.000223, 2121, 3561, 66435.0, 25291, 120015, 1487145, 2555076, 2647118, 0
310.001619, 9.999902, 2098, 3330, 42000.4, 31102, 111169, 168632, 269960, 1437418, 0
320.00142, 9.999801, 1788, 3756, 77168.7, 26463, 140675, 1362981, 4326211, 4712872, 0
330.010271, 10.008851, 1757, 2631, 77130.3, 25487, 167323, 1677421, 2264776, 2453749, 0
340.001522, 9.991251, 2407, 5388, 44622.4, 32425, 105922, 192964, 795215, 849144, 0
350.010163, 10.008641, 1770, 3426, 70475.0, 30265, 149199, 1192926, 2923119, 3509882, 0
360.00626, 9.996097, 1814, 3742, 66062.4, 25452, 121187, 1198829, 2880514, 2956272, 0
370.002438, 9.996178, 2408, 4284, 46919.1, 33357, 103873, 205366, 1033362, 1094810, 0
380.001446, 9.999008, 1950, 4425, 55726.0, 26725, 129046, 844308, 1260684, 3262253, 0
390.001371, 9.999925, 1901, 4133, 65036.3, 26927, 117256, 1370214, 2369993, 3262253, 0
400.001569, 10.000198, 2121, 4185, 56901.1, 31020, 109940, 719811, 2411959, 3075281, 0
410.00205, 10.000481, 2263, 4170, 51772.6, 30860, 125516, 511297, 1182369, 1214396, 0
420.001795, 9.999745, 1512, 3827, 90402.6, 22453, 452553, 1900695, 2245296, 3004750, 0
430.001371, 9.999576, 1844, 3987, 61864.5, 28373, 113036, 931522, 3131469, 3632423, 0
440.002808, 10.001437, 2436, 6484, 45919.6, 31885, 115134, 249473, 939436, 961319, 0
450.00198, 9.999172, 1543, 3821, 86414.2, 25504, 307321, 1527558, 3242147, 3379414, 0
460.0016, 9.99962, 2063, 4071, 54042.4, 28584, 122123, 930517, 1459939, 1531359, 0
470.0027, 10.0011, 2401, 3819, 47852.9, 30129, 103994, 495322, 1258253, 1382173, 0
480.001644, 9.998944, 1707, 3819, 63675.5, 27276, 201094, 905621, 1961160, 2151761, 0
490.00141, 9.999766, 1972, 4494, 58355.0, 32500, 93984, 687340, 4002369, 4260290, 0
