elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.002202, 10.002202, 2191, 5200, 70771.2, 38400, 183590, 677421, 1941337, 2096705, 0
20.00035, 9.998148, 2305, 7807, 64615.4, 44964, 167617, 372417, 569022, 683883, 0
30.001589, 10.001239, 2250, 7406, 66416.6, 43558, 199925, 386450, 517280, 577894, 0
40.001262, 9.999673, 1028, 5125, 116168.5, 33647, 331608, 2162185, 3570550, 3581870, 0
50.001387, 10.000125, 1698, 6019, 94735.2, 39875, 186359, 1292670, 3827530, 5825663, 0
60.001364, 9.999977, 2168, 8406, 69593.1, 48952, 190247, 325872, 548398, 560499, 0
70.001957, 10.000593, 1406, 5261, 99736.5, 42783, 249798, 1438640, 3379567, 3763456, 0
80.001463, 9.999506, 1571, 5417, 106253.3, 33685, 358565, 2084250, 3295598, 3381604, 0
90.001705, 10.000242, 2111, 9189, 70114.3, 45144, 218256, 353584, 479579, 524790, 0
100.001258, 9.999553, 1822, 6692, 78358.2, 49862, 234403, 499826, 1023848, 1206391, 0
110.00125, 9.999992, 879, 5202, 156091.3, 28466, 829204, 2652799, 4950132, 4969423, 0
120.001616, 10.000366, 1956, 6297, 111196.0, 50596, 198439, 1278606, 4969423, 5004519, 0
130.0013, 9.999684, 2015, 7485, 72834.9, 53548, 187389, 315715, 768121, 824926, 0
140.001641, 10.000341, 1180, 6348, 125840.4, 34619, 489003, 2158094, 3245481, 3476062, 0
150.006534, 10.004893, 1290, 6818, 116558.0, 45870, 235786, 2769204, 3907848, 4353258, 0
160.001442, 9.994908, 1920, 9193, 75500.2, 51173, 226941, 350686, 429521, 458355, 0
170.001592, 10.00015, 1304, 6549, 118046.2, 30079, 670637, 1708621, 2619401, 2696870, 0
180.002541, 10.000949, 1654, 6458, 92336.8, 40597, 295969, 1427075, 2629119, 2782335, 0
190.001247, 9.998706, 2022, 7917, 75587.2, 51424, 215743, 341027, 573125, 630414, 0
200.001261, 10.000014, 1288, 5383, 111065.5, 34084, 550015, 1521735, 2500096, 2517036, 0
210.001374, 10.000113, 1333, 6196, 113998.6, 34022, 324533, 2158551, 3808544, 3825880, 0
220.001398, 10.000024, 1985, 8811, 83862.3, 49655, 225309, 383208, 3361644, 3743099, 0
230.007251, 10.005853, 1583, 6044, 90683.9, 39343, 273956, 1128628, 1903048, 2151592, 0
240.001614, 9.994363, 1659, 7071, 93914.7, 35035, 369552, 1469354, 1911115, 2158264, 0
250.001539, 9.999925, 1535, 6802, 99323.4, 41793, 230947, 1600232, 3696162, 3771326, 0
260.001254, 9.999715, 1653, 7644, 75724.7, 47219, 217412, 464314, 1046383, 1208458, 0
270.001532, 10.000278, 1367, 6425, 136834.2, 32932, 674905, 2542435, 3958235, 4158017, 0
280.001298, 9.999766, 1404, 6027, 112280.1, 40153, 254679, 2209673, 4224734, 4378852, 0
290.001454, 10.000156, 1799, 6796, 85191.1, 47041, 244279, 765733, 1093708, 1186300, 0
300.001386, 9.999932, 1358, 6791, 102780.1, 32615, 535693, 1518770, 1921974, 1946764, 0
310.001292, 9.999906, 1403, 5921, 95329.1, 37744, 289386, 1084691, 3371494, 3408747, 0
320.001316, 10.000024, 1762, 7788, 96871.6, 47787, 258213, 1070537, 3076042, 3282609, 0
330.001635, 10.000319, 1606, 5825, 84310.1, 44761, 262223, 725887, 2175312, 2325457, 0
340.00134, 9.999705, 1697, 9103, 86108.3, 43185, 264095, 995634, 1523853, 1709201, 0
350.001328, 9.999988, 1778, 6193, 88986.4, 39004, 222721, 1084899, 3307654, 3682955, 0
360.001487, 10.000159, 1428, 6903, 106484.0, 44773, 360121, 1389741, 2767295, 2859703, 0
370.001587, 10.0001, 1510, 6995, 98562.3, 39644, 406991, 1126653, 2010767, 2052839, 0
380.001901, 10.000314, 1444, 6618, 105103.2, 42253, 295381, 1905321, 2657218, 2826853, 0
390.001632, 9.999731, 1734, 6986, 83626.9, 52862, 214145, 777923, 1172211, 1361353, 0
400.001368, 9.999736, 1494, 5670, 117895.7, 36611, 610434, 1706368, 3040578, 3275649, 0
410.001942, 10.000574, 1306, 5569, 121463.5, 37522, 479595, 1935122, 3137075, 3180831, 0
420.001836, 9.999894, 1884, 9351, 76512.0, 48382, 208374, 434182, 852001, 912310, 0
430.001307, 9.999471, 1326, 5696, 113776.5, 31066, 594187, 1830733, 3382037, 3754391, 0
440.001347, 10.00004, 1418, 5846, 101099.6, 40581, 275854, 1504858, 3221487, 3234708, 0
450.001527, 10.00018, 1702, 8451, 105886.6, 45818, 305927, 1171753, 4126987, 4143939, 0
460.001395, 9.999868, 1441, 6310, 100761.0, 42458, 325524, 1609992, 2515258, 2571214, 0
470.001255, 9.99986, 1752, 9109, 84947.7, 41274, 246966, 967167, 1703812, 1920944, 0
480.001622, 10.000367, 1210, 5931, 132363.7, 40630, 464965, 1993497, 4251799, 4258267, 0
490.00176, 10.000138, 1486, 6783, 98368.9, 32441, 359432, 1574673, 2580881, 2747402, 0
500.001306, 9.999546, 1806, 6481, 88595.1, 35017, 260007, 1150429, 2587227, 3308483, 0
510.001361, 10.000055, 1693, 7634, 89456.6, 39228, 284901, 1109347, 2744127, 3099560, 0
520.001248, 9.999887, 1300, 5843, 95229.3, 43822, 234886, 1486329, 2787574, 2801408, 0
530.001534, 10.000286, 1690, 6125, 96132.5, 39339, 272373, 1401962, 2415516, 3250687, 0
