elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001018, 10.001018, 4108, 7253, 37845.7, 36043, 60640, 81683, 130423, 148801, 0
20.002229, 10.001211, 4196, 6731, 36012.1, 35180, 54478, 65684, 94527, 106601, 0
30.000988, 9.998759, 3706, 4751, 38359.9, 35615, 63513, 78278, 693940, 851861, 0
40.002006, 10.001018, 2543, 5420, 55988.1, 31494, 57598, 1033621, 1665430, 2478777, 0
50.002195, 10.000189, 4273, 6650, 35453.4, 34685, 55806, 68670, 92273, 103824, 0
60.000992, 9.998797, 4398, 6029, 34163.1, 33273, 53546, 67128, 84917, 94501, 0
70.002064, 10.001072, 971, 5597, 126350.0, 27801, 442777, 2436050, 3171068, 3219179, 0
80.002046, 9.999982, 4248, 6077, 36439.3, 33574, 55581, 71580, 411060, 2436050, 0
90.002306, 10.00026, 4254, 6529, 35650.4, 34612, 56410, 69608, 86866, 130469, 0
100.001009, 9.998703, 2087, 5035, 54927.4, 30048, 63553, 1051057, 1692820, 2087401, 0
110.002197, 10.001188, 3211, 6010, 48072.3, 32674, 54528, 375431, 2565301, 3045892, 0
120.000989, 9.998792, 4156, 7343, 36310.7, 34510, 57970, 75358, 198620, 235907, 0
130.002097, 10.001108, 3039, 5840, 46491.5, 32252, 57109, 534289, 1851712, 1927665, 0
140.001168, 9.999071, 2637, 5839, 49840.4, 34330, 58227, 209491, 3374551, 3537422, 0
150.001841, 10.000673, 4154, 7447, 35478.4, 34508, 55204, 70686, 92420, 101176, 0
160.001042, 9.999201, 3162, 6082, 45859.1, 31858, 56407, 641990, 1346687, 1622690, 0
170.001062, 10.00002, 2465, 6361, 51585.6, 35854, 69265, 325847, 2545160, 2698702, 0
180.001413, 10.000351, 4126, 8335, 36386.5, 35637, 54311, 65595, 95109, 120383, 0
190.003089, 10.001676, 3440, 6488, 39825.2, 33965, 56465, 225535, 1306982, 1696769, 0
200.002046, 9.998957, 3343, 6462, 41133.7, 35929, 57410, 303379, 570165, 665865, 0
210.002949, 10.000903, 2898, 5514, 50730.3, 36725, 58424, 130118, 3342463, 3439579, 0
220.001313, 9.998364, 3511, 5499, 40856.9, 34932, 55544, 163513, 1113405, 1164187, 0
230.001407, 10.000094, 3514, 6024, 43554.6, 38204, 57771, 135262, 1124931, 1602443, 0
