elapsed, window, total, successful, failed
10.001081, 10.001081, 10335, 10335, 0
20.001105, 10.000024, 10589, 10589, 0
30.001164, 10.000059, 10369, 10369, 0
40.001007, 9.999843, 4100, 4100, 0
50.002343, 10.001336, 10237, 10237, 0
60.001239, 9.998896, 10025, 10025, 0
70.001945, 10.000706, 5581, 5581, 0
80.001307, 9.999362, 9136, 9136, 0
90.001186, 9.999879, 10083, 10083, 0
100.001089, 9.999903, 6029, 6029, 0
110.001849, 10.00076, 7918, 7918, 0
120.001141, 9.999292, 9482, 9482, 0
130.001149, 10.000008, 6974, 6974, 0
140.001796, 10.000647, 7960, 7960, 0
150.001371, 9.999575, 9315, 9315, 0
160.001014, 9.999643, 7076, 7076, 0
170.002409, 10.001395, 8296, 8296, 0
180.001219, 9.99881, 9284, 9284, 0
190.001313, 10.000094, 7276, 7276, 0
200.00187, 10.000557, 7928, 7928, 0
210.00121, 9.99934, 9312, 9312, 0
220.001554, 10.000344, 8079, 8079, 0
230.002294, 10.00074, 6720, 6720, 0
240.001187, 9.998893, 9278, 9278, 0
250.001007, 9.99982, 8048, 8048, 0
260.003525, 10.002518, 6358, 6358, 0
270.001179, 9.997654, 8871, 8871, 0
280.001013, 9.999834, 8411, 8411, 0
290.00262, 10.001607, 4731, 4731, 0
300.001366, 9.998746, 7546, 7546, 0
310.001007, 9.999641, 8774, 8774, 0
320.002002, 10.000995, 7207, 7207, 0
330.002581, 10.000579, 5858, 5858, 0
340.001388, 9.998807, 8760, 8760, 0
350.001098, 9.99971, 7945, 7945, 0
360.001294, 10.000196, 5538, 5538, 0
370.00225, 10.000956, 8494, 8494, 0
380.001276, 9.999026, 7350, 7350, 0
390.001369, 10.000093, 5506, 5506, 0
400.01544, 10.014071, 8432, 8432, 0
410.006329, 9.990889, 7676, 7676, 0
420.001115, 9.994786, 5352, 5352, 0
430.002417, 10.001302, 8608, 8608, 0
440.001248, 9.998831, 8259, 8259, 0
450.002353, 10.001105, 7100, 7100, 0
460.001393, 9.99904, 8152, 8152, 0
470.001364, 9.999971, 7853, 7853, 0
480.002879, 10.001515, 7339, 7339, 0
490.001307, 9.998428, 8025, 8025, 0
500.001162, 9.999855, 7862, 7862, 0
510.001129, 9.999967, 7143, 7143, 0
520.00144, 10.000311, 7846, 7846, 0
530.001683, 10.000243, 8742, 8742, 0
540.001043, 9.99936, 7086, 7086, 0
550.002752, 10.001709, 8355, 8355, 0
560.001627, 9.998875, 8645, 8645, 0
570.001853, 10.000226, 7937, 7937, 0
580.002792, 10.000939, 6014, 6014, 0
590.003011, 10.000219, 6166, 6166, 0
600.001457, 9.998446, 5941, 5941, 0
601.116752, 1.115295, 692, 692, 0
