elapsed, window, total, successful, failed
10.000856, 10.000856, 4333, 4333, 0
20.001995, 10.001139, 3660, 3660, 0
30.001939, 9.999944, 3368, 3368, 0
40.002061, 10.000122, 3996, 3996, 0
50.001038, 9.998977, 3987, 3987, 0
60.005846, 10.004808, 3137, 3137, 0
70.001865, 9.996019, 4324, 4324, 0
80.002002, 10.000137, 4262, 4262, 0
90.001917, 9.999915, 2534, 2534, 0
100.001855, 9.999938, 4019, 4019, 0
110.001888, 10.000033, 4038, 4038, 0
120.001925, 10.000037, 3000, 3000, 0
130.00527, 10.003345, 3669, 3669, 0
140.000964, 9.995694, 3962, 3962, 0
150.001963, 10.000999, 2905, 2905, 0
160.001898, 9.999935, 3041, 3041, 0
170.001981, 10.000083, 4066, 4066, 0
180.001915, 9.999934, 3599, 3599, 0
190.006054, 10.004139, 2815, 2815, 0
200.005033, 9.998979, 3998, 3998, 0
210.00591, 10.000877, 3929, 3929, 0
220.001951, 9.996041, 2800, 2800, 0
230.001899, 9.999948, 3760, 3760, 0
240.005987, 10.004088, 3635, 3635, 0
250.009309, 10.003322, 3323, 3323, 0
260.001157, 9.991848, 3325, 3325, 0
270.004989, 10.003832, 3787, 3787, 0
280.001913, 9.996924, 3266, 3266, 0
290.001942, 10.000029, 3287, 3287, 0
300.001912, 9.99997, 3930, 3930, 0
310.002093, 10.000181, 3434, 3434, 0
320.000851, 9.998758, 2947, 2947, 0
330.002014, 10.001163, 3768, 3768, 0
340.00185, 9.999836, 3795, 3795, 0
350.001849, 9.999999, 3263, 3263, 0
360.001916, 10.000067, 2980, 2980, 0
370.001842, 9.999926, 3560, 3560, 0
380.001889, 10.000047, 2938, 2938, 0
390.001853, 9.999964, 3150, 3150, 0
400.001977, 10.000124, 3789, 3789, 0
410.001912, 9.999935, 3800, 3800, 0
420.001886, 9.999974, 3292, 3292, 0
430.002129, 10.000243, 3399, 3399, 0
440.001054, 9.998925, 3520, 3520, 0
450.00085, 9.999796, 3019, 3019, 0
460.001849, 10.000999, 3462, 3462, 0
470.002169, 10.00032, 3773, 3773, 0
480.002014, 9.999845, 3485, 3485, 0
490.00185, 9.999836, 2820, 2820, 0
500.002128, 10.000278, 3662, 3662, 0
510.001299, 9.999171, 3549, 3549, 0
520.001025, 9.999726, 2696, 2696, 0
530.00187, 10.000845, 3684, 3684, 0
540.001872, 10.000002, 3289, 3289, 0
550.00229, 10.000418, 3361, 3361, 0
560.000849, 9.998559, 3141, 3141, 0
570.001849, 10.001, 3022, 3022, 0
580.001886, 10.000037, 3724, 3724, 0
590.00213, 10.000244, 3452, 3452, 0
600.000925, 9.998795, 10640, 10640, 0
601.099955, 1.09903, 1274, 1274, 0
