elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001138, 10.001138, 2949, 1758, 13647.3, 11375, 28922, 47065, 81890, 117182, 0
20.002056, 10.000918, 2799, 2393, 14275.8, 12477, 28390, 40166, 64184, 82865, 0
30.002014, 9.999958, 2538, 1780, 17063.9, 13353, 35324, 88517, 385935, 428682, 0
40.002164, 10.00015, 1422, 1493, 47525.2, 12353, 71114, 979546, 2564534, 2568945, 0
50.009986, 10.007822, 2661, 2378, 15951.6, 13599, 32622, 47596, 68616, 96340, 0
60.002106, 9.99212, 2683, 2463, 16862.5, 13416, 32159, 53183, 418519, 772498, 0
70.001095, 9.998989, 1154, 1889, 65743.9, 10956, 300238, 1356291, 2502514, 2589239, 0
80.000962, 9.999867, 2632, 2226, 21880.0, 13005, 32893, 64411, 2230521, 2589239, 0
90.001975, 10.001013, 2606, 2310, 16572.2, 13482, 34721, 58608, 253529, 395590, 0
100.001969, 9.999994, 1623, 1884, 34087.9, 12676, 42089, 622047, 1605277, 2151628, 0
110.002012, 10.000043, 2119, 2919, 33667.7, 14201, 35358, 286475, 3482248, 4101777, 0
120.001953, 9.999941, 2667, 2516, 18820.9, 14263, 36851, 64560, 681757, 759248, 0
130.002034, 10.000081, 2036, 1405, 31577.7, 13940, 45729, 636484, 1213387, 2006037, 0
140.001043, 9.999009, 1999, 2302, 29566.0, 13880, 41960, 205401, 2171609, 2230288, 0
150.001953, 10.00091, 2487, 2743, 17908.5, 13926, 37066, 77095, 289699, 370609, 0
160.00215, 10.000197, 1883, 2425, 33239.6, 14250, 43106, 779246, 1280182, 1460582, 0
170.00099, 9.99884, 1681, 2093, 40363.4, 14338, 39057, 784031, 3296328, 3408415, 0
180.002024, 10.001034, 2535, 2600, 21566.1, 14829, 35581, 66446, 966587, 1046950, 0
190.002004, 9.99998, 2120, 2600, 23271.1, 14605, 42033, 189488, 1008098, 1037612, 0
200.001985, 9.999981, 2295, 2461, 22443.3, 14502, 35110, 104896, 1437369, 1935966, 0
210.001975, 9.99999, 1843, 1718, 44125.9, 14374, 42911, 203189, 4257115, 4296574, 0
220.001963, 9.999988, 2450, 2449, 19606.1, 15008, 34965, 69407, 485016, 675694, 0
230.001982, 10.000019, 2107, 2370, 24616.8, 15101, 35252, 165831, 1393392, 2052717, 0
240.002099, 10.000117, 2423, 2056, 19810.7, 15093, 35504, 66003, 674122, 1201200, 0
250.000998, 9.998899, 2495, 2135, 20621.1, 15017, 36168, 95176, 574745, 792832, 0
260.002082, 10.001084, 1912, 2447, 34030.4, 14988, 37344, 801161, 1500973, 2094406, 0
270.002044, 9.999962, 2385, 2625, 20106.7, 15026, 38860, 83685, 571692, 870408, 0
280.002359, 10.000315, 2367, 2480, 20030.0, 15358, 36361, 71974, 647076, 830109, 0
290.001006, 9.998647, 1805, 2463, 36026.0, 14974, 39767, 855457, 1882493, 1980928, 0
300.001972, 10.000966, 2382, 2612, 24248.9, 15576, 40744, 203720, 954060, 1150995, 0
310.00239, 10.000418, 2553, 2280, 20016.9, 15911, 38762, 80969, 372443, 545447, 0
320.001009, 9.998619, 1776, 1909, 36440.8, 13831, 43512, 996059, 1966395, 2052146, 0
330.002549, 10.00154, 2380, 2659, 20820.9, 14917, 39814, 128659, 596152, 855262, 0
340.000962, 9.998413, 2563, 2051, 22020.2, 15961, 36740, 192052, 588102, 835402, 0
350.002066, 10.001104, 2043, 2300, 28934.0, 15163, 38439, 522992, 1208599, 1533923, 0
360.001982, 9.999916, 2425, 2873, 22096.8, 15696, 34279, 83838, 1018378, 1043682, 0
