elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001421, 10.001421, 2673, 3799, 39214.9, 35352, 79917, 101071, 148883, 202737, 0
20.003395, 10.001974, 2599, 3885, 40732.2, 37421, 79421, 97009, 120354, 133104, 0
30.001116, 9.997721, 1854, 3646, 49244.6, 30377, 88890, 568982, 1501647, 2183230, 0
40.001138, 10.000022, 2123, 3729, 57618.5, 34058, 72103, 1070877, 2504867, 3116029, 0
50.001322, 10.000184, 2687, 4381, 38626.0, 35973, 69653, 90465, 109468, 125622, 0
60.010239, 10.008917, 2327, 3237, 41712.6, 34175, 77386, 115847, 782456, 932338, 0
70.001226, 9.990987, 1277, 3237, 73505.6, 24462, 108234, 1393687, 2492696, 3476571, 0
80.001542, 10.000316, 2516, 4062, 41709.6, 38335, 81350, 113675, 136513, 174665, 0
90.001155, 9.999613, 2400, 3544, 44185.6, 36278, 80872, 174953, 960522, 1075697, 0
100.001198, 10.000043, 1101, 3906, 80348.9, 29136, 121915, 1511862, 3796149, 3816183, 0
110.001113, 9.999915, 2620, 5945, 38667.8, 36259, 68395, 84809, 146565, 166931, 0
120.001233, 10.00012, 2361, 4416, 41179.8, 35906, 73384, 111956, 737136, 799984, 0
130.001122, 9.999889, 1947, 3813, 49110.0, 35123, 77175, 417487, 1622320, 1878686, 0
140.001416, 10.000294, 2048, 4239, 50801.1, 34955, 87694, 667789, 1831249, 2198745, 0
150.003442, 10.002026, 2390, 4501, 41958.5, 35503, 71476, 148979, 943205, 1021097, 0
160.00113, 9.997688, 1909, 4473, 56830.6, 36343, 77485, 923410, 1463005, 1501129, 0
170.001183, 10.000053, 1536, 4423, 61167.9, 36289, 74794, 968343, 3178029, 3246272, 0
180.0015, 10.000317, 2464, 4076, 40410.4, 37162, 71490, 96779, 328822, 510605, 0
190.001198, 9.999698, 1891, 4076, 56094.9, 34427, 90716, 637727, 1915007, 1960446, 0
200.001148, 9.99995, 1531, 3818, 53133.4, 35555, 86478, 109481, 2288032, 4278311, 0
210.001181, 10.000033, 2447, 4342, 55082.9, 37191, 80160, 130201, 4278311, 4322950, 0
220.003519, 10.002338, 1919, 4181, 55147.1, 34950, 78775, 671982, 1963260, 2060686, 0
230.006125, 10.002606, 2367, 3399, 43269.8, 38753, 70396, 116014, 1040435, 1291688, 0
240.001127, 9.995002, 2539, 4318, 40793.0, 38160, 70741, 101449, 270052, 443285, 0
250.001106, 9.999979, 1696, 3470, 60237.9, 37782, 82572, 1087438, 1535061, 1735951, 0
260.001405, 10.000299, 2181, 3909, 49510.5, 36100, 78148, 546481, 1372018, 1420141, 0
270.002521, 10.001116, 2452, 5286, 42059.4, 36234, 73922, 117643, 728042, 978466, 0
280.001267, 9.998746, 1920, 4180, 47570.0, 34585, 74777, 570770, 1141107, 1352203, 0
290.001121, 9.999854, 1982, 4022, 51267.3, 35001, 75997, 577261, 1893705, 1934352, 0
300.0014, 10.000279, 2295, 4520, 44925.0, 35866, 70886, 295408, 1084150, 1155809, 0
310.001254, 9.999854, 2109, 3743, 43922.7, 36712, 70327, 253099, 1171208, 1329240, 0
320.001129, 9.999875, 1858, 3609, 57837.7, 32805, 91406, 911592, 2107128, 2192114, 0
330.003515, 10.002386, 2320, 3776, 43542.4, 34937, 84712, 169271, 1024987, 1084631, 0
340.007747, 10.004232, 2366, 3957, 44844.3, 37257, 72100, 308967, 784745, 835184, 0
350.005143, 9.997396, 1997, 3546, 49832.7, 32675, 71140, 733051, 1349307, 1662386, 0
360.00155, 9.996407, 2263, 4284, 42964.2, 36418, 69406, 128043, 909897, 1118202, 0
370.001146, 9.999596, 2307, 4641, 43254.5, 37186, 70554, 107774, 987689, 1049140, 0
380.001926, 10.00078, 1866, 3594, 51688.8, 32370, 76711, 603842, 1790320, 2163404, 0
390.002397, 10.000471, 2406, 4228, 44145.9, 36943, 67792, 146178, 1063602, 1145582, 0
400.001403, 9.999006, 2464, 4205, 40529.3, 36365, 68616, 153442, 406882, 519259, 0
410.001266, 9.999863, 1569, 3208, 64336.1, 30620, 75489, 1109237, 2313370, 2452690, 0
420.001803, 10.000537, 2318, 3263, 41446.4, 35137, 70080, 189731, 699182, 739325, 0
430.001584, 9.999781, 2430, 4830, 39318.0, 35981, 67932, 111823, 304914, 397221, 0
440.001119, 9.999535, 1895, 3676, 47608.9, 35284, 81017, 188003, 1741799, 1778161, 0
450.001567, 10.000448, 2197, 4518, 49142.8, 33537, 71887, 628686, 1475424, 2140155, 0
460.001304, 9.999737, 2412, 5935, 42291.5, 37836, 71820, 114761, 521519, 624587, 0
470.001179, 9.999875, 2040, 4745, 45555.1, 34284, 68394, 459245, 1203525, 1814449, 0
480.001241, 10.000062, 2027, 3347, 48536.9, 32175, 75443, 570625, 2104789, 2166045, 0
490.003028, 10.001787, 2390, 5318, 41485.7, 36897, 68018, 95823, 527382, 1054449, 0
500.007418, 10.00439, 1994, 4591, 46778.9, 35544, 72546, 280234, 1684369, 1926670, 0
510.001114, 9.993696, 1815, 4289, 54263.6, 35965, 85471, 696190, 1513409, 1606342, 0
520.002356, 10.001242, 2355, 4279, 41385.2, 35787, 67621, 174840, 574783, 577241, 0
530.001535, 9.999179, 2269, 4067, 41347.5, 34133, 71945, 128306, 1018199, 1148695, 0
540.001985, 10.00045, 1797, 4230, 49207.3, 33559, 70794, 460154, 2027767, 2080380, 0
550.001708, 9.999723, 2462, 6445, 38972.1, 35016, 67961, 113735, 433873, 564976, 0
560.001692, 9.999984, 2436, 6851, 39568.9, 34243, 62130, 140890, 902649, 970529, 0
570.001257, 9.999565, 1997, 4400, 48238.5, 32160, 82850, 481064, 1334079, 1379635, 0
580.003385, 10.002128, 2350, 4503, 40401.3, 35202, 70861, 146177, 494779, 746221, 0
590.001547, 9.998162, 2241, 4190, 40708.2, 34042, 65509, 149355, 814253, 970387, 0
600.00189, 10.000343, 2336, 3853, 39159.2, 30298, 57088, 207374, 1394484, 1429363, 0
601.022355, 1.020465, 246, 3853, 37192.7, 27749, 55516, 207374, 1394484, 1429363, 0
