elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00124, 10.00124, 1792, 1880, 16876.4, 12802, 39579, 93936, 127175, 159367, 0
20.001126, 9.999886, 1563, 1738, 17975.9, 13687, 41323, 114693, 171505, 185563, 0
30.001183, 10.000057, 1557, 1637, 15101.6, 11674, 38543, 83272, 148518, 179876, 0
40.001183, 10.0, 808, 1680, 21008.2, 8584, 38355, 190504, 1802662, 2545443, 0
50.001321, 10.000138, 1607, 1857, 18335.6, 12745, 56870, 112559, 206678, 221326, 0
60.001202, 9.999881, 1512, 2335, 18432.6, 12987, 54237, 135867, 168663, 187802, 0
70.001583, 10.000381, 866, 2097, 12895.3, 9314, 22747, 69966, 380661, 858966, 0
80.001445, 9.999862, 794, 1793, 14303.7, 8968, 24194, 47526, 168615, 2780363, 0
90.001212, 9.999767, 1541, 1939, 18995.3, 13844, 49651, 101540, 162512, 182186, 0
100.001215, 10.000003, 1232, 1783, 16262.4, 12040, 43939, 99383, 204790, 289453, 0
110.001294, 10.000079, 919, 1729, 12802.3, 9946, 26834, 46705, 151863, 1345744, 0
120.001665, 10.000371, 1343, 1729, 16150.1, 12229, 41507, 87487, 199230, 276341, 0
130.001113, 9.999448, 1398, 2098, 15819.1, 12102, 37272, 104018, 142434, 175961, 0
140.001551, 10.000438, 1151, 1438, 10765.4, 9327, 20220, 40811, 140230, 193100, 0
150.001214, 9.999663, 1085, 1857, 17792.5, 13117, 45003, 86888, 164187, 974187, 0
160.001181, 9.999967, 1381, 1863, 19114.9, 14160, 45334, 106044, 212878, 310843, 0
170.001204, 10.000023, 1170, 1901, 12946.3, 10924, 26828, 44603, 179724, 310843, 0
180.001216, 10.000012, 1340, 1936, 13846.5, 10786, 27924, 69687, 250551, 910180, 0
190.001191, 9.999975, 1354, 2444, 19595.3, 14706, 50559, 99808, 179583, 187767, 0
200.001203, 10.000012, 1207, 1710, 12708.3, 10516, 24356, 63204, 164439, 203774, 0
210.002146, 10.000943, 846, 1686, 11678.4, 9548, 23511, 47091, 155122, 174846, 0
220.001136, 9.99899, 1307, 1792, 19785.5, 15351, 50994, 76045, 137690, 173596, 0
230.003012, 10.001876, 1283, 2089, 16149.5, 12744, 38794, 76238, 123904, 236761, 0
240.001279, 9.998267, 1237, 1998, 13852.8, 11024, 31238, 82113, 173244, 178921, 0
250.001197, 9.999918, 1401, 2075, 18240.9, 13483, 46209, 86808, 622234, 1084953, 0
260.001166, 9.999969, 1263, 1948, 16871.9, 12923, 43077, 91609, 175035, 182243, 0
270.009162, 10.007996, 1257, 1782, 14169.7, 11941, 31753, 62896, 117371, 140240, 0
280.002174, 9.993012, 1297, 2018, 16539.3, 12545, 37210, 94133, 312011, 451257, 0
290.001116, 9.998942, 1357, 2245, 18040.5, 13158, 42543, 104851, 300576, 312011, 0
300.001126, 10.00001, 1112, 2163, 13571.5, 10718, 31058, 57354, 184735, 191104, 0
310.001201, 10.000075, 1306, 2058, 18208.2, 13916, 47666, 86248, 133926, 136983, 0
