elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000957, 10.000957, 1592, 10813, 96127.7, 61596, 286491, 425206, 580169, 612823, 0
20.001972, 10.001015, 1627, 9521, 97214.5, 62126, 311844, 481892, 613234, 620869, 0
30.002054, 10.000082, 1379, 6174, 103232.8, 49562, 355842, 979002, 2048264, 2510083, 0
40.000928, 9.998874, 819, 6305, 173506.6, 32416, 988502, 1896876, 2882837, 3285901, 0
50.001995, 10.001067, 1518, 7351, 102985.4, 54643, 349357, 649470, 818398, 971297, 0
60.002009, 10.000014, 1480, 7280, 105292.9, 56799, 347742, 630240, 936484, 1092189, 0
70.002286, 10.000277, 879, 6144, 117184.8, 32480, 645993, 1277177, 1845634, 1913673, 0
80.001197, 9.998911, 980, 6674, 174259.8, 34020, 1021816, 2813193, 4238055, 4384655, 0
90.000929, 9.999732, 1542, 7362, 99475.4, 58298, 312493, 547723, 1325711, 1437761, 0
100.001969, 10.00104, 1244, 7163, 117260.4, 44238, 441844, 1397213, 2137287, 2183846, 0
110.001936, 9.999967, 973, 6080, 148590.3, 31554, 663192, 2882123, 4020620, 4144777, 0
120.001927, 9.999991, 1266, 6080, 125265.7, 46594, 378089, 1526812, 3843575, 3909722, 0
130.001981, 10.000054, 1359, 7271, 105932.3, 48181, 426824, 797253, 1289445, 1493432, 0
140.006995, 10.005014, 1171, 7271, 124529.8, 35581, 714253, 1554050, 2346087, 3073935, 0
150.001929, 9.994934, 1042, 7056, 160033.9, 56798, 450295, 2519119, 3830790, 3878421, 0
160.002009, 10.00008, 1337, 6853, 109036.8, 59101, 373630, 838071, 1394866, 1414286, 0
170.005929, 10.00392, 1321, 6370, 115226.0, 36234, 625684, 1282949, 1862182, 2647444, 0
180.002012, 9.996083, 1190, 6188, 134134.2, 40986, 577199, 1978552, 2806118, 2937055, 0
190.001931, 9.999919, 1459, 9896, 99552.8, 59854, 307949, 570071, 842129, 845833, 0
200.001998, 10.000067, 1230, 6381, 116300.5, 37802, 593296, 1020050, 1750663, 1837302, 0
210.00348, 10.001482, 915, 5627, 167703.4, 31445, 770225, 3668187, 4245128, 4282675, 0
220.002036, 9.998556, 1483, 6256, 136724.9, 59164, 353048, 1535817, 4200132, 4282675, 0
230.001015, 9.998979, 1267, 6795, 106855.3, 47354, 455467, 903797, 1717975, 1931301, 0
240.001992, 10.000977, 1166, 7252, 131049.5, 41378, 521829, 1531234, 2735887, 2845252, 0
250.002047, 10.000055, 1366, 7252, 109497.1, 52519, 398537, 932264, 1820633, 1866643, 0
260.000928, 9.998881, 1298, 6422, 108465.5, 51048, 409674, 1035032, 2410987, 2579232, 0
270.002036, 10.001108, 1351, 6740, 109014.4, 42759, 513994, 1176784, 1828994, 2499297, 0
280.000984, 9.998948, 1343, 6740, 116732.4, 49062, 455428, 1202911, 2015518, 2022922, 0
290.002094, 10.00111, 1355, 8388, 112264.6, 54256, 407344, 941366, 1726691, 1941031, 0
300.002087, 9.999993, 1240, 6724, 127875.5, 35449, 544389, 1808196, 4045110, 4185652, 0
310.00114, 9.999053, 1346, 6942, 121961.6, 48971, 485100, 1337217, 1637192, 1706227, 0
320.001022, 9.999882, 1420, 6900, 109541.5, 56610, 393332, 687782, 888460, 1037019, 0
330.001987, 10.000965, 1269, 6631, 114067.6, 35397, 512539, 1272394, 2009619, 2119915, 0
340.002214, 10.000227, 1373, 7434, 115448.1, 46927, 498862, 1138107, 1771119, 2055477, 0
350.005053, 10.002839, 1389, 6197, 103597.5, 55871, 351339, 675797, 852949, 905422, 0
360.002835, 9.997782, 1395, 8855, 98176.4, 49362, 374785, 814084, 1552154, 1635823, 0
370.001104, 9.998269, 1348, 6828, 105532.8, 43149, 498756, 945322, 1628245, 2198637, 0
380.000929, 9.999825, 1399, 7573, 109925.0, 62455, 368785, 702492, 955909, 965538, 0
390.00206, 10.001131, 1141, 6921, 117234.7, 53465, 429883, 892612, 1857587, 1894192, 0
400.001978, 9.999918, 1118, 7079, 125398.0, 41369, 568480, 1574119, 2243370, 2277673, 0
410.001976, 9.999998, 1506, 8725, 96276.4, 61010, 299502, 457820, 780512, 845629, 0
420.001953, 9.999977, 1316, 6322, 107017.7, 54309, 379243, 703536, 1388878, 1393864, 0
430.001963, 10.00001, 1273, 5981, 113067.8, 39184, 505113, 1226451, 1758165, 1912865, 0
440.001988, 10.000025, 1362, 7442, 112994.7, 59556, 372097, 780674, 1439765, 1506705, 0
450.00199, 10.000002, 1340, 7442, 108187.2, 53678, 375675, 763386, 1130626, 1130688, 0
460.001968, 9.999978, 1212, 6111, 119140.8, 43562, 524706, 1117180, 1777489, 1806281, 0
470.002022, 10.000054, 1330, 7053, 121377.4, 57057, 431678, 1101949, 2511916, 2527122, 0
480.006934, 10.004912, 1404, 8221, 103582.9, 54439, 354967, 687692, 933735, 1007728, 0
490.001994, 9.99506, 1132, 6314, 126364.6, 43544, 666689, 1302037, 1900106, 2141588, 0
500.002077, 10.000083, 1150, 7035, 131268.5, 47430, 515405, 1959711, 3128566, 3154063, 0
510.00101, 9.998933, 1433, 7948, 110473.1, 59621, 385026, 711873, 843539, 1089126, 0
520.002557, 10.001547, 1271, 7442, 118142.5, 46185, 552025, 973413, 1474135, 1536190, 0
530.005111, 10.002554, 1273, 8107, 120922.1, 51503, 470809, 1040546, 1704931, 2306589, 0
540.00099, 9.995879, 1404, 6638, 109219.9, 58097, 394114, 582428, 873824, 929186, 0
550.002061, 10.001071, 1244, 7693, 120773.1, 42409, 561007, 1011779, 1994661, 2040464, 0
560.000936, 9.998875, 1190, 7979, 123993.3, 43896, 556953, 1351656, 1994661, 2040464, 0
570.00195, 10.001014, 1235, 7321, 136778.1, 54279, 476519, 1756587, 2882642, 3093599, 0
580.001931, 9.999981, 1287, 7449, 114446.9, 54773, 413397, 820315, 1605602, 1615643, 0
590.002107, 10.000176, 1375, 6873, 120023.5, 44100, 466186, 1480189, 2494429, 2604025, 0
600.001003, 9.998896, 1394, 7452, 108091.3, 41174, 417575, 1040124, 1771710, 2487411, 0
601.019205, 1.018202, 148, 7452, 106832.8, 40370, 433337, 1052779, 1771710, 2487411, 0
