elapsed, window, total, successful, failed
10.000593, 10.000593, 4755, 4755, 0
20.001682, 10.001089, 4731, 4731, 0
30.001553, 9.999871, 4185, 4185, 0
40.001497, 9.999944, 2685, 2685, 0
50.001574, 10.000077, 4799, 4799, 0
60.001927, 10.000353, 4562, 4562, 0
70.002303, 10.000376, 2665, 2665, 0
80.005573, 10.00327, 2936, 2936, 0
90.00149, 9.995917, 4614, 4614, 0
100.001578, 10.000088, 3750, 3750, 0
110.002253, 10.000675, 2654, 2654, 0
120.000849, 9.998596, 4147, 4147, 0
130.001542, 10.000693, 3968, 3968, 0
140.001579, 10.000037, 3458, 3458, 0
150.006912, 10.005333, 3316, 3316, 0
160.001743, 9.994831, 4034, 4034, 0
170.001499, 9.999756, 3884, 3884, 0
180.001491, 9.999992, 4170, 4170, 0
190.001498, 10.000007, 4247, 4247, 0
200.001509, 10.000011, 3619, 3619, 0
210.001491, 9.999982, 2548, 2548, 0
220.00153, 10.000039, 4433, 4433, 0
230.001587, 10.000057, 3730, 3730, 0
240.001652, 10.000065, 3788, 3788, 0
250.001543, 9.999891, 4166, 4166, 0
260.00162, 10.000077, 3633, 3633, 0
270.001754, 10.000134, 3754, 3754, 0
280.001492, 9.999738, 4019, 4019, 0
290.001494, 10.000002, 4251, 4251, 0
300.001598, 10.000104, 3417, 3417, 0
310.001617, 10.000019, 4089, 4089, 0
320.001542, 9.999925, 4124, 4124, 0
330.001538, 9.999996, 3827, 3827, 0
340.001493, 9.999955, 4032, 4032, 0
350.00151, 10.000017, 4247, 4247, 0
360.001624, 10.000114, 3754, 3754, 0
370.001551, 9.999927, 3967, 3967, 0
380.001627, 10.000076, 4165, 4165, 0
390.001896, 10.000269, 3810, 3810, 0
400.003096, 10.0012, 3587, 3587, 0
410.000791, 9.997695, 4199, 4199, 0
420.001563, 10.000772, 3968, 3968, 0
430.001526, 9.999963, 3919, 3919, 0
440.00157, 10.000044, 4357, 4357, 0
450.001496, 9.999926, 4167, 4167, 0
460.003586, 10.00209, 3752, 3752, 0
470.001498, 9.997912, 3976, 3976, 0
480.001492, 9.999994, 4016, 4016, 0
490.001573, 10.000081, 3524, 3524, 0
500.00192, 10.000347, 3592, 3592, 0
510.001613, 9.999693, 4300, 4300, 0
520.001552, 9.999939, 3851, 3851, 0
530.00155, 9.999998, 3896, 3896, 0
540.001663, 10.000113, 4224, 4224, 0
550.001632, 9.999969, 3869, 3869, 0
560.005496, 10.003864, 3762, 3762, 0
570.001534, 9.996038, 3812, 3812, 0
580.001497, 9.999963, 3576, 3576, 0
590.001963, 10.000466, 3861, 3861, 0
600.001556, 9.999593, 3830, 3830, 0
601.028928, 1.027372, 647, 647, 0
