elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000862, 10.000862, 1522, 4610, 75963.1, 42665, 278312, 402223, 495022, 557930, 0
20.001674, 10.000812, 1532, 4415, 74867.0, 41063, 280742, 472295, 593163, 604414, 0
30.001844, 10.00017, 1187, 3838, 112209.0, 34138, 439906, 1604392, 2523736, 2532675, 0
40.001683, 9.999839, 1034, 3518, 148794.7, 25730, 988493, 2306659, 4008275, 4078767, 0
50.001734, 10.000051, 1550, 3395, 79054.7, 34636, 301521, 554953, 762994, 827672, 0
60.001758, 10.000024, 1423, 4632, 80538.6, 35475, 295638, 642908, 1084740, 1173417, 0
70.001745, 9.999987, 742, 3393, 171596.5, 17648, 1054408, 1833436, 4434511, 4714392, 0
80.001796, 10.000051, 1134, 3146, 160740.8, 26277, 807451, 3158228, 4677565, 4714392, 0
90.001747, 9.999951, 1440, 3939, 86101.9, 41763, 330372, 545709, 1406393, 1428624, 0
100.006674, 10.004927, 1211, 4002, 110639.7, 28082, 502340, 1549504, 2195518, 2276706, 0
110.002042, 9.995368, 840, 3546, 132754.8, 19594, 681483, 2110240, 4151152, 4403928, 0
120.00185, 9.999808, 1546, 2987, 98892.5, 31836, 287777, 1215154, 3834395, 3972152, 0
130.001741, 9.999891, 1341, 3779, 94216.3, 28848, 462393, 908069, 1772128, 1863182, 0
140.004812, 10.003071, 1025, 3902, 130041.9, 23544, 837146, 2024615, 2891678, 3837651, 0
150.001731, 9.996919, 1251, 3779, 135175.7, 39264, 403861, 2346255, 3628476, 3837651, 0
160.001666, 9.999935, 1377, 4131, 91766.4, 37450, 409140, 857021, 2240660, 2724451, 0
170.001752, 10.000086, 1293, 3279, 93217.3, 23153, 590255, 1123897, 1656970, 1812622, 0
180.001853, 10.000101, 1212, 4056, 115719.2, 28570, 484953, 1887031, 2730146, 2909084, 0
190.001947, 10.000094, 1413, 3579, 80173.3, 39988, 311902, 563899, 784888, 912214, 0
200.00167, 9.999723, 1125, 3688, 127027.6, 25054, 769516, 1480038, 1739735, 1781079, 0
210.001668, 9.999998, 931, 4015, 150665.6, 21597, 732411, 3386000, 3744311, 4116579, 0
220.001679, 10.000011, 1413, 4420, 85960.0, 46216, 300729, 511275, 776082, 788449, 0
230.001801, 10.000122, 1149, 3307, 107302.2, 26047, 628636, 1190746, 1665285, 2562297, 0
240.001663, 9.999862, 1255, 3414, 108533.0, 25726, 525358, 1273414, 2402068, 2562297, 0
250.001702, 10.000039, 1383, 3929, 99535.8, 40303, 410275, 768466, 1728508, 2151475, 0
260.00202, 10.000318, 1284, 3829, 102886.0, 32856, 511232, 1173380, 1588316, 2518140, 0
270.001765, 9.999745, 1289, 3724, 96206.9, 27129, 488636, 1333053, 1808471, 2495667, 0
280.001915, 10.00015, 1351, 4346, 90541.3, 30772, 377661, 955120, 1422988, 1674350, 0
290.001668, 9.999753, 1316, 3869, 83762.0, 34958, 373853, 640318, 1290376, 1325088, 0
300.001665, 9.999997, 1034, 3633, 122070.8, 20549, 623665, 1800367, 3799952, 4062017, 0
310.001675, 10.00001, 1387, 4396, 97837.3, 37152, 380962, 1097006, 1600525, 1603064, 0
320.001762, 10.000087, 1235, 4374, 92399.2, 37841, 378945, 640744, 2201659, 2231785, 0
330.0018, 10.000038, 1212, 2966, 121375.4, 24262, 623341, 1623344, 2450615, 2469433, 0
340.001888, 10.000088, 1377, 4018, 96237.0, 31687, 413318, 1085774, 1753424, 1795538, 0
350.004886, 10.002998, 1423, 4307, 82272.7, 38974, 328672, 599389, 740568, 778547, 0
360.001675, 9.996789, 1325, 4840, 99008.4, 34260, 457850, 1025473, 1757762, 1761052, 0
370.001772, 10.000097, 1368, 4362, 96124.8, 31398, 414910, 1086679, 1775867, 2049627, 0
380.002609, 10.000837, 1429, 5714, 83521.8, 39948, 299181, 621416, 970889, 1025444, 0
