elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001015, 10.001015, 575, 3424, 211505.2, 239645, 425929, 540469, 664286, 761619, 0
20.001762, 10.000747, 658, 3649, 206340.4, 242107, 372324, 502572, 664286, 673140, 0
30.001747, 9.999985, 624, 3737, 219784.3, 253385, 367626, 496042, 594414, 630555, 0
40.00175, 10.000003, 485, 3823, 301609.9, 182448, 1261572, 2052303, 3519882, 5947080, 0
50.001971, 10.000221, 665, 3500, 199758.3, 235313, 348752, 471770, 543143, 564897, 0
60.001794, 9.999823, 671, 3126, 196720.5, 236867, 355451, 473801, 669673, 822033, 0
70.003824, 10.00203, 590, 3836, 249594.7, 244016, 780088, 1551291, 2238411, 2542715, 0
80.00377, 9.999946, 636, 2753, 224663.7, 236635, 437404, 1149960, 2542715, 2747541, 0
90.00199, 9.99822, 649, 3660, 210333.1, 259393, 350036, 557234, 630394, 643074, 0
100.001794, 9.999804, 672, 3468, 196165.2, 229198, 393939, 788667, 1161406, 1187872, 0
110.001875, 10.000081, 611, 3550, 220346.9, 143424, 892512, 1446659, 2234062, 3365582, 0
120.001744, 9.999869, 755, 3381, 177437.8, 228788, 358160, 482749, 733678, 925140, 0
130.001876, 10.000132, 788, 3452, 169299.5, 186041, 411022, 658546, 772565, 1165905, 0
140.001955, 10.000079, 524, 3320, 223228.7, 159657, 820022, 1637247, 1919033, 1923374, 0
150.001947, 9.999992, 704, 3516, 237650.2, 252488, 489187, 2389624, 3947754, 4475812, 0
160.001963, 10.000016, 828, 3467, 171323.7, 217828, 373754, 444398, 627657, 741596, 0
170.001744, 9.999781, 782, 3536, 175288.4, 178705, 443106, 875403, 1107956, 1172525, 0
180.001967, 10.000223, 637, 3513, 219894.0, 55746, 1161678, 1888619, 2246335, 2312851, 0
190.001872, 9.999905, 790, 3248, 175838.5, 228128, 382476, 478377, 624177, 1007183, 0
200.001771, 9.999899, 805, 3510, 158007.1, 183810, 398523, 686173, 1008407, 1012380, 0
210.001787, 10.000016, 756, 3583, 174649.5, 43346, 543597, 1099746, 1704008, 2653184, 0
220.001746, 9.999959, 852, 3593, 179332.6, 129066, 457909, 1519158, 2790608, 2791197, 0
230.001804, 10.000058, 801, 3488, 162256.1, 183343, 373285, 559274, 849713, 894700, 0
240.00214, 10.000336, 789, 3332, 166502.4, 144029, 481404, 945141, 1081763, 1160323, 0
250.000747, 9.998607, 743, 3644, 177933.6, 43295, 762797, 1680884, 2782555, 2794714, 0
260.001794, 10.001047, 858, 3102, 146378.9, 100674, 416298, 600851, 996090, 1066109, 0
270.013099, 10.011305, 853, 3149, 139349.4, 19503, 457993, 1019202, 1719827, 1774672, 0
