elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000761, 10.000761, 651, 1560, 18274.9, 9331, 63980, 124238, 195902, 205654, 0
20.001823, 10.001062, 699, 1440, 14338.4, 7513, 46784, 97029, 176254, 318733, 0
30.001771, 9.999948, 659, 1350, 12209.6, 7263, 32799, 93584, 141832, 192397, 0
40.001811, 10.00004, 402, 1483, 22765.6, 6897, 57093, 444636, 947240, 947240, 0
50.004753, 10.002942, 624, 1674, 18175.3, 8515, 73218, 139193, 161092, 234580, 0
60.001752, 9.996999, 708, 1478, 14743.7, 7962, 46648, 103137, 147071, 256672, 0
70.002114, 10.000362, 667, 1590, 15749.8, 7763, 47495, 143926, 372813, 412379, 0
80.002837, 10.000723, 678, 1646, 15993.2, 7099, 50633, 112984, 597082, 601707, 0
90.008232, 10.005395, 715, 1542, 14220.4, 7921, 45062, 105314, 264514, 279265, 0
100.000774, 9.992542, 707, 1548, 17020.3, 8805, 56439, 137604, 174238, 642869, 0
110.001688, 10.000914, 616, 1463, 21973.8, 7367, 83651, 303025, 703711, 808611, 0
120.001743, 10.000055, 691, 1605, 13813.8, 7589, 42006, 130001, 329621, 465139, 0
130.001859, 10.000116, 796, 1468, 17117.8, 8345, 61717, 127801, 233745, 236961, 0
140.001714, 9.999855, 536, 1411, 25468.5, 7526, 106770, 311082, 774187, 801191, 0
150.00173, 10.000016, 691, 1579, 30984.2, 9141, 88198, 317561, 1317717, 1829352, 0
160.00169, 9.99996, 817, 1567, 18330.2, 9797, 70901, 158239, 188287, 245917, 0
170.00169, 10.0, 744, 1398, 19922.0, 9569, 74607, 207710, 333701, 887119, 0
180.00195, 10.00026, 634, 1540, 17462.7, 6327, 46317, 249795, 676903, 758668, 0
190.001808, 9.999858, 879, 1620, 13589.0, 8770, 39187, 100625, 178516, 184338, 0
200.001875, 10.000067, 795, 1365, 20146.5, 9770, 89793, 160286, 377285, 409719, 0
210.001711, 9.999836, 668, 1534, 14119.4, 8789, 30400, 56035, 534332, 687069, 0
220.002275, 10.000564, 839, 1440, 16732.8, 8462, 58344, 158287, 273579, 325050, 0
230.000742, 9.998467, 810, 1684, 15946.0, 8782, 49641, 166519, 268429, 299044, 0
240.004998, 10.004256, 813, 1542, 21270.4, 8905, 84476, 189700, 641847, 676112, 0
250.001743, 9.996745, 720, 1435, 20656.3, 8943, 63128, 251777, 586669, 646918, 0
260.001741, 9.999998, 922, 1582, 20502.1, 9441, 86938, 158891, 308284, 311242, 0
270.001685, 9.999944, 902, 1303, 20969.0, 8920, 93780, 213172, 272970, 275898, 0
280.00183, 10.000145, 632, 1347, 20303.5, 8197, 58108, 267654, 735622, 1024559, 0
290.001746, 9.999916, 790, 1497, 20639.6, 7042, 84648, 248237, 376481, 441588, 0
300.002277, 10.000531, 889, 1295, 17513.8, 8871, 61734, 139992, 588230, 622346, 0
310.000692, 9.998415, 868, 1623, 19391.1, 8707, 71293, 234825, 588230, 622346, 0
320.001703, 10.001011, 814, 1636, 19938.4, 7902, 82131, 224169, 416149, 493787, 0
330.001737, 10.000034, 931, 1480, 17601.0, 8646, 68043, 159448, 264789, 390980, 0
340.004749, 10.003012, 926, 1501, 25845.8, 9269, 118877, 208565, 700814, 835458, 0
350.001841, 9.997092, 742, 1757, 27163.1, 7940, 97023, 308512, 961412, 995158, 0
360.001757, 9.999916, 941, 1481, 14677.8, 8440, 50720, 126397, 233725, 235795, 0
370.001726, 9.999969, 778, 1496, 16689.9, 9105, 48986, 117423, 972637, 1040483, 0
380.001748, 10.000022, 774, 1641, 15085.0, 7533, 52061, 135762, 415886, 425077, 0
390.001686, 9.999938, 1000, 1482, 18456.1, 8751, 66135, 203918, 452740, 467329, 0
400.001767, 10.000081, 1032, 1480, 16113.0, 8375, 56253, 157950, 276171, 321646, 0
410.004693, 10.002926, 992, 1414, 16228.9, 7887, 60782, 150062, 423219, 469332, 0
420.001687, 9.996994, 788, 1803, 13728.5, 7626, 38455, 131720, 300698, 672429, 0
430.001939, 10.000252, 1001, 1564, 19410.7, 9318, 82269, 146706, 388843, 401813, 0
440.001706, 9.999767, 1025, 1621, 19875.4, 8196, 78402, 207562, 388843, 401813, 0
