elapsed, window, total, successful, failed
10.000761, 10.000761, 1889, 1889, 0
20.001823, 10.001062, 2036, 2036, 0
30.001771, 9.999948, 1943, 1943, 0
40.001811, 10.00004, 1297, 1297, 0
50.004753, 10.002942, 1951, 1951, 0
60.001752, 9.996999, 2003, 2003, 0
70.002114, 10.000362, 1847, 1847, 0
80.002837, 10.000723, 1967, 1967, 0
90.008232, 10.005395, 2108, 2108, 0
100.000774, 9.992542, 2038, 2038, 0
110.001688, 10.000914, 1795, 1795, 0
120.001743, 10.000055, 2176, 2176, 0
130.001859, 10.000116, 2348, 2348, 0
140.001714, 9.999855, 1598, 1598, 0
150.00173, 10.000016, 2119, 2119, 0
160.00169, 9.99996, 2424, 2424, 0
170.00169, 10.0, 2207, 2207, 0
180.00195, 10.00026, 1850, 1850, 0
190.001808, 9.999858, 2520, 2520, 0
200.001875, 10.000067, 2414, 2414, 0
210.001711, 9.999836, 2029, 2029, 0
220.002275, 10.000564, 2563, 2563, 0
230.000742, 9.998467, 2448, 2448, 0
240.004998, 10.004256, 2419, 2419, 0
250.001743, 9.996745, 2249, 2249, 0
260.001741, 9.999998, 2715, 2715, 0
270.001685, 9.999944, 2622, 2622, 0
280.00183, 10.000145, 1961, 1961, 0
290.001746, 9.999916, 2386, 2386, 0
300.002277, 10.000531, 2702, 2702, 0
310.000692, 9.998415, 2609, 2609, 0
320.001703, 10.001011, 2329, 2329, 0
330.001737, 10.000034, 2764, 2764, 0
340.004749, 10.003012, 2718, 2718, 0
350.001841, 9.997092, 2187, 2187, 0
360.001757, 9.999916, 2894, 2894, 0
370.001726, 9.999969, 2404, 2404, 0
380.001748, 10.000022, 2349, 2349, 0
390.001686, 9.999938, 3023, 3023, 0
400.001767, 10.000081, 3109, 3109, 0
410.004693, 10.002926, 3037, 3037, 0
420.001687, 9.996994, 2440, 2440, 0
430.001939, 10.000252, 2998, 2998, 0
440.001706, 9.999767, 2982, 2982, 0
450.001739, 10.000033, 2342, 2342, 0
460.004928, 10.003189, 3034, 3034, 0
470.002094, 9.997166, 3310, 3310, 0
480.000699, 9.998605, 2536, 2536, 0
490.003642, 10.002943, 3059, 3059, 0
500.000726, 9.997084, 3228, 3228, 0
510.00189, 10.001164, 3188, 3188, 0
520.001706, 9.999816, 2957, 2957, 0
530.001744, 10.000038, 3368, 3368, 0
540.001688, 9.999944, 3068, 3068, 0
550.001745, 10.000057, 3052, 3052, 0
560.001686, 9.999941, 3516, 3516, 0
570.001954, 10.000268, 3380, 3380, 0
580.001689, 9.999735, 3012, 3012, 0
590.001845, 10.000156, 3286, 3286, 0
600.001876, 10.000031, 3683, 3683, 0
601.036317, 1.034441, 638, 638, 0
