elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000761, 10.000761, 661, 6422, 236365.8, 258188, 441160, 550154, 633281, 779514, 0
20.001823, 10.001062, 668, 5933, 231790.1, 259361, 407478, 532662, 712494, 740532, 0
30.001771, 9.999948, 671, 5281, 232279.8, 270202, 391433, 552356, 644218, 712494, 0
40.001811, 10.00004, 419, 5888, 344314.6, 230352, 1140976, 2261721, 3142463, 3142463, 0
50.004753, 10.002942, 662, 6083, 227644.2, 258441, 419969, 544057, 640119, 800335, 0
60.001752, 9.996999, 654, 5983, 242488.4, 274570, 436960, 591375, 865832, 930477, 0
70.002114, 10.000362, 578, 5639, 235612.8, 246066, 630694, 1468679, 1657732, 2369340, 0
80.002837, 10.000723, 645, 6420, 253523.9, 258669, 538705, 1532042, 2610585, 2709784, 0
90.008232, 10.005395, 713, 5100, 223006.0, 268206, 410901, 615147, 713366, 780899, 0
100.000774, 9.992542, 684, 6242, 229479.4, 255251, 494397, 828415, 1184385, 1203942, 0
110.001688, 10.000914, 590, 5643, 260304.2, 200916, 899903, 2007567, 3549726, 4393760, 0
120.001743, 10.000055, 729, 5620, 205528.4, 252756, 459933, 722639, 928507, 974325, 0
130.001859, 10.000116, 771, 5084, 192556.4, 211896, 451650, 640353, 759196, 1102946, 0
140.001714, 9.999855, 545, 5399, 233074.2, 154976, 768608, 1686788, 1880027, 2052267, 0
150.00173, 10.000016, 679, 5450, 225827.1, 268357, 510167, 1117883, 3523647, 4189927, 0
160.00169, 9.99996, 781, 5962, 184538.4, 239140, 432092, 520824, 596807, 801835, 0
170.00169, 10.0, 753, 6202, 200686.9, 205056, 518386, 992437, 1257920, 1325435, 0
180.00195, 10.00026, 604, 5451, 251698.4, 79066, 1206489, 2057783, 2290162, 3085858, 0
190.001808, 9.999858, 812, 4832, 187418.3, 247520, 387249, 553963, 1078033, 1452127, 0
200.001875, 10.000067, 823, 5930, 186591.0, 203509, 516918, 768182, 904947, 987469, 0
210.001711, 9.999836, 683, 5821, 197442.0, 240641, 495128, 1150217, 2063454, 2225252, 0
220.002275, 10.000564, 837, 5467, 192357.5, 140483, 474795, 1443646, 3084465, 3085164, 0
230.000742, 9.998467, 829, 5661, 180992.5, 218459, 437723, 612835, 762690, 1039993, 0
