elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000278, 10.000278, 4300, 6065, 35141.5, 29286, 52503, 170262, 853621, 952153, 0
20.009247, 10.008969, 4488, 6398, 32813.5, 31658, 52006, 63689, 150118, 186572, 0
30.001251, 9.992004, 4175, 8221, 35896.5, 34784, 56045, 68405, 84896, 136383, 0
40.001316, 10.000065, 2882, 6895, 47315.9, 33999, 58761, 582986, 1182225, 1309974, 0
50.001462, 10.000146, 4275, 6728, 35556.0, 34537, 54931, 65009, 75911, 146789, 0
60.001247, 9.999785, 4230, 8375, 35570.4, 34461, 55516, 65394, 80152, 97263, 0
70.001369, 10.000122, 2996, 5112, 45952.3, 33200, 60698, 471461, 1096640, 1607118, 0
80.00212, 10.000751, 4268, 7258, 35591.3, 33448, 53640, 83805, 374145, 452284, 0
90.000406, 9.998286, 4196, 8452, 35808.2, 35055, 55374, 63958, 78979, 88814, 0
100.001383, 10.000977, 3521, 5611, 41080.6, 35516, 59979, 254659, 767425, 824521, 0
110.001236, 9.999853, 3614, 6336, 41947.3, 35635, 62141, 250860, 767425, 824521, 0
120.00161, 10.000374, 3918, 7900, 37491.3, 36182, 57452, 69006, 146042, 168685, 0
130.001517, 9.999907, 3897, 5691, 37908.0, 36237, 58168, 71256, 237823, 318988, 0
140.001293, 9.999776, 3603, 5691, 40636.4, 35968, 61743, 208882, 627619, 701839, 0
150.001689, 10.000396, 3885, 10431, 37933.0, 36819, 57522, 68459, 95160, 124481, 0
160.0093, 10.007611, 3743, 9006, 39635.5, 38023, 61245, 75215, 159415, 210412, 0
170.009482, 10.000182, 3159, 5920, 43794.1, 38028, 64294, 263759, 659065, 798969, 0
180.001804, 9.992322, 3791, 9274, 39765.6, 38575, 60763, 72982, 115950, 176140, 0
190.001436, 9.999632, 3926, 9506, 38889.3, 37349, 60583, 73063, 180716, 213482, 0
200.004403, 10.002967, 3412, 6817, 42054.0, 38353, 64709, 163701, 371827, 439092, 0
210.002193, 9.99779, 3310, 7799, 44478.8, 37555, 61475, 101828, 1458394, 1482500, 0
220.001254, 9.999061, 3679, 7799, 40712.1, 39464, 63082, 75185, 94256, 105095, 0
230.001301, 10.000047, 3275, 5932, 43861.6, 40756, 68104, 139818, 330878, 658055, 0
240.001301, 10.0, 3469, 7336, 42780.0, 38916, 62880, 165607, 435535, 466385, 0
250.00512, 10.003819, 3692, 8801, 40622.1, 39113, 63508, 78161, 158996, 208157, 0
260.001306, 9.996186, 3455, 9059, 43545.7, 40988, 67763, 92513, 316754, 391683, 0
270.006039, 10.004733, 3076, 8058, 47315.2, 42906, 71933, 212941, 434168, 597886, 0
280.001358, 9.995319, 3468, 7245, 42797.2, 40957, 66567, 83858, 259219, 463392, 0
290.002567, 10.001209, 3336, 11033, 43907.1, 42114, 70797, 83909, 113139, 125312, 0
300.002429, 9.999862, 3141, 10305, 47300.6, 44860, 74250, 103587, 244255, 291831, 0
310.002596, 10.000167, 3161, 7322, 46389.2, 42495, 73457, 103587, 455015, 485381, 0
320.001625, 9.999029, 3662, 10410, 41714.2, 40098, 65562, 81380, 165030, 207859, 0
330.002375, 10.00075, 3608, 7641, 42390.8, 40520, 65614, 88879, 197863, 257309, 0
340.00338, 10.001005, 3524, 8190, 43275.8, 40345, 68689, 128919, 263433, 329381, 0
350.002878, 9.999498, 3563, 8311, 41683.6, 39261, 64305, 87669, 401651, 577183, 0
360.002236, 9.999358, 3553, 10163, 41490.4, 38970, 65099, 107839, 199926, 221470, 0
370.002456, 10.00022, 3324, 8142, 44606.8, 42112, 68932, 115007, 287306, 423866, 0
380.001632, 9.999176, 3544, 11064, 42902.8, 41016, 68072, 84824, 150582, 180213, 0
390.001343, 9.999711, 3610, 10541, 42734.7, 40859, 67154, 79636, 169519, 251775, 0
