elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00122, 10.00122, 5060, 1387, 10531.6, 9708, 21351, 27805, 36296, 48771, 0
20.001211, 9.999991, 5056, 1374, 11106.8, 10344, 22366, 28803, 96744, 140053, 0
30.001373, 10.000162, 4769, 1483, 11753.6, 11235, 23040, 30411, 45743, 92110, 0
40.001247, 9.999874, 3342, 1642, 19856.4, 11237, 25772, 280636, 1091818, 1272843, 0
50.002088, 10.000841, 4680, 1642, 12166.5, 11584, 23250, 30305, 40652, 125923, 0
60.000539, 9.998451, 4688, 1706, 12800.9, 12075, 24975, 31379, 40652, 158749, 0
70.005217, 10.004678, 3146, 1567, 21344.5, 11787, 26593, 351024, 1062241, 1560276, 0
80.009034, 10.003817, 4177, 2009, 13879.7, 13007, 26282, 34511, 98488, 117984, 0
90.001414, 9.99238, 4210, 2083, 13714.0, 13057, 26244, 33779, 45846, 79533, 0
100.002485, 10.001071, 3366, 2092, 18160.1, 12531, 28317, 237418, 539806, 681810, 0
110.001516, 9.999031, 3979, 1547, 15850.1, 13368, 27435, 40911, 405642, 699375, 0
120.009015, 10.007499, 4109, 2327, 15031.0, 14210, 27996, 35033, 121632, 141825, 0
130.001354, 9.992339, 3860, 1778, 15201.2, 13345, 27582, 43012, 375079, 582967, 0
140.005037, 10.003683, 4041, 1835, 15744.5, 13715, 27873, 56004, 240610, 512922, 0
150.009334, 10.004297, 3888, 2262, 15013.2, 14357, 28167, 35750, 63700, 75268, 0
160.004989, 9.995655, 4058, 1971, 15156.1, 14315, 28264, 37684, 107618, 231925, 0
170.001426, 9.996437, 3429, 2226, 18309.6, 14215, 28640, 128438, 567934, 625986, 0
180.009134, 10.007708, 4103, 2182, 14670.0, 14058, 26731, 34888, 64556, 107838, 0
190.000387, 9.991253, 3891, 2182, 15398.8, 14264, 28428, 37548, 197909, 227306, 0
200.001276, 10.000889, 3184, 2304, 17587.7, 14568, 30229, 115594, 325192, 465241, 0
210.009094, 10.007818, 3508, 2410, 18970.9, 15536, 28957, 36799, 1321451, 1445395, 0
220.001806, 9.992712, 3853, 2138, 15256.7, 14726, 28228, 35510, 57569, 203838, 0
230.001521, 9.999715, 3440, 2098, 17902.4, 14954, 29324, 84489, 395034, 589162, 0
240.001958, 10.000437, 3472, 2964, 17489.4, 16306, 30495, 41986, 252467, 388393, 0
250.001672, 9.999714, 3739, 1988, 15764.3, 15231, 28345, 35137, 62393, 136166, 0
260.001428, 9.999756, 3687, 2477, 16590.6, 15419, 29574, 41083, 181121, 323483, 0
270.001368, 9.99994, 3312, 2477, 18371.3, 16214, 30861, 54346, 353793, 474643, 0
280.001749, 10.000381, 3359, 2518, 18374.6, 17070, 31719, 42215, 321383, 436179, 0
290.001493, 9.999744, 3535, 2185, 17345.7, 16796, 30782, 38541, 55152, 64631, 0
300.001463, 9.99997, 3427, 2897, 17800.7, 15933, 30445, 43709, 352082, 463485, 0
310.001452, 9.999989, 3640, 2555, 16243.5, 15702, 28949, 37684, 71437, 90027, 0
320.001354, 9.999902, 3661, 2050, 16335.8, 15532, 28981, 39262, 121208, 227861, 0
330.002989, 10.001635, 3660, 2789, 16650.1, 15581, 30209, 41421, 105565, 223277, 0
340.002556, 9.999567, 3435, 2591, 17420.0, 15669, 31008, 49841, 274769, 540423, 0
350.001646, 9.99909, 3312, 3074, 18820.7, 17273, 32925, 44482, 210781, 540423, 0
360.003407, 10.001761, 3526, 2723, 17434.3, 16060, 30541, 40717, 162206, 259946, 0
370.003338, 9.999931, 3331, 2467, 17812.1, 16004, 32600, 44976, 218318, 419575, 0
380.006657, 10.003319, 3641, 3258, 17436.9, 16151, 32665, 44781, 109172, 166229, 0
390.002711, 9.996054, 3411, 2666, 17976.9, 16531, 33566, 42916, 80165, 186469, 0
400.002302, 9.999591, 2927, 3587, 20285.2, 17809, 35632, 53804, 311701, 339610, 0
410.001598, 9.999296, 3312, 3450, 18552.1, 17261, 33927, 43833, 88885, 142899, 0
420.001585, 9.999987, 3178, 3171, 19176.7, 17610, 35715, 44960, 99529, 142899, 0
430.001398, 9.999813, 3116, 2584, 19892.4, 17870, 35996, 54361, 184601, 289483, 0
440.002208, 10.00081, 3178, 3329, 19400.9, 18089, 34665, 44856, 184601, 194630, 0
450.001373, 9.999165, 3457, 3000, 17954.1, 16594, 33000, 41475, 69224, 266927, 0
460.001451, 10.000078, 3201, 3894, 19219.5, 17375, 34555, 46246, 195425, 256192, 0
470.001678, 10.000227, 3360, 3488, 18169.4, 16512, 33476, 43210, 184926, 284518, 0
480.001453, 9.999775, 3277, 3836, 19021.4, 17399, 35450, 44901, 127087, 146040, 0
490.001538, 10.000085, 3416, 3440, 17989.4, 16448, 32876, 44609, 126760, 254808, 0
500.001441, 9.999903, 3212, 2801, 18709.6, 16520, 34043, 49281, 251837, 293531, 0
510.001758, 10.000317, 3558, 3054, 17550.3, 16229, 32409, 42342, 75514, 142778, 0
520.001968, 10.00021, 3110, 3564, 19802.3, 17501, 39059, 50671, 101332, 215923, 0
530.002065, 10.000097, 3089, 3037, 19314.9, 17510, 36193, 50644, 132934, 279062, 0
540.003221, 10.001156, 3339, 2631, 18871.2, 16706, 34270, 48699, 316125, 383358, 0
550.001327, 9.998106, 3305, 3306, 18126.0, 16733, 32456, 45457, 89657, 159923, 0
560.001495, 10.000168, 3331, 3268, 19099.4, 17444, 35275, 48607, 85315, 138883, 0
570.00127, 9.999775, 3225, 3460, 18886.3, 17087, 34653, 47325, 172021, 352841, 0
580.002249, 10.000979, 3260, 3122, 18476.4, 17182, 32618, 46157, 99675, 147566, 0
590.001454, 9.999205, 3380, 3854, 18347.0, 17037, 32679, 45330, 114357, 210227, 0
600.001354, 9.9999, 3144, 3383, 19275.8, 17614, 36095, 47636, 113498, 196943, 0
601.025108, 1.023754, 390, 3383, 19155.5, 17431, 36003, 48507, 122584, 213187, 0
