elapsed, window, total, successful, failed
10.000399, 10.000399, 13266, 13266, 0
20.001457, 10.001058, 14863, 14863, 0
30.001441, 9.999984, 13765, 13765, 0
40.001347, 9.999906, 8651, 8651, 0
50.001345, 9.999998, 12881, 12881, 0
60.001805, 10.00046, 12802, 12802, 0
70.005109, 10.003304, 8812, 8812, 0
80.005145, 10.000036, 12893, 12893, 0
90.000962, 9.995817, 12409, 12409, 0
100.001316, 10.000354, 9274, 9274, 0
110.005435, 10.004119, 10376, 10376, 0
120.001276, 9.995841, 12630, 12630, 0
130.000309, 9.999033, 11028, 11028, 0
140.001434, 10.001125, 10166, 10166, 0
150.001507, 10.000073, 11589, 11589, 0
160.005197, 10.00369, 10455, 10455, 0
170.001046, 9.995849, 9601, 9601, 0
180.0014, 10.000354, 11327, 11327, 0
190.002298, 10.000898, 10850, 10850, 0
200.001402, 9.999104, 9971, 9971, 0
210.001638, 10.000236, 10608, 10608, 0
220.001541, 9.999903, 10663, 10663, 0
230.001401, 9.99986, 9230, 9230, 0
240.002904, 10.001503, 10014, 10014, 0
250.005168, 10.002264, 9545, 9545, 0
260.000549, 9.995381, 9554, 9554, 0
270.001625, 10.001076, 10045, 10045, 0
280.001802, 10.000177, 9714, 9714, 0
290.005729, 10.003927, 10276, 10276, 0
300.013777, 10.008048, 9900, 9900, 0
310.009227, 9.99545, 10386, 10386, 0
320.000988, 9.991761, 10107, 10107, 0
330.005257, 10.004269, 10260, 10260, 0
340.005136, 9.999879, 10691, 10691, 0
350.002044, 9.996908, 9951, 9951, 0
360.000634, 9.99859, 9041, 9041, 0
370.001499, 10.000865, 10027, 10027, 0
380.00328, 10.001781, 10092, 10092, 0
390.001386, 9.998106, 6543, 6543, 0
400.001968, 10.000582, 9606, 9606, 0
410.001897, 9.999929, 10509, 10509, 0
420.009277, 10.00738, 9711, 9711, 0
430.001608, 9.992331, 9580, 9580, 0
440.00157, 9.999962, 9026, 9026, 0
450.001765, 10.000195, 8422, 8422, 0
460.001533, 9.999768, 9239, 9239, 0
470.002968, 10.001435, 9988, 9988, 0
480.003622, 10.000654, 8707, 8707, 0
490.001949, 9.998327, 8768, 8768, 0
500.009302, 10.007353, 9541, 9541, 0
510.001517, 9.992215, 9708, 9708, 0
520.001835, 10.000318, 8441, 8441, 0
530.001387, 9.999552, 8401, 8401, 0
540.001447, 10.00006, 9174, 9174, 0
550.002074, 10.000627, 8879, 8879, 0
560.001314, 9.99924, 8726, 8726, 0
570.002003, 10.000689, 7779, 7779, 0
580.004181, 10.002178, 8297, 8297, 0
590.000447, 9.996266, 9145, 9145, 0
600.002117, 10.00167, 8098, 8098, 0
601.037749, 1.035632, 988, 988, 0
