elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001628, 10.001628, 4367, 3171, 24402.8, 17736, 34604, 81919, 1407757, 1836255, 0
20.008001, 10.006373, 5082, 3868, 19757.3, 18638, 34270, 45606, 65967, 147726, 0
30.001196, 9.993195, 4965, 3974, 19921.8, 18885, 35060, 43958, 55448, 71079, 0
40.001322, 10.000126, 2252, 3504, 47277.0, 17708, 39477, 1179120, 2206649, 2253233, 0
50.001484, 10.000162, 4754, 3736, 20746.7, 19456, 35190, 44529, 73626, 1284196, 0
60.003783, 10.002299, 4683, 4565, 21050.6, 20005, 36134, 45660, 60300, 72931, 0
70.00125, 9.997467, 2145, 2610, 41791.2, 18283, 38242, 921261, 2334233, 2674004, 0
80.00787, 10.00662, 4159, 3735, 31991.6, 20131, 38681, 115027, 2283592, 2919042, 0
90.001817, 9.993947, 4659, 3834, 21418.1, 20068, 37086, 47449, 87843, 113977, 0
100.00136, 9.999543, 2997, 3110, 35801.7, 18152, 40474, 726928, 1295319, 1332918, 0
110.001382, 10.000022, 4047, 3110, 29734.9, 20087, 40735, 243073, 1520351, 1787211, 0
120.001448, 10.000066, 4410, 4261, 22020.5, 20714, 37331, 45780, 71012, 93972, 0
130.001198, 9.99975, 3376, 3307, 28787.4, 19693, 40505, 405325, 771212, 1058289, 0
140.00135, 10.000152, 3738, 3416, 28614.6, 20662, 40187, 317053, 1058289, 1367427, 0
150.00164, 10.00029, 4359, 4377, 22677.2, 21259, 37935, 48362, 269385, 339739, 0
160.002359, 10.000719, 3529, 4124, 29312.9, 21521, 41635, 370115, 614282, 778281, 0
170.002443, 10.000084, 3950, 4246, 26376.9, 20519, 39590, 248094, 526330, 778281, 0
180.001418, 9.998975, 4364, 4300, 22119.3, 20870, 38110, 49724, 182693, 376342, 0
190.007929, 10.006511, 3590, 4026, 27266.7, 21462, 40675, 194605, 728011, 939967, 0
200.001753, 9.993824, 3680, 4399, 28652.8, 21127, 40855, 341984, 670397, 939967, 0
210.003814, 10.002061, 3952, 5189, 24810.9, 23103, 41601, 55178, 357810, 459368, 0
220.00172, 9.997906, 3782, 3853, 25719.4, 22101, 40901, 73423, 574327, 929750, 0
230.003926, 10.002206, 3416, 3834, 30604.5, 21482, 44015, 357504, 833619, 929750, 0
240.002312, 9.998386, 3954, 4057, 24322.5, 22790, 41268, 54684, 226291, 318239, 0
250.001876, 9.999564, 3618, 4549, 25924.2, 23072, 42635, 79131, 403358, 650594, 0
260.008556, 10.00668, 3535, 3755, 28944.5, 22781, 43332, 224354, 676912, 761571, 0
270.003912, 9.995356, 3663, 4568, 27931.4, 23744, 42914, 86310, 553886, 625351, 0
280.001406, 9.997494, 3742, 4592, 25609.1, 22974, 42139, 62244, 484523, 849336, 0
290.001671, 10.000265, 3625, 4476, 27666.3, 22499, 42671, 217799, 512847, 682714, 0
300.001331, 9.99966, 3948, 5533, 24750.7, 22044, 40387, 56739, 437583, 541372, 0
301.28091, 1.279579, 537, 5533, 23458.7, 21621, 39728, 52000, 370730, 478702, 0
