elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000879, 10.000879, 3639, 4010, 26502.8, 22408, 40295, 118426, 526357, 977439, 0
20.002076, 10.001197, 3907, 4924, 24662.3, 23562, 40601, 51915, 81765, 133030, 0
30.002257, 10.000181, 3898, 4460, 25442.5, 24517, 41929, 52015, 66729, 88547, 0
40.00121, 9.998953, 1782, 3739, 62307.3, 22768, 60893, 1504400, 2416579, 2454471, 0
50.0009, 9.99969, 3508, 5019, 26670.1, 25181, 45221, 60858, 86729, 115382, 0
60.001916, 10.001016, 3753, 4693, 25788.0, 24327, 43070, 54561, 69175, 89063, 0
70.001932, 10.000016, 2044, 3674, 42679.2, 23549, 48164, 727393, 1458483, 1960178, 0
80.002531, 10.000599, 3700, 5256, 28276.5, 24576, 44414, 65043, 273165, 2245313, 0
90.001252, 9.998721, 3561, 5651, 27248.9, 25113, 48869, 66659, 97780, 112183, 0
100.000844, 9.999592, 2552, 4539, 34521.2, 23275, 53959, 450502, 996012, 1250542, 0
110.002051, 10.001207, 3045, 4585, 34760.5, 24398, 45764, 444343, 1626567, 1769396, 0
120.001552, 9.999501, 3502, 3467, 26412.7, 24979, 44657, 54772, 71798, 89012, 0
130.005886, 10.004334, 2880, 3774, 36213.8, 24195, 46285, 353332, 1205576, 1394162, 0
140.002565, 9.996679, 2431, 4324, 41868.5, 23942, 46552, 965262, 1451533, 1693100, 0
150.001995, 9.99943, 3632, 5653, 26171.7, 24597, 42858, 57162, 95632, 115177, 0
160.002058, 10.000063, 3168, 3942, 29657.3, 24264, 44526, 122081, 715905, 890295, 0
170.00104, 9.998982, 2690, 3993, 35247.4, 23059, 44538, 471634, 1400110, 1456266, 0
180.002003, 10.000963, 3541, 4782, 26759.3, 25030, 44867, 59962, 131917, 314369, 0
190.00639, 10.004387, 3158, 4388, 29693.0, 25048, 45957, 75688, 800665, 901683, 0
200.002011, 9.995621, 2447, 3909, 40562.9, 24209, 52032, 480729, 1583244, 1603684, 0
210.001941, 9.99993, 3485, 6855, 26637.8, 24729, 44916, 62675, 123735, 266457, 0
220.002068, 10.000127, 2810, 3469, 31592.5, 24638, 44906, 117172, 1099299, 1195373, 0
