elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001337, 10.001337, 4315, 8984, 35809.1, 34402, 55213, 74670, 135797, 176363, 0
20.001125, 9.999788, 4081, 8200, 37082.7, 35392, 59164, 75006, 152392, 192384, 0
30.001048, 9.999923, 4195, 7319, 35414.1, 34311, 56547, 70360, 101823, 143455, 0
40.001035, 9.999987, 2027, 5468, 52918.3, 29753, 62573, 804579, 2527994, 2732796, 0
50.001058, 10.000023, 4335, 8283, 35145.6, 33251, 59820, 77799, 106171, 121571, 0
60.001084, 10.000026, 4223, 7903, 35211.2, 33407, 58409, 75372, 97595, 126810, 0
70.001053, 9.999969, 2308, 5827, 52326.0, 32430, 64564, 792211, 1914104, 2332719, 0
80.001052, 9.999999, 4139, 8143, 35784.3, 33948, 57988, 79800, 146412, 166675, 0
90.001146, 10.000094, 4047, 8436, 37555.8, 34024, 68297, 104280, 145736, 163603, 0
100.00105, 9.999904, 2204, 5851, 53960.2, 32564, 79674, 908558, 1824918, 1883372, 0
110.00124, 10.00019, 4016, 6545, 40273.5, 34371, 61217, 135176, 786473, 1640001, 0
120.001856, 10.000616, 4156, 6452, 35642.3, 33751, 58466, 74935, 105597, 243999, 0
130.001068, 9.999212, 2544, 6618, 52357.4, 34422, 63139, 1006196, 1446006, 1498792, 0
140.001222, 10.000154, 3207, 6539, 47893.4, 34179, 61628, 450659, 1671805, 1985125, 0
150.001142, 9.99992, 4095, 7908, 36625.4, 34834, 58339, 73546, 105065, 133590, 0
160.001283, 10.000141, 3083, 6692, 46536.2, 37121, 67219, 483287, 831233, 1001461, 0
170.001342, 10.000059, 2922, 5719, 49940.5, 35805, 65053, 623185, 1449080, 1487687, 0
180.001929, 10.000587, 3849, 9129, 38137.3, 36303, 59453, 74523, 148750, 194546, 0
190.001292, 9.999363, 3148, 7948, 43999.3, 37976, 63942, 125373, 912254, 957960, 0
200.00214, 10.000848, 2600, 7337, 53868.0, 37279, 69583, 582899, 1602800, 1671801, 0
210.001089, 9.998949, 3781, 10897, 40257.4, 38794, 61587, 78325, 118420, 190265, 0
220.001645, 10.000556, 2630, 6705, 53489.7, 41149, 70838, 552896, 1269702, 1292987, 0
230.00197, 10.000325, 2904, 6892, 51125.6, 38506, 76787, 489487, 844526, 973631, 0
240.001111, 9.999141, 3562, 9656, 42364.4, 40688, 62328, 78765, 169765, 330186, 0
250.00149, 10.000379, 2513, 8041, 54724.6, 44263, 76837, 446951, 1270801, 1297183, 0
260.002211, 10.000721, 2701, 5712, 51489.9, 40064, 70072, 569910, 745288, 758965, 0
