elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000978, 10.000978, 3807, 2260, 12467.0, 11397, 23687, 31178, 40941, 54753, 0
20.001998, 10.00102, 3846, 1290, 13167.2, 11719, 25853, 34576, 83561, 127933, 0
30.0025, 10.000502, 3737, 1911, 13655.9, 12368, 25909, 35148, 53099, 83561, 0
40.001156, 9.998656, 1791, 1505, 40117.3, 11277, 34795, 1050145, 2135009, 2521780, 0
50.004903, 10.003747, 3777, 2083, 14139.5, 12638, 27764, 38914, 75897, 94396, 0
60.002245, 9.997342, 3548, 2389, 14742.2, 13287, 27885, 38901, 66689, 92068, 0
70.001055, 9.99881, 2006, 1757, 31875.8, 12691, 34264, 629061, 1989161, 2233738, 0
80.009249, 10.008194, 3540, 2687, 15754.3, 14286, 28941, 41780, 70813, 128666, 0
90.001106, 9.991857, 3360, 2006, 16049.7, 14244, 30884, 51338, 87657, 124702, 0
100.008089, 10.006983, 1990, 2088, 38523.1, 12879, 39238, 769106, 1765861, 1823070, 0
110.002244, 9.994155, 3226, 2694, 17214.6, 14545, 29761, 43199, 472888, 518391, 0
120.001962, 9.999718, 3410, 2547, 15890.1, 14559, 29924, 39264, 60896, 98949, 0
130.001875, 9.999913, 2011, 2009, 30712.1, 14176, 34016, 737873, 1340511, 1479067, 0
140.002334, 10.000459, 2993, 2022, 21262.8, 14080, 30620, 47475, 1363648, 2293461, 0
150.001795, 9.999461, 3464, 2255, 16429.1, 14977, 30255, 39755, 62761, 97383, 0
160.001548, 9.999753, 3006, 1825, 20352.0, 14069, 31169, 169702, 670153, 702873, 0
170.001498, 9.99995, 2790, 2246, 21975.1, 14316, 30905, 199640, 1224856, 1396071, 0
180.000926, 9.999428, 3468, 3114, 16134.4, 14825, 28775, 38603, 101996, 151246, 0
190.001994, 10.001068, 2993, 2483, 21048.6, 14838, 30765, 147623, 764854, 859217, 0
200.002616, 10.000622, 2446, 2306, 28154.1, 14467, 33216, 324395, 1476291, 1562417, 0
210.001199, 9.998583, 3485, 2437, 16726.6, 15485, 30261, 41008, 72429, 133928, 0
220.002684, 10.001485, 2696, 2306, 22061.9, 14967, 31785, 81856, 1147560, 1240344, 0
230.00237, 9.999686, 2839, 2377, 22846.2, 15136, 35763, 272237, 662498, 854040, 0
240.001249, 9.998879, 3280, 2561, 17897.2, 16326, 31167, 42922, 193194, 238911, 0
250.000887, 9.999638, 2697, 2325, 24929.3, 15734, 33612, 294674, 1210510, 1391419, 0
260.002062, 10.001175, 2618, 2264, 23257.9, 15495, 32994, 357216, 666223, 713848, 0
270.001392, 9.99933, 3283, 2892, 17098.4, 15880, 30734, 40670, 137819, 225831, 0
280.001306, 9.999914, 3249, 2358, 17572.6, 15504, 29622, 42160, 411940, 521592, 0
