elapsed, window, total, successful, failed
10.000978, 10.000978, 11308, 11308, 0
20.001998, 10.00102, 11215, 11215, 0
30.0025, 10.000502, 11261, 11261, 0
40.001156, 9.998656, 5387, 5387, 0
50.004903, 10.003747, 11154, 11154, 0
60.002245, 9.997342, 10663, 10663, 0
70.001055, 9.99881, 6267, 6267, 0
80.009249, 10.008194, 10480, 10480, 0
90.001106, 9.991857, 10080, 10080, 0
100.008089, 10.006983, 6106, 6106, 0
110.002244, 9.994155, 9880, 9880, 0
120.001962, 9.999718, 10407, 10407, 0
130.001875, 9.999913, 6280, 6280, 0
140.002334, 10.000459, 8885, 8885, 0
150.001795, 9.999461, 10292, 10292, 0
160.001548, 9.999753, 9051, 9051, 0
170.001498, 9.99995, 8301, 8301, 0
180.000926, 9.999428, 10433, 10433, 0
190.001994, 10.001068, 9044, 9044, 0
200.002616, 10.000622, 7389, 7389, 0
210.001199, 9.998583, 10326, 10326, 0
220.002684, 10.001485, 8100, 8100, 0
230.00237, 9.999686, 8575, 8575, 0
240.001249, 9.998879, 9859, 9859, 0
250.000887, 9.999638, 8093, 8093, 0
260.002062, 10.001175, 7827, 7827, 0
270.001392, 9.99933, 10071, 10071, 0
280.001306, 9.999914, 9950, 9950, 0
290.001009, 9.999703, 7455, 7455, 0
300.008193, 10.007184, 9903, 9903, 0
310.000905, 9.992712, 10064, 10064, 0
320.00247, 10.001565, 6995, 6995, 0
330.004168, 10.001698, 9530, 9530, 0
340.001094, 9.996926, 9627, 9627, 0
350.002172, 10.001078, 7640, 7640, 0
360.001721, 9.999549, 9770, 9770, 0
370.001229, 9.999508, 9873, 9873, 0
380.000986, 9.999757, 7731, 7731, 0
390.002375, 10.001389, 8955, 8955, 0
400.001348, 9.998973, 9701, 9701, 0
410.002377, 10.001029, 8114, 8114, 0
420.00429, 10.001913, 8792, 8792, 0
430.002873, 9.998583, 9123, 9123, 0
440.00328, 10.000407, 8380, 8380, 0
450.001166, 9.997886, 8610, 8610, 0
460.001084, 9.999918, 8978, 8978, 0
470.002002, 10.000918, 7954, 7954, 0
480.004313, 10.002311, 8785, 8785, 0
490.000872, 9.996559, 9672, 9672, 0
500.006161, 10.005289, 8201, 8201, 0
510.002281, 9.99612, 9173, 9173, 0
520.00144, 9.999159, 9457, 9457, 0
530.000937, 9.999497, 7539, 7539, 0
540.002016, 10.001079, 8630, 8630, 0
550.002972, 10.000956, 8856, 8856, 0
560.002348, 9.999376, 8884, 8884, 0
570.000919, 9.998571, 8010, 8010, 0
580.00338, 10.002461, 9036, 9036, 0
590.001114, 9.997734, 9176, 9176, 0
600.001728, 10.000614, 8115, 8115, 0
601.035839, 1.034111, 1206, 1206, 0
