elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000844, 10.000844, 6202, 1463, 10787.2, 8718, 20033, 30596, 316396, 649245, 0
20.001679, 10.000835, 6827, 1313, 10366.6, 9386, 20563, 27006, 38501, 90084, 0
30.009682, 10.008003, 7160, 1437, 10009.1, 9428, 19191, 24814, 31179, 33880, 0
40.006216, 9.996534, 5227, 1629, 13732.5, 9896, 22067, 51919, 557674, 979714, 0
50.008661, 10.002445, 6787, 1160, 10744.9, 10057, 20654, 26487, 58333, 118289, 0
60.001587, 9.992926, 6508, 1648, 10982.4, 10327, 21306, 26360, 32897, 36939, 0
70.002001, 10.000414, 5829, 1446, 12493.0, 10166, 21850, 39202, 400276, 501609, 0
80.001667, 9.999666, 6264, 1798, 11822.2, 10531, 21425, 29844, 316190, 393985, 0
90.001827, 10.00016, 6423, 2017, 11624.9, 11225, 21693, 27508, 34928, 98173, 0
100.001989, 10.000162, 6229, 1682, 11925.7, 10811, 22390, 28426, 177863, 364189, 0
110.001739, 9.99975, 5829, 1898, 12590.6, 10275, 21588, 54916, 365409, 492539, 0
120.002067, 10.000328, 6494, 1836, 11326.2, 10673, 21300, 27585, 43960, 93140, 0
130.000591, 9.998524, 6270, 1783, 11664.7, 11054, 21362, 27829, 68071, 361520, 0
140.001629, 10.001038, 4001, 1614, 18158.0, 10841, 23172, 97528, 2578970, 2655260, 0
150.001679, 10.00005, 6442, 1845, 11436.3, 10793, 21583, 28493, 55749, 84469, 0
160.001655, 9.999976, 6440, 1710, 11292.0, 10500, 21007, 27249, 126260, 247774, 0
170.001727, 10.000072, 5717, 2001, 12780.4, 10733, 22688, 35690, 495069, 726803, 0
180.001809, 10.000082, 6348, 1861, 11943.1, 9972, 21073, 32644, 318227, 576783, 0
190.001587, 9.999778, 6739, 1932, 10946.2, 10279, 20756, 26024, 34766, 57864, 0
200.001735, 10.000148, 6060, 1885, 12216.1, 10493, 21091, 31533, 372408, 437340, 0
210.001663, 9.999928, 6006, 1917, 12274.7, 10515, 22036, 31971, 410454, 530311, 0
220.002026, 10.000363, 6648, 1982, 11053.9, 10282, 21097, 26778, 41135, 191339, 0
230.001684, 9.999658, 6336, 1856, 11676.6, 10926, 21859, 28539, 150251, 251218, 0
240.001819, 10.000135, 6196, 1909, 11590.2, 10538, 21225, 29291, 173527, 483655, 0
250.001796, 9.999977, 6227, 1999, 11772.5, 11059, 22213, 28857, 90275, 214978, 0
260.001986, 10.00019, 6506, 2078, 11295.8, 10656, 21426, 27827, 57562, 73328, 0
